Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2006-2490,2006-05-19,"Multiple cross-site scripting (XSS) vulnerabilities in Mobotix IP Network Cameras M1 1.9.4.7 and M10 2.0.5.2, and other versions before 2.2.3.18 for M10/D10 and 3.0.3.31 for M22, allow remote attackers to inject arbitrary web script or HTML via URL-encoded values in (1) the query string to help/help, (2) the get_image_info_abspath parameter to control/eventplayer, and (3) the source_ip parameter to events.tar.",4.3,2.0,CWE-79,cpe:2.3:a:mobotix:mobotix_ip_network_camera:d10:*:*:*:*:*:*:*|cpe:2.3:a:mobotix:mobotix_ip_network_camera:m1_1.9.4.7:*:*:*:*:*:*:*|cpe:2.3:a:mobotix:mobotix_ip_network_camera:m10_2.0.5.2:*:*:*:*:*:*:*|cpe:2.3:a:mobotix:mobotix_ip_network_camera:m22:*:*:*:*:*:*:*
intersection,CVE-2007-6638,2008-01-04,"March Networks DVR 3204 stores sensitive information under the web root with insufficient access control, which allows remote attackers to obtain usernames, passwords, device names, and IP addresses via a direct request for scripts/logfiles.tar.gz.",10.0,2.0,CWE-264,cpe:2.3:h:march_networks:3204_dvr:*:*:*:*:*:*:*:*
intersection,CVE-2009-1092,2009-03-25,Use-after-free vulnerability in the LIVEAUDIO.LiveAudioCtrl.1 ActiveX control in LIVEAU~1.OCX 7.0 for GeoVision DVR systems allows remote attackers to execute arbitrary code by calling the GetAudioPlayingTime method with certain arguments.,9.3,2.0,CWE-399,cpe:2.3:a:geovision:liveaudio_activex_control:7.0:*:*:*:*:*:*:*
intersection,CVE-2009-2046,2009-06-25,"The embedded web server on the Cisco Video Surveillance 2500 Series IP Camera with firmware before 2.1 allows remote attackers to read arbitrary files via a (1) http or (2) https request, related to the (a) SD Camera Web Server and the (b) Wireless Camera HTTP Server, aka Bug IDs CSCsu05515 and CSCsr96497.",6.8,2.0,CWE-200,cpe:2.3:h:cisco:video_surveillance_2500_series_ip_camera:*:*:*:*:*:*:*:*
intersection,CVE-2014-9234,2014-12-03,Directory traversal vulnerability in cgi-bin/sddownload.cgi in D-link IP camera DCS-2103 with firmware 1.0.0 allows remote attackers to read arbitrary files via a .. (dot dot) in the file parameter.,5.0,2.0,CWE-22,cpe:2.3:o:d-link:dcs-2103_hd_cube_network_camera_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-2103_hd_cube_network_camera:-:*:*:*:*:*:*:*
intersection,CVE-2014-9238,2014-12-03,"D-link IP camera DCS-2103 with firmware 1.0.0 allows remote attackers to obtain the installation path via the file parameter to cgi-bin/sddownload.cgi, as demonstrated by a / (forward slash) character.",5.0,2.0,CWE-22,cpe:2.3:o:d-link:dcs-2103_hd_cube_network_camera_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-2103_hd_cube_network_camera:-:*:*:*:*:*:*:*
intersection,CVE-2014-4880,2014-12-08,"Buffer overflow in Hikvision DVR DS-7204 Firmware 2.2.10 build 131009, and other models and versions, allows remote attackers to execute arbitrary code via an RTSP PLAY request with a long Authorization header.",7.5,2.0,CWE-119,cpe:2.3:o:hikvision:dvr_ds-7204_firmware:2.2.10:build_131009:*:*:*:*:*:*|cpe:2.3:h:hikvision:dvr_ds-7204:-:*:*:*:*:*:*:*
intersection,CVE-2014-9517,2015-01-05,Cross-site scripting (XSS) vulnerability in D-link IP camera DCS-2103 with firmware before 1.20 allows remote attackers to inject arbitrary web script or HTML via the QUERY_STRING to vb.htm.,4.3,2.0,CWE-79,cpe:2.3:o:dlink:dcs-2103_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2103:-:*:*:*:*:*:*:*
intersection,CVE-2016-9155,2016-11-22,"The following SIEMENS branded IP Camera Models CCMW3025, CVMW3025-IR, CFMW3025 prior to version 1.41_SP18_S1; CCPW3025, CCPW5025 prior to version 0.1.73_S1; CCMD3025-DN18 prior to version v1.394_S1; CCID1445-DN18, CCID1445-DN28, CCID1145-DN36, CFIS1425, CCIS1425, CFMS2025, CCMS2025, CVMS2025-IR, CFMW1025, CCMW1025 prior to version v2635_SP1 could allow an attacker with network access to the web server to obtain administrative credentials under certain circumstances.",9.8,3.0,CWE-284,cpe:2.3:o:siemens:ccid1445-dn18_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccid1445-dn28_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccid1445-dn36_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccis1425_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccmd3025-dn18_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccms2025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccmw1025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccmw3025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:ccpw3025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cfis1425_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cfms2025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cfmw1025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cfmw3025_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cvms2025-ir_firmware:-:*:*:*:*:*:*:*|cpe:2.3:o:siemens:cvmw3025-ir_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccid1445-dn18:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccid1445-dn28:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccid1445-dn36:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccis1425:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccmd3025-dn18:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccms2025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccmw1025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccmw3025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:ccpw3025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cfis1425:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cfms2025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cfmw1025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cfmw3025:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cvms2025-ir:-:*:*:*:*:*:*:*|cpe:2.3:h:siemens:cvmw3025-ir:-:*:*:*:*:*:*:*
intersection,CVE-2017-6341,2017-02-27,"Dahua DHI-HCVR7216A-S3 devices with NVR Firmware 3.210.0001.10 2016-06-06, Camera Firmware 2.400.0000.28.R 2016-03-29, and SmartPSS Software 1.16.1 2017-01-19 send cleartext passwords in response to requests from the Web Page, Mobile Application, and Desktop Application interfaces, which allows remote attackers to obtain sensitive information by sniffing the network, a different vulnerability than CVE-2013-6117.",5.9,3.0,CWE-319,cpe:2.3:o:dahuasecurity:camera_firmware:2.400.0000.28.r:*:*:*:*:*:*:*|cpe:2.3:o:dahuasecurity:nvr_firmware:3.210.0001.10:*:*:*:*:*:*:*|cpe:2.3:o:dahuasecurity:smartpss_firmware:1.16.1:*:*:*:*:*:*:*|cpe:2.3:h:dahuasecurity:dhi-hcvr7216a-s3:-:*:*:*:*:*:*:*
