Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2019-12944,2019-10-15,Glue Smart Lock 2.7.8 devices do not properly block guest access in certain situations where the network connection is unavailable.,7.5,3.1,CWE-862,cpe:2.3:o:gluehome:glue_smart_lock_firmware:2.7.8:*:*:*:*:*:*:*|cpe:2.3:h:gluehome:glue_smart_lock:-:*:*:*:*:*:*:*
intersection,CVE-2019-17518,2020-02-10,"The Bluetooth Low Energy implementation on Dialog Semiconductor SDK through 1.0.14.1081 for DA1468x devices responds to link layer packets with a payload length larger than expected, allowing attackers in radio range to cause a buffer overflow via a crafted packet. This affects, for example, August Smart Lock.",6.5,3.1,CWE-120,cpe:2.3:a:dialog-semiconductor:software_development_kit:*:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14680:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14681:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14682:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14683:-:*:*:*:*:*:*:*
intersection,CVE-2020-9438,2020-06-23,"Tinxy Door Lock with firmware before 3.2 allow attackers to unlock a door by replaying an Unlock request that occurred when the attacker was previously authorized. In other words, door-access revocation is mishandled.",5.9,3.1,CWE-294,cpe:2.3:o:tinxy:smart_wifi_door_lock_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tinxy:smart_wifi_door_lock:-:*:*:*:*:*:*:*
intersection,CVE-2022-46307,2023-06-02,"SGUDA U-Lock central lock control service’s lock management function has incorrect authorization. A remote attacker with general privilege can exploit this vulnerability to call privileged APIs to acquire information, manipulate or disrupt the functionality of arbitrary electronic locks.",8.8,3.1,CWE-863,cpe:2.3:o:sguda:u-lock_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sguda:u-lock:-:*:*:*:*:*:*:*
intersection,CVE-2023-39841,2023-08-15,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.,4.6,3.1,CWE-311,cpe:2.3:o:etekcity:3-in-1_smart_door_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:etekcity:3-in-1_smart_door_lock:-:*:*:*:*:*:*:*
intersection,CVE-2023-39843,2023-08-15,Missing encryption in the RFID tag of Suleve 5-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.,2.4,3.1,CWE-311,cpe:2.3:o:sulimet:5-in-1_smart_door_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:sulimet:5-in-1_smart_door_lock:-:*:*:*:*:*:*:*
intersection,CVE-2023-34553,2023-06-22,An issue was discovered in WAFU Keyless Smart Lock v1.0 allows attackers to unlock a device via code replay attack.,6.5,3.1,CWE-294,cpe:2.3:o:wafucn:wafu_keyless_smart_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:wafucn:wafu_keyless_smart_lock:-:*:*:*:*:*:*:*
intersection,CVE-2022-46480,2023-12-05,Incorrect Session Management and Credential Re-use in the Bluetooth LE stack of the Ultraloq UL3 2nd Gen Smart Lock Firmware 02.27.0012 allows an attacker to sniff the unlock code and unlock the device whilst within Bluetooth range.,8.1,3.1,CWE-294|CWE-384,cpe:2.3:o:u-tec:ultraloq_ul3_bt_firmware:02.27.0012:*:*:*:*:*:*:*|cpe:2.3:h:u-tec:ultraloq_ul3_bt:2nd_gen:*:*:*:*:*:*:*
intersection,CVE-2023-5880,2024-01-03,"When the Genie Company Aladdin Connect garage door opener (Retrofit-Kit Model ALDCM) is placed into configuration mode the web servers “Garage Door Control Module Setup” page is vulnerable to XSS via a broadcast SSID name containing malicious code with client side Java Script and/or HTML. This allows the attacker to inject malicious code with client side Java Script and/or HTML into the users' web browser. 
",8.8,3.1,CWE-79,cpe:2.3:o:geniecompany:aladdin_connect_garage_door_opener_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geniecompany:aladdin_connect_garage_door_opener:-:*:*:*:*:*:*:*
intersection,CVE-2023-5881,2024-01-03,"Unauthenticated access permitted to web interface page The Genie Company Aladdin Connect (Retrofit-Kit Model ALDCM) ""Garage Door Control Module Setup"" and modify the Garage door's SSID settings. 



",8.2,3.1,CWE-306,cpe:2.3:o:geniecompany:aladdin_connect_garage_door_opener_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:geniecompany:aladdin_connect_garage_door_opener:-:*:*:*:*:*:*:*
