Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason,Final Judgment,Final Source
vendor_only,CVE-2015-2867,2017-01-06,A design flaw in the Trane ComfortLink II SCC firmware version 2.0.2 service allows remote attackers to take complete control of the system.,9.8,3.0,CWE-798,cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,Yes,High,Trane ComfortLink II is a consumer smart thermostat / home-comfort controller; remote full takeover of it is in scope.,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2015-2868,2017-01-06,"An exploitable remote code execution vulnerability exists in the Trane ComfortLink II firmware version 2.0.2 in DSS service. An attacker who can connect to the DSS service on the Trane ComfortLink II device can send an overly long REG request that can overflow a fixed size stack buffer, resulting in arbitrary code execution.",9.8,3.0,CWE-119,cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,Yes,High,Trane ComfortLink II is a consumer smart thermostat; RCE via a stack overflow in its DSS service is in scope.,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus
vendor_only,CVE-2014-8362,2017-01-23,Vivint Sky Control Panel 1.1.1.9926 allows remote attackers to enable and disable the alarm system and modify other security settings via the Web-enabled interface.,9.8,3.0,CWE-284,cpe:2.3:o:vivint:sky_control_panel_firmware:1.1.1.9926:*:*:*:*:*:*:*|cpe:2.3:h:vivint:sky_control_panel:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2018-14825,2018-09-24,"On Honeywell Mobile Computers (CT60 running Android OS 7.1, CN80 running Android OS 7.1, CT40 running Android OS 7.1, CK75 running Android OS 6.0, CN75 running Android OS 6.0, CN75e running Android OS 6.0, CT50 running Android OS 6.0, D75e running Android OS 6.0, CT50 running Android OS 4.4, D75e running Android OS 4.4, CN51 running Android OS 6.0, EDA50k running Android 4.4, EDA50 running Android OS 7.1, EDA50k running Android OS 7.1, EDA70 running Android OS 7.1, EDA60k running Android OS 7.1, and EDA51 running Android OS 8.1), a skilled attacker with advanced knowledge of the target system could exploit this vulnerability by creating an application that would successfully bind to the service and gain elevated system privileges. This could enable the attacker to obtain access to keystrokes, passwords, personal identifiable information, photos, emails, or business-critical documents.",5.8,3.0,CWE-269|CWE-732,cpe:2.3:h:honeywell:cn80:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:ct40:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:ct60:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:eda50:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:eda50k:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:eda60k:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:eda70:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android:7.1.0:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:ck75:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:cn51:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:cn75:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:cn75e:-:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:d75e:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:ct50:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android:4.4:*:*:*:*:*:*:*|cpe:2.3:h:honeywell:eda51:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android:8.1:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2018-19588,2019-07-11,Alarm.com ADC-V522IR 0100b9 devices have Incorrect Access Control.,7.2,3.0,CWE-284,cpe:2.3:o:alarm:adc-v522ir_firmware:0100b9:*:*:*:*:*:*:*|cpe:2.3:h:alarm:adc-v522ir:-:*:*:*:*:*:*:*,No,High,,No,High,,No,Low,"The device ADC-V522IR is an Alarm.com camera, not a smart thermostat.",complete,No,,No,ai-consensus
vendor_only,CVE-2019-9657,2019-07-11,"Alarm.com ADC-V522IR 0100b9 devices have Incorrect Access Control, a different issue than CVE-2018-19588. This occurs because of incorrect protection of VPN certificates (used for initiating a VPN session to the Alarm.com infrastructure) on the local camera device.",7.8,3.0,CWE-522,cpe:2.3:o:alarm:adc-v522ir_firmware:0100b9:*:*:*:*:*:*:*|cpe:2.3:h:alarm:adc-v522ir:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus
vendor_only,CVE-2021-42534,2021-10-22,"The affected product’s web application does not properly neutralize the input during webpage generation, which could allow an attacker to inject code in the input forms.",6.1,3.1,CWE-79,cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:-:*:*:*:*:*:*:*,No,Low,"Trane Tracer SC is a commercial building automation controller for HVAC management in large commercial/industrial facilities, not a residential smart thermostat; CPE confirms commercial building automation context",No,High,,No,Low,"Tracer SC is a building automation system (BAS) designed for commercial/industrial HVAC control, not for private residential home IoT use.",complete,No,,No,ai-consensus
vendor_only,CVE-2021-38450,2021-10-27,"The affected controllers do not properly sanitize the input containing code syntax. As a result, an attacker could craft code to alter the intended controller flow of the software.",8.8,3.1,CWE-94,cpe:2.3:a:trane:tracer_concierge:*:*:*:*:*:*:*:*|cpe:2.3:a:trane:tracer_concierge:5.5:-:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc_firmware:4.4:-:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc:-:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:trane:tracer_sc\+_firmware:5.5:-:*:*:*:*:*:*|cpe:2.3:h:trane:tracer_sc\+:-:*:*:*:*:*:*:*,No,Low,"Trane Tracer Concierge is a commercial building HVAC automation system for large facilities, not a residential thermostat",No,High,,No,Low,"Trane Tracer SC and Tracer Concierge are typically commercial building automation systems (BAS) used in enterprise or industrial settings, not residential home IoT thermostats.",complete,No,,No,ai-consensus
vendor_only,CVE-2024-48776,2024-10-11,An issue in Shelly com.home.shelly 1.0.4 allows a remote attacker to obtain sensitive information via the firmware update process,7.5,3.1,CWE-306,,Maybe,Low,"The record names only the Shelly mobile application and its firmware-update process, with no product line and no CPE. Shelly's catalogue is dominated by relays, switches and energy meters rather than thermostats, so it cannot be determined whether a thermostat is among the affected devices.",,,,No,High,,incomplete,,,,incomplete
vendor_only,CVE-2016-0870,2016-09-19,The web server in Trane Tracer SC 4.2.1134 and earlier allows remote attackers to read sensitive configuration files via a direct request.,5.3,3.0,CWE-200,cpe:2.3:a:trane:tracer_sc:*:*:*:*:*:*:*:*,No,Low,"Trane Tracer SC is a commercial building automation system controller, not a residential thermostat",No,High,,No,Low,"Trane Tracer SC is a building automation system (BAS) designed for commercial/industrial HVAC control, not a residential smart thermostat.",complete,No,,No,ai-consensus
