cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,matched_terms
CVE-2000-0836,2000-11-14,Buffer overflow in CamShot WebCam Trial2.6 allows remote attackers to execute arbitrary commands via a long Authorization header.,7.5,2.0,,cpe:2.3:a:broadgun_software:camshot_webcam:2.6trial_version:*:*:*:*:*:*:*,webcam
CVE-2000-1170,2001-01-09,Buffer overflow in Netsnap webcam HTTP server before 1.2.9 allows remote attackers to execute arbitrary commands via a long GET request.,7.5,2.0,,cpe:2.3:a:pelesoft:netsnap:1.2:*:*:*:*:*:*:*,webcam
CVE-2001-1543,2001-12-31,"Axis network camera 2120, 2110, 2100, 200+ and 200 contains a default administration password ""pass"", which allows remote attackers to gain access to the camera.",7.5,2.0,,cpe:2.3:h:axis:2100_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2110_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2120_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:neteye_200:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:neteye_200\+:*:*:*:*:*:*:*:*,network camera
CVE-2002-0781,2002-08-12,"RTSP proxy for Novell BorderManager 3.6 SP 1a allows remote attackers to cause a denial of service via a GET request to port 9090 followed by a series of carriage returns, which causes proxy.nlm to ABEND.",5.0,2.0,,cpe:2.3:a:novell:bordermanager:3.6:sp1a:*:*:*:*:*:*,rtsp
CVE-2002-1321,2002-12-11,"Multiple buffer overflows in RealOne and RealPlayer allow remote attackers to execute arbitrary code via (1) a Synchronized Multimedia Integration Language (SMIL) file with a long parameter, (2) a long long filename in a rtsp:// request, e.g. from a .m3u file, or (3) certain ""Now Playing"" options on a downloaded file with a long filename.",7.5,2.0,,cpe:2.3:a:realnetworks:realone_player:2.0:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realplayer:*:g2:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realplayer:6.0:*:win32:*:*:*:*:*|cpe:2.3:a:realnetworks:realplayer:7.0:*:win32:*:*:*:*:*|cpe:2.3:a:realnetworks:realplayer:8.0:*:win32:*:*:*:*:*,rtsp
CVE-2002-1643,2002-12-19,"Multiple buffer overflows in RealNetworks Helix Universal Server 9.0 (9.0.2.768) allow remote attackers to execute arbitrary code via (1) a long Transport field in a SETUP RTSP request, (2) a DESCRIBE RTSP request with a long URL argument, or (3) two simultaneous HTTP GET requests with long arguments.",7.5,2.0,,cpe:2.3:a:realnetworks:helix_universal_server:9.0:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:helix_universal_server:9.0.2.768:*:*:*:*:*:*:*,rtsp
CVE-2003-0054,2003-03-07,"Apple Darwin Streaming Administration Server 4.1.2 and QuickTime Streaming Server 4.1.1 allows remote attackers to execute certain code via a request to port 7070 with the script in an argument to the rtsp DESCRIBE method, which is inserted into a log file and executed when the log is viewed using a browser.",7.5,2.0,,cpe:2.3:a:apple:darwin_streaming_server:4.1.2:*:*:*:*:*:*:*|cpe:2.3:a:apple:quicktime_streaming_server:4.1.1:*:*:*:*:*:*:*,rtsp
CVE-2003-0240,2003-06-09,The web-based administration capability for various Axis Network Camera products allows remote attackers to bypass access restrictions and modify configuration via an HTTP request to the admin/admin.shtml containing a leading // (double slash).,10.0,2.0,,cpe:2.3:h:axis:2100_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2110_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2120_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2130_ptz_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2420_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2460_network_dvr:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:250s_video_server:*:*:*:*:*:*:*:*,network camera|dvr
CVE-2003-0725,2003-10-20,"Buffer overflow in the RTSP protocol parser for the View Source plug-in (vsrcplin.so or vsrcplin3260.dll) for RealNetworks Helix Universal Server 9 and RealSystem Server 8, 7 and RealServer G2 allows remote attackers to execute arbitrary code.",7.5,2.0,,cpe:2.3:a:realnetworks:helix_universal_server:8.0.1:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:helix_universal_server:9.0:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:helix_universal_server:9.0.1:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:helix_universal_server:9.0.2.794:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:7.0:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:7.0.1:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:7.0.2:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:8.0:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:8.0.1:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:8.0.2:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:8.0_beta:*:*:*:*:*:*:*|cpe:2.3:a:realnetworks:realserver:g2_1.0:*:*:*:*:*:*:*,rtsp
CVE-2003-1479,2003-12-31,Cross-site scripting (XSS) vulnerability in webcamXP 1.02.432 and 1.02.535 allows remote attackers to inject arbitrary web script or HTML via the message field.,4.3,2.0,CWE-79,cpe:2.3:a:darkwet:webcam_xp:1.02.432:*:*:*:*:*:*:*|cpe:2.3:a:darkwet:webcam_xp:1.02.535:*:*:*:*:*:*:*,webcam
