Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2017-14797,2017-10-01,"Lack of Transport Encryption in the public API in Philips Hue Bridge BSB002 SW 1707040932 allows remote attackers to read API keys (and consequently bypass the pushlink protection mechanism, and obtain complete control of the connected accessories) by leveraging the ability to sniff HTTP traffic on the local intranet network.",7.5,3.0,CWE-326,cpe:2.3:o:philips:hue_bridge_bsb002_firmware:1707040932:*:*:*:*:*:*:*|cpe:2.3:h:philips:hue_bridge_bsb002:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-15477,2018-08-30,myStrom WiFi Switch V1 devices before 2.66 did not sanitize a parameter received from the cloud that was used in an OS command. Malicious servers were able to run operating system commands on the device.,9.8,3.0,CWE-78,cpe:2.3:o:mystrom:wifi_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v1:*:*:*:*:*:*:*,Yes,Low,"myStrom WiFi Switch is a consumer smart power switch commonly used to control lighting; it is a genuine home-IoT switch, though it arguably overlaps the smartplugs category."
vendor_only,CVE-2020-6007,2020-01-23,"Philips Hue Bridge model 2.X prior to and including version 1935144020 contains a Heap-based Buffer Overflow when handling a long ZCL string during the commissioning phase, resulting in a remote code execution.",7.9,3.1,CWE-122|CWE-787,cpe:2.3:o:philips:hue_bridge_v2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:philips:hue_bridge_v2:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2022-39064,2022-10-14,"An attacker sending a single malformed IEEE 802.15.4 (Zigbee) frame makes the TRÅDFRI bulb blink, and if they replay (i.e. resend) the same frame multiple times, the bulb performs a factory reset. This causes the bulb to lose configuration information about the Zigbee network and current brightness level. After this attack, all lights are on with full brightness, and a user cannot control the bulbs with either the IKEA Home Smart app or the TRÅDFRI remote control. The malformed Zigbee frame is an unauthenticated broadcast message, which means all vulnerable devices within radio range are affected. CVSS 3.1 Base Score 7.1 vector: CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:H",8.1,3.1,CWE-241,cpe:2.3:o:ikea:tradfri_led1732g11_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ikea:tradfri_led1732g11:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2022-39065,2022-10-14,"A single malformed IEEE 802.15.4 (Zigbee) frame makes the TRÅDFRI gateway unresponsive, such that connected lighting cannot be controlled with the IKEA Home Smart app and TRÅDFRI remote control. The malformed Zigbee frame is an unauthenticated broadcast message, which means all vulnerable devices within radio range are affected. CVSS 3.1 Base Score: 6.5 Vector: CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",6.5,3.1,CWE-241,cpe:2.3:o:ikea:tradfri_gateway_e1526_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ikea:tradfri_gateway_e1526:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-20007,2019-05-16,"Yeelight Smart AI Speaker 3.3.10_0074 devices have improper access control over the UART interface, allowing physical attackers to obtain a root shell. The attacker can then exfiltrate the audio data, read cleartext Wi-Fi credentials in a log file, or access other sensitive device and user information.",6.8,3.0,CWE-732,cpe:2.3:o:yeelight:smart_ai_speaker_firmware:3.3.10_0074:*:*:*:*:*:*:*|cpe:2.3:h:yeelight:smart_ai_speaker:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2018-7580,2020-12-21,"Philips Hue is vulnerable to a Denial of Service attack. Sending a SYN flood on port tcp/80 will freeze Philips Hue's hub and it will stop responding. The ""hub"" will stop operating and be frozen until the flood stops. During the flood, the user won't be able to turn on/off the lights, and all of the hub's functionality will be unresponsive. The cloud service also won't work with the hub.",7.5,3.1,CWE-400,cpe:2.3:o:philips:hue_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:philips:hue:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2022-46640,2023-04-18,Nanoleaf Desktop App before v1.3.1 was discovered to contain a command injection vulnerability which is exploited via a crafted HTTP request.,9.8,3.1,CWE-77,cpe:2.3:a:nanoleaf:nanoleaf_desktop:*:*:*:*:*:*:*:*,No,Low,"Nanoleaf Desktop App is a PC management application for Nanoleaf smart lighting panels; the CVE is in the desktop software, not in the lighting device itself"
vendor_only,CVE-2022-47758,2023-04-27,"Nanoleaf firmware v7.1.1 and below is missing TLS verification, allowing attackers to execute arbitrary code via a DNS hijacking attack.",9.8,3.1,CWE-295,cpe:2.3:o:nanoleaf:nanoleaf_firmware:7.1.1:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2022-3007,2023-10-31,"The vulnerability exists in Syska SW100 Smartwatch due to an improper implementation and/or configuration of Nordic Device Firmware Update (DFU) which is used for performing Over-The-Air (OTA) firmware updates on the Bluetooth Low Energy (BLE) devices. An unauthenticated attacker could exploit this vulnerability by setting arbitrary values to handle on the vulnerable device over Bluetooth.

Successful exploitation of this vulnerability could allow the attacker to perform firmware update, device reboot or data manipulation on the target device.
",8.1,3.1,CWE-862,cpe:2.3:o:syska:sw100_smartwatch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:syska:sw100_smartwatch:-:*:*:*:*:*:*:*,No,High,
