category,phrase,n_yes,n_no,score,new_yield,pct_device_cpe,sample_cves,sample_descriptions
alarms,modify,6,0,15.39,5684,0.252,CVE-2000-0515|CVE-2000-0502|CVE-2000-0483,"The snmpd.conf configuration file for the SNMP daemon (snmpd) in HP-UX 11.0 is world writable, which allows local users to modify SNMP configuration o|Mcafee VirusScan 4.03 does not properly restrict access to the alert text file before it is sent to the Central Alert Server, which allows local users|The DocumentTemplate package in Zope 2.2 and earlier allows a remote attacker to modify DTMLDocuments or DTMLMethods without authorization."
alarms,weak,6,0,15.39,1354,0.281,CVE-2000-0492|CVE-2000-0559|CVE-2000-0535,"PassWD 1.2 uses weak encryption (trivial encoding) to store passwords, which allows an attacker who can read the password file to easliy decrypt the p|eTrust Intrusion Detection System (formerly SessionWall-3) uses weak encryption (XOR) to store administrative passwords in the registry, which allows |OpenSSL 0.9.4 and OpenSSH for FreeBSD do not properly check for the existence of the /dev/random or /dev/urandom devices, which are absent on FreeBSD "
alarms,original,7,0,18.956,1145,0.345,CVE-2000-0944|CVE-2000-1127|CVE-2001-1469,"CGI Script Center News Update 1.1 does not properly validate the original news administration password during a password change operation, which allow|registrar in the HP resource monitor service allows local users to read and modify arbitrary files by renaming the original registrar.log log file and|The RC4 stream cipher as used by SSH1 allows remote attackers to modify messages without detection by XORing the original message's cyclic redundancy "
alarms,unsafe,8,0,22.666,1137,0.297,CVE-2001-0607|CVE-2002-0838|CVE-2002-0865,"asecure as included with HP-UX 10.01 through 11.00 can allow a local attacker to create a denial of service and gain additional privileges via unsafe |Buffer overflow in (1) gv 3.5.8 and earlier, (2) gvv 1.0.2 and earlier, (3) ggv 1.99.90 and earlier, (4) gnome-gv, and (5) kghostview in kdegraphics 2|A certain class that supports XML (Extensible Markup Language) in Microsoft Virtual Machine (VM) 5.0.3805 and earlier, probably com.ms.osp.ospmrshl, e"
alarms,offset,8,0,22.666,1094,0.58,CVE-2001-0066|CVE-2001-0498|CVE-2001-0515,Secure Locate (slocate) allows local users to corrupt memory via a malformed database file that specifies an offset value that accesses memory outside|Transparent Network Substrate (TNS) over Net8 (SQLNet) in Oracle 8i 8.1.7 and earlier allows remote attackers to cause a denial of service via a malfo|Oracle Listener in Oracle 7.3 and 8i allows remote attackers to cause a denial of service via a malformed connection packet with a large offset_to_dat
alarms,physically,5,0,11.989,674,0.723,CVE-2001-0659|CVE-2003-1224|CVE-2009-1276,"Buffer overflow in IrDA driver providing infrared data exchange on Windows 2000 allows attackers who are physically close to the machine to cause a de|Weblogic.admin for BEA WebLogic Server and Express 7.0 and 7.0.0.1 displays the JDBCConnectionPoolRuntimeMBean password to the screen in cleartext, wh|XScreenSaver in Sun Solaris 10 and OpenSolaris before snv_109, and Solaris 8 and 9 with GNOME 2.0 or 2.0.2, allows physically proximate attackers to o"
alarms,rf,9,1,16.612,602,0.932,CVE-2002-1014|CVE-2004-0459|CVE-2006-1959,"Buffer overflow in RealJukebox 2 1.0.2.340 and 1.0.2.379, and RealOne Player Gold 6.0.10.505, allows remote attackers to execute arbitrary code via an|The Clear Channel Assessment (CCA) algorithm in the IEEE 802.11 wireless protocol, when using DSSS transmission encoding, allows remote attackers to c|PHP remote file inclusion vulnerability in direct.php in ActualScripts ActualAnalyzer Lite 2.72 and earlier, Gold 7.63 and earlier, and Server 8.23 an"
alarms,proximate,5,0,11.989,557,0.724,CVE-2009-1276|CVE-2008-6722|CVE-2009-1679,"XScreenSaver in Sun Solaris 10 and OpenSolaris before snv_109, and Solaris 8 and 9 with GNOME 2.0 or 2.0.2, allows physically proximate attackers to o|Novell Access Manager 3 SP4 does not properly expire X.509 certificate sessions, which allows physically proximate attackers to obtain a logged-in ses|The Profiles component in Apple iPhone OS 1.0 through 2.2.1 and iPhone OS for iPod touch 1.1 through 2.2.1, when installing a configuration profile, c"
alarms,physically proximate,5,0,11.989,548,0.728,CVE-2009-1276|CVE-2008-6722|CVE-2009-1679,"XScreenSaver in Sun Solaris 10 and OpenSolaris before snv_109, and Solaris 8 and 9 with GNOME 2.0 or 2.0.2, allows physically proximate attackers to o|Novell Access Manager 3 SP4 does not properly expire X.509 certificate sessions, which allows physically proximate attackers to obtain a logged-in ses|The Profiles component in Apple iPhone OS 1.0 through 2.2.1 and iPhone OS for iPod touch 1.1 through 2.2.1, when installing a configuration profile, c"
alarms,replay,9,1,16.612,443,0.431,CVE-2000-0834|CVE-2001-1473|CVE-2001-1475,"The Windows 2000 telnet client attempts to perform NTLM authentication by default, which allows remote attackers to capture and replay the NTLM challe|The SSH-1 protocol allows remote servers to conduct man-in-the-middle attacks and replay a client challenge response to a target server by creating a |SSH before 2.0, when using RC4 and password authentication, allows remote attackers to replay messages until a new server key (VK) is generated."
