AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
Yes,,intersection,CVE-2019-13598,2019-07-14,"LuaUPnP in Vera Edge Home Controller 1.7.4452 allows remote unauthenticated users to execute arbitrary OS commands via the code parameter to /port_3480/data_request because the ""No unsafe lua allowed"" code block is skipped.",9.8,3.0,CWE-78,cpe:2.3:o:getvera:vera_edge_firmware:1.7.4452:*:*:*:*:*:*:*|cpe:2.3:h:getvera:vera_edge:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-3916,2018-08-28,"An exploitable stack-based buffer overflow vulnerability exists in the retrieval of database fields in the video-core HTTP server of the Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The strcpy call overflows the destination buffer, which has a size of 136 bytes. An attacker can send an arbitrarily long 'directory' value in order to exploit this vulnerability. An attacker can send an HTTP request to trigger this vulnerability.",7.8,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-3904,2018-08-27,"An exploitable buffer overflow vulnerability exists in the camera 'update' feature of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability.",9.9,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2026-3555,2026-03-16,"Philips Hue Bridge Zigbee Stack Custom Command Handler Heap-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Philips Hue Bridge. User interaction is required to exploit this vulnerability in that the user must initiate the device pairing process.

The specific flaw exists within the handling of custom Zigbee ZCL frames in the Model Info download functionality. The issue results from the lack of proper validation of the size of data prior to copying it to a fixed-size heap buffer. An attacker can leverage this vulnerability to execute code in the context of the device. Was ZDI-CAN-28276.",8.0,3.0,CWE-122,cpe:2.3:o:philips:hue_bridge_v2_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:philips:hue_bridge_v2:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,intersection,CVE-2019-11894,2019-05-29,"A potential improper access control vulnerability exists in the backup mechanism of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in unauthorized download of a backup. In order to exploit the vulnerability, the adversary needs to download the backup directly after a backup triggered by a legitimate user has been completed.",5.7,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2025-65290,2025-12-10,"Aqara Hub devices including Camera Hub G3 4.1.9_0027, Hub M2 4.3.6_0027, and Hub M3 4.3.6_0025 fail to validate server certificates during HTTPS firmware downloads, allowing man-in-the-middle attackers to intercept firmware update traffic and potentially serve modified firmware files.",7.4,3.1,CWE-295,cpe:2.3:o:aqara:hub_m2_firmware:4.3.6_0027:*:*:*:*:*:*:*|cpe:2.3:h:aqara:hub_m2:-:*:*:*:*:*:*:*|cpe:2.3:o:aqara:hub_m3_firmware:4.3.6_0025:*:*:*:*:*:*:*|cpe:2.3:h:aqara:hub_m3:-:*:*:*:*:*:*:*|cpe:2.3:o:aqara:camera_hub_g3_firmware:4.1.9_0027:*:*:*:*:*:*:*|cpe:2.3:h:aqara:camera_hub_g3:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2011-4835,2011-12-15,Directory traversal vulnerability in the web interface in HomeSeer HS2 2.5.0.20 allows remote attackers to access arbitrary files via unspecified vectors.,7.5,2.0,CWE-22,cpe:2.3:a:homeseer:homeseer_hs2:2.5.0.20:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-3863,2018-08-23,"On Samsung SmartThings Hub STH-ETH-250 devices with firmware version 0.20.17, the video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability. A strcpy overflows the destination buffer, which has a size of 40 bytes. An attacker can send an arbitrarily long ""user"" value in order to exploit this vulnerability.",9.9,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2025-65293,2025-12-10,Command injection vulnerabilities in Aqara Camera Hub G3 4.1.9_0027 allow attackers to execute arbitrary commands with root privileges through malicious QR codes during device setup and factory reset.,6.6,3.1,CWE-77,cpe:2.3:o:aqara:camera_hub_g3_firmware:4.1.9_0027:*:*:*:*:*:*:*|cpe:2.3:h:aqara:camera_hub_g3:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-3896,2018-09-10,"An exploitable buffer overflow vulnerabilities exist in the /cameras/XXXX/clips handler of video-core's HTTP server of Samsung SmartThings Hub with Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. The strncpy call overflows the destination buffer, which has a size of 52 bytes. An attacker can send an arbitrarily long ""correlationId"" value in order to exploit this vulnerability.",8.8,3.1,CWE-120,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
