cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,matched_terms
CVE-2012-2210,2012-04-11,"The Sony Bravia TV KDL-32CX525 allows remote attackers to cause a denial of service (configuration outage or device crash) via a flood of TCP SYN packets, as demonstrated by hping, a related issue to CVE-1999-0116.",7.8,2.0,CWE-399,cpe:2.3:h:sony:bravia_tv:kdl-32cx525:*:*:*:*:*:*:*,sony bravia
CVE-2014-4452,2014-11-18,"WebKit, as used in Apple iOS before 8.1.1 and Apple TV before 7.0.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than CVE-2014-4462.",5.4,2.0,CWE-399,cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:itunes:*:*:*:*:*:*:*:*,apple tv
CVE-2014-4455,2014-11-18,"dyld in Apple iOS before 8.1.1 and Apple TV before 7.0.2 does not properly handle overlapping segments in Mach-O executable files, which allows local users to bypass intended code-signing restrictions via a crafted file.",2.1,2.0,CWE-264,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0.1:*:*:*:*:*:*:*,apple tv
CVE-2014-4461,2014-11-18,"The kernel in Apple iOS before 8.1.1 and Apple TV before 7.0.2 does not properly validate IOSharedDataQueue object metadata, which allows attackers to execute arbitrary code in a privileged context via a crafted application.",9.3,2.0,CWE-20,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.8.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.9.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.10.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*,apple tv
CVE-2014-4462,2014-11-18,"WebKit, as used in Apple iOS before 8.1.1 and Apple TV before 7.0.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than CVE-2014-4452.",5.8,2.0,CWE-399,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*,apple tv
CVE-2016-1136,2016-01-30,Cross-site scripting (XSS) vulnerability on KDDI HOME SPOT CUBE devices before 2 allows remote authenticated users to inject arbitrary web script or HTML via unspecified vectors.,5.4,3.0,CWE-79,cpe:2.3:o:kddi:home_spot_cube_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:kddi:home_spot_cube:*:*:*:*:*:*:*:*,kddi home
CVE-2016-1137,2016-01-30,Open redirect vulnerability on KDDI HOME SPOT CUBE devices before 2 allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via unspecified vectors.,7.4,3.0,,cpe:2.3:o:kddi:home_spot_cube_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:kddi:home_spot_cube:*:*:*:*:*:*:*:*,kddi home
CVE-2016-1138,2016-01-30,CRLF injection vulnerability on KDDI HOME SPOT CUBE devices before 2 allows remote attackers to inject arbitrary HTTP headers via unspecified vectors.,4.7,3.0,,cpe:2.3:o:kddi:home_spot_cube_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:kddi:home_spot_cube:*:*:*:*:*:*:*:*,kddi home
CVE-2016-1139,2016-01-30,Cross-site request forgery (CSRF) vulnerability on KDDI HOME SPOT CUBE devices before 2 allows remote attackers to hijack the authentication of unspecified victims via unknown vectors.,7.5,3.0,CWE-352,cpe:2.3:o:kddi:home_spot_cube_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:kddi:home_spot_cube:*:*:*:*:*:*:*:*,kddi home
CVE-2016-1140,2016-01-30,KDDI HOME SPOT CUBE devices before 2 allow remote attackers to conduct clickjacking attacks via unspecified vectors.,6.1,3.0,CWE-254,cpe:2.3:o:kddi:home_spot_cube_firmware:2.0:*:*:*:*:*:*:*|cpe:2.3:h:kddi:home_spot_cube:*:*:*:*:*:*:*:*,kddi home
