Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2018-7778,2018-07-03,"In Schneider Electric Evlink Charging Station versions prior to v3.2.0-12_v1, the Web Interface has an issue that may allow a remote attacker to gain administrative privileges without properly authenticating remote users.",9.8,3.0,CWE-306,cpe:2.3:o:schneider-electric:evlink_charging_station_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:schneider-electric:evlink_charging_station:-:*:*:*:*:*:*:*
intersection,CVE-2021-45876,2022-03-21,Multiple versions of GARO Wallbox GLB/GTB/GTC are affected by unauthenticated command injection. The url parameter of the function module downloadAndUpdate is vulnerable to an command Injection. Unfiltered user input is used to generate code which then gets executed when downloading new firmware.,9.8,3.1,CWE-77,cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*
intersection,CVE-2021-45877,2022-03-21,"Multiple versions of GARO Wallbox GLB/GTB/GTC are affected by hard coded credentials. A hardcoded credential exist in /etc/tomcat8/tomcat-user.xml, which allows attackers to gain authorized access and control the tomcat completely on port 8000 in the tomcat manger page.",9.8,3.1,CWE-798,cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*
intersection,CVE-2021-45878,2022-03-21,Multiple versions of GARO Wallbox GLB/GTB/GTC are affected by incorrect access control. Lack of access control on the web manger pages allows any user to view and modify information.,9.1,3.1,CWE-306,cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*
intersection,CVE-2023-30399,2023-05-04,Insecure permissions in the settings page of GARO Wallbox GLB/GTB/GTC before v189 allows attackers to redirect users to a crafted update package link via a man-in-the-middle attack.,8.1,3.1,CWE-732,cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*|cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*
intersection,CVE-2023-29114,2024-11-05,"System logs could be accessed through web management application due to a lack of access control.


An attacker can obtain the following sensitive information:

•     Wi-Fi access point credentials to which the EV charger can connect.

•     APN web address and credentials.

•     IPSEC credentials.

•     Web interface access credentials for user and admin accounts.

•     JuiceBox system components (software installed, model, firmware version, etc.).

•     C2G configuration details.

•     Internal IP addresses.

•     OTA firmware update configurations (DNS servers).

All the credentials are stored in logs in an unencrypted plaintext format.",5.7,3.1,CWE-200,
intersection,CVE-2025-26857,2025-04-15,"Unauthenticated attackers can rename arbitrary devices of arbitrary users (i.e., EV chargers).",5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
intersection,CVE-2025-27575,2025-04-15,An unauthenticated attacker can obtain EV charger version and firmware upgrading history by knowing the charger ID.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
intersection,CVE-2025-31147,2025-04-15,Unauthenticated attackers can query information about total energy consumed by EV chargers of arbitrary users.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
intersection,CVE-2025-31950,2025-04-15,An unauthenticated attacker can obtain EV charger energy consumption information of other users.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*
