cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,matched_terms
CVE-2019-17098,2020-09-30,"Use of hard-coded cryptographic key vulnerability in August Connect Wi-Fi Bridge App, Connect Firmware allows an attacker to decrypt an intercepted payload containing the Wi-Fi network authentication credentials. This issue affects: August Connect Wi-Fi Bridge App version v10.11.0 and prior versions on Android. August Connect Firmware version 2.2.12 and prior versions.",6.5,3.1,CWE-321|CWE-798,cpe:2.3:a:august:august_home:*:*:*:*:*:android:*:*|cpe:2.3:o:august:connect_wi-fi_bridge_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:august:connect_wi-fi_bridge:-:*:*:*:*:*:*:*,august home
CVE-2024-12094,2024-12-05,"This vulnerability exists in the Tinxy mobile app due to storage of logged-in user information in plaintext on the device database. An attacker with physical access to the rooted device could exploit this vulnerability by accessing its database leading to unauthorized access of user information such as username, email address and mobile number.
Note:
To exploit this vulnerability, the device must be rooted/jailbroken.",,,CWE-312,,tinxy
CVE-2013-4080,2013-06-09,"The dissect_r3_upstreamcommand_queryconfig function in epan/dissectors/packet-assa_r3.c in the Assa Abloy R3 dissector in Wireshark 1.8.x before 1.8.8 does not properly handle a zero-length item, which allows remote attackers to cause a denial of service (infinite loop, and CPU and memory consumption) via a crafted packet.",5.0,2.0,CWE-119,cpe:2.3:a:wireshark:wireshark:1.8.0:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.1:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.2:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.3:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.4:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.5:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.6:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.7:*:*:*:*:*:*:*,assa abloy
CVE-2017-7278,2017-08-18,Unspecified vulnerability in ASSA ABLOY APTUS Styra Porttelefonkort 4400 before A2 has unknown impact and attack vectors.,9.8,3.0,,cpe:2.3:o:aptus:styra_porttelefonkort_4400_firmware:a1:*:*:*:*:*:*:*|cpe:2.3:h:aptus:styra_porttelefonkort_4400:-:*:*:*:*:*:*:*,assa abloy
CVE-2019-12944,2019-10-15,Glue Smart Lock 2.7.8 devices do not properly block guest access in certain situations where the network connection is unavailable.,7.5,3.1,CWE-862,cpe:2.3:o:gluehome:glue_smart_lock_firmware:2.7.8:*:*:*:*:*:*:*|cpe:2.3:h:gluehome:glue_smart_lock:-:*:*:*:*:*:*:*,gluehome
CVE-2019-17518,2020-02-10,"The Bluetooth Low Energy implementation on Dialog Semiconductor SDK through 1.0.14.1081 for DA1468x devices responds to link layer packets with a payload length larger than expected, allowing attackers in radio range to cause a buffer overflow via a crafted packet. This affects, for example, August Smart Lock.",6.5,3.1,CWE-120,cpe:2.3:a:dialog-semiconductor:software_development_kit:*:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14680:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14681:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14682:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14683:-:*:*:*:*:*:*:*,august smart lock
CVE-2020-10876,2020-05-04,"The OKLOK (3.1.1) mobile companion app for Fingerprint Bluetooth Padlock FB50 (2.3) does not correctly implement its timeout on the four-digit verification code that is required for resetting passwords, nor does it properly restrict excessive verification attempts. This allows an attacker to brute force the four-digit verification code in order to bypass email verification and change the password of a victim account.",7.5,3.1,CWE-307|CWE-613,cpe:2.3:a:oklok_project:oklok:3.1.1:*:*:*:*:iphone_os:*:*|cpe:2.3:h:mica:fingerprint_bluetooth_padlock_fb50:-:*:*:*:*:*:*:*,fingerprint bluetooth padlock
CVE-2020-8790,2020-05-04,"The OKLOK (3.1.1) mobile companion app for Fingerprint Bluetooth Padlock FB50 (2.3) has weak password requirements combined with improper restriction of excessive authentication attempts, which could allow a remote attacker to discover user credentials and obtain access via a brute force attack.",9.8,3.1,CWE-307|CWE-521,cpe:2.3:a:oklok_project:oklok:3.1.1:*:*:*:*:iphone_os:*:*,fingerprint bluetooth padlock
CVE-2020-8791,2020-05-04,"The OKLOK (3.1.1) mobile companion app for Fingerprint Bluetooth Padlock FB50 (2.3) allows remote attackers to submit API requests using authenticated but unauthorized tokens, resulting in IDOR issues. A remote attacker can use their own token to make unauthorized API requests on behalf of arbitrary user IDs. Valid and current user IDs are trivial to guess because of the user ID assignment convention used by the app. A remote attacker could harvest email addresses, unsalted MD5 password hashes, owner-assigned lock names, and owner-assigned fingerprint names for any range of arbitrary user IDs.",6.5,3.1,CWE-639,cpe:2.3:a:oklok_project:oklok:3.1.1:*:*:*:*:iphone_os:*:*,fingerprint bluetooth padlock
CVE-2020-8792,2020-05-04,"The OKLOK (3.1.1) mobile companion app for Fingerprint Bluetooth Padlock FB50 (2.3) has an information-exposure issue. In the mobile app, an attempt to add an already-bound lock by its barcode reveals the email address of the account to which the lock is bound, as well as the name of the lock. Valid barcode inputs can be easily guessed because barcode strings follow a predictable pattern. Correctly guessed valid barcode inputs entered through the app interface disclose arbitrary users' email addresses and lock names.",5.3,3.1,CWE-330,cpe:2.3:a:oklok_project:oklok:3.1.1:*:*:*:*:iphone_os:*:*,fingerprint bluetooth padlock
