Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2018-15476,2018-08-30,"An issue was discovered in myStrom WiFi Switch V1 before 2.66, WiFi Switch V2 before 3.80, WiFi Switch EU before 3.80, WiFi Bulb before 2.58, WiFi LED Strip before 3.80, WiFi Button before 2.73, and WiFi Button Plus before 2.73. The SSL/TLS server certificate in the device to cloud communication was not verified by the device. As a result, an attacker in control of the network traffic of a device could have taken control of a device by intercepting and modifying commands issued from the server to the device in a Man-in-the-Middle attack. This included the ability to inject firmware update commands into the communication and cause the device to install maliciously modified firmware.",8.1,3.0,CWE-295,cpe:2.3:o:mystrom:wifi_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v1:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v2:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_switch_eu_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_bulb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_bulb:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_led_strip_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_led_strip:-:*:*:*:*:*:*:*
intersection,CVE-2018-15478,2018-08-30,"An issue was discovered in myStrom WiFi Switch V1 before 2.66, WiFi Switch V2 before 3.80, WiFi Switch EU before 3.80, WiFi Bulb before 2.58, WiFi LED Strip before 3.80, WiFi Button before 2.73, and WiFi Button Plus before 2.73. The process of registering a device with a cloud account was based on an activation code derived from the device MAC address. By guessing valid MAC addresses or using MAC addresses printed on devices in shops and reverse engineering the protocol, an attacker would have been able to register previously unregistered devices to their account. When the rightful owner would have connected them after purchase to their WiFi network, the devices would not have registered with their account, would subsequently not have been controllable from the owner's mobile app, and would not have been visible in the owner's account. Instead, they would have been under control of the attacker.",8.1,3.0,CWE-287,cpe:2.3:o:mystrom:wifi_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v1:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v2:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_switch_eu_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_bulb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_bulb:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_led_strip_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_led_strip:-:*:*:*:*:*:*:*
intersection,CVE-2018-15479,2018-08-30,"An issue was discovered in myStrom WiFi Switch V1 before 2.66, WiFi Switch V2 before 3.80, WiFi Switch EU before 3.80, WiFi Bulb before 2.58, WiFi LED Strip before 3.80, WiFi Button before 2.73, and WiFi Button Plus before 2.73. Devices did not authenticate themselves to the cloud in device to cloud communication. This lack of device authentication allowed an attacker to impersonate any device by guessing or learning their MAC address.",6.5,3.0,CWE-287,cpe:2.3:o:mystrom:wifi_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v1:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v2:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_switch_eu_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_bulb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_bulb:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_led_strip_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_led_strip:-:*:*:*:*:*:*:*
intersection,CVE-2018-15480,2018-08-30,"An issue was discovered in myStrom WiFi Switch V1 before 2.66, WiFi Switch V2 before 3.80, WiFi Switch EU before 3.80, WiFi Bulb before 2.58, WiFi LED Strip before 3.80, WiFi Button before 2.73, and WiFi Button Plus before 2.73. The cloud API had a hidden parameter, which allowed an authenticated user to reconfigure the server URL for a device registered to their account. In combination with an insecure device registration vulnerability, this allowed an attacker to reconfigure a maliciously registered device to their own rogue replica of the myStrom API and issue commands to the device, including firmware update commands.",8.8,3.0,,cpe:2.3:o:mystrom:wifi_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v1:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch:v2:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_button_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_button:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_switch_eu_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_switch_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_bulb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_bulb:-:*:*:*:*:*:*:*|cpe:2.3:o:mystrom:wifi_led_strip_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:mystrom:wifi_led_strip:-:*:*:*:*:*:*:*
intersection,CVE-2019-18980,2019-11-14,"On Signify Philips Taolight Smart Wi-Fi Wiz Connected LED Bulb 9290022656 devices, an unprotected API lets remote users control the bulb's operation. Anyone can turn the bulb on or off, or change its color or brightness remotely. There is no authentication or encryption to use the control API. The only requirement is that the attacker have network access to the bulb.",7.5,3.1,CWE-306|CWE-311,cpe:2.3:o:philips:taolight_smart_wi-fi_wiz_connected_led_bulb_9290022656_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:philips:taolight_smart_wi-fi_wiz_connected_led_bulb_9290022656:-:*:*:*:*:*:*:*
intersection,CVE-2022-47100,2023-01-26,A vulnerability in Sengled Smart bulb 0x0000024 allows attackers to arbitrarily perform a factory reset on the device via a crafted IEEE 802.15.4 frame.,7.5,3.1,CWE-20,cpe:2.3:o:sengled:es21-n1eaw_firmware:0x0000024:*:*:*:*:*:*:*|cpe:2.3:h:sengled:es21-n1eaw:-:*:*:*:*:*:*:*
intersection,CVE-2023-42189,2023-10-10,"Insecure Permissions vulnerability in Connectivity Standards Alliance Matter Official SDK v.1.1.0.0 , Nanoleaf Light strip v.3.5.10, Govee LED Strip v.3.00.42, switchBot Hub2 v.1.0-0.8, Phillips hue hub v.1.59.1959097030, and yeelight smart lamp v.1.12.69 allows a remote attacker to cause a denial of service via a crafted script to the KeySetRemove function.",7.5,3.1,CWE-732,cpe:2.3:o:tapo:mini_smart_wi-fi_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tapo:mini_smart_wi-fi_plug:-:*:*:*:*:*:*:*|cpe:2.3:o:nanoleaf:lightstrip_firmware:3.5.10:*:*:*:*:*:*:*|cpe:2.3:h:nanoleaf:lightstrip:-:*:*:*:*:*:*:*|cpe:2.3:o:govee:led_strip_firmware:3.00.42:*:*:*:*:*:*:*|cpe:2.3:h:govee:led_strip:-:*:*:*:*:*:*:*|cpe:2.3:o:switchbot:hub2_firmware:1.0-0.8:*:*:*:*:*:*:*|cpe:2.3:h:switchbot:hub2:-:*:*:*:*:*:*:*|cpe:2.3:o:phillips:hue_bridge_firmware:1.59.1959097030:*:*:*:*:*:*:*|cpe:2.3:h:phillips:hue_bridge:-:*:*:*:*:*:*:*|cpe:2.3:o:yeelight:smart_lamp_firmware:1.12.69:*:*:*:*:*:*:*|cpe:2.3:h:yeelight:smart_lamp:-:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:smart_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:smart_plug:-:*:*:*:*:*:*:*|cpe:2.3:o:orein:smart_bulb_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:orein:smart_bulb:-:*:*:*:*:*:*:*|cpe:2.3:o:eve:eve_door_and_window_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:eve:eve_door_and_window:-:*:*:*:*:*:*:*
intersection,CVE-2017-18642,2020-02-10,"Syska Smart Bulb devices through 2017-08-06 receive RGB parameters over cleartext Bluetooth Low Energy (BLE), leading to sniffing, reverse engineering, and replay attacks.",6.5,3.1,CWE-200,cpe:2.3:o:syska:smartlight_rainbow_led_smart_bulb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:syska:smartlight_rainbow_led_smart_bulb:-:*:*:*:*:*:*:*
intersection,CVE-2023-29779,2023-04-25,"Sengled Dimmer Switch V0.0.9 contains a denial of service (DOS) vulnerability, which allows a remote attacker to send malicious Zigbee messages to a vulnerable device and cause crashes. After receiving the malicious command, the device will keep reporting its status and finally drain its battery after receiving the 'Set_short_poll_interval' command.",7.5,3.1,CWE-770,cpe:2.3:o:sengled:e1e-g7f_firmware:0.0.9:*:*:*:*:*:*:*|cpe:2.3:h:sengled:e1e-g7f:-:*:*:*:*:*:*:*
intersection,CVE-2023-45955,2023-10-31,An issue discovered in Nanoleaf Light strip v3.5.10 allows attackers to cause a denial of service via crafted write binding attribute commands.,7.5,3.1,CWE-400,cpe:2.3:o:nanoleaf:lightstrip_firmware:3.5.10:*:*:*:*:*:*:*|cpe:2.3:h:nanoleaf:lightstrip:-:*:*:*:*:*:*:*
