Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2004-1650,2004-08-31,"D-Link DCS-900 Internet Camera listens on UDP port 62976 for an IP address, which allows remote attackers to change the IP address of the camera via a UDP broadcast packet.",7.5,2.0,,cpe:2.3:h:d-link:dcs-900_internet_camera:2.10:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.20:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.28:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2015-2888,2017-04-10,"Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to bypass authentication, related to the MySnapCam web service.",9.8,3.1,CWE-306,cpe:2.3:o:summerinfant:baby_zoom_wifi_monitor_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:summerinfant:baby_zoom_wifi_monitor:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2015-2889,2017-04-10,Summer Baby Zoom Wifi Monitor & Internet Viewing System allows remote attackers to gain privileges via manual entry of a Settings URL.,8.8,3.1,CWE-264,cpe:2.3:o:summerinfant:baby_zoom_wifi_monitor_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:summerinfant:baby_zoom_wifi_monitor:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2017-7852,2017-04-24,"D-Link DCS cameras have a weak/insecure CrossDomain.XML file that allows sites hosting malicious Flash objects to access and/or change the device's settings via a CSRF attack. This is because of the 'allow-access-from domain' child element set to *, thus accepting requests from any domain. If a victim logged into the camera's web console visits a malicious site hosting a malicious Flash file from another Browser tab, the malicious Flash file then can send requests to the victim's DCS series Camera without knowing the credentials. An attacker can host a malicious Flash file that can retrieve Live Feeds or information from the victim's DCS series Camera, add new admin users, or make other changes to the device. Known affected devices are DCS-933L with firmware before 1.13.05, DCS-5030L, DCS-5020L, DCS-2530L, DCS-2630L, DCS-930L, DCS-932L, and DCS-932LB1.",8.8,3.1,CWE-352,cpe:2.3:o:dlink:dcs-2230l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2230l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2310l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2310l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2332l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2332l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-6010l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-6010l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-7010l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-7010l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2530l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2530l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-930l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-930l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-932l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-934l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-934l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-942l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-942l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-931l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-931l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-933l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-933l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5009l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5009l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5010l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5010l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5000l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5000l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5025l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5025l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5030l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5030l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2210l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2210l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2136l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2136l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2132l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2132l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-7000l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-7000l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-6212l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-6212l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5029l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5029l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-2330l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2330l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5222l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5222l:-:*:*:*:*:*:*:*,Yes,Low,"The CVE affects D-Link DCS series cameras, which are consumer-grade networked cameras. While not explicitly labeled as 'baby monitors', these types of home security cameras are frequently used as baby monitors in residential settings."
vendor_only,CVE-2017-17020,2018-05-01,"On D-Link DCS-5009 devices with firmware 1.08.11 and earlier, DCS-5010 devices with firmware 1.14.09 and earlier, and DCS-5020L devices with firmware before 1.15.01, command injection in alphapd (binary responsible for running the camera's web server) allows remote authenticated attackers to execute code through sanitized /setSystemAdmin user input in the AdminID field being passed directly to a call to system.",8.8,3.0,CWE-78,cpe:2.3:o:dlink:dcs-5009_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5009:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5010_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5010:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-10825,2018-05-15,"Mimo Baby 2 devices do not use authentication or encryption for the Bluetooth Low Energy (BLE) communication from a Turtle to a Lilypad, which allows attackers to inject fake information about the position and temperature of a baby via a replay or spoofing attack.",5.3,3.0,CWE-287|CWE-311,cpe:2.3:o:mimobaby:mimo_baby_2_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:mimobaby:mimo_baby_2:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2017-8408,2019-07-02,"An issue was discovered on D-Link DCS-1130 devices. The device provides a user with the capability of setting a SMB folder for the video clippings recorded by the device. It seems that the GET parameters passed in this request (to test if SMB credentials and hostname sent to the device work properly) result in being passed as commands to a ""system"" API in the function and thus result in command injection on the device. If the firmware version is dissected using binwalk tool, we obtain a cramfs-root archive which contains the filesystem set up on the device that contains all the binaries. The binary ""cgibox"" is the one that has the vulnerable function ""sub_7EAFC"" that receives the values sent by the GET request. If we open this binary in IDA-pro we will notice that this follows a ARM little endian format. The function sub_7EAFC in IDA pro is identified to be receiving the values sent in the GET request and the value set in GET parameter ""user"" is extracted in function sub_7E49C which is then passed to the vulnerable system API call.",9.8,3.0,CWE-77,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8404,2019-07-02,"An issue was discovered on D-Link DCS-1130 devices. The device provides a user with the capability of setting a SMB folder for the video clippings recorded by the device. It seems that the POST parameters passed in this request (to test if email credentials and hostname sent to the device work properly) result in being passed as commands to a ""system"" API in the function and thus result in command injection on the device. If the firmware version is dissected using binwalk tool, we obtain a cramfs-root archive which contains the filesystem set up on the device that contains all the binaries. The library ""libmailutils.so"" is the one that has the vulnerable function ""sub_1FC4"" that receives the values sent by the POST request. If we open this binary in IDA-pro we will notice that this follows an ARM little endian format. The function sub_1FC4 in IDA pro is identified to be receiving the values sent in the POST request and the value set in POST parameter ""receiver1"" is extracted in function ""sub_15AC"" which is then passed to the vulnerable system API call. The vulnerable library function is accessed in ""cgibox"" binary at address 0x0008F598 which calls the ""mailLoginTest"" function in ""libmailutils.so"" binary as shown below which results in the vulnerable POST parameter being passed to the library which results in the command injection issue.",9.8,3.1,CWE-77,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8407,2019-07-02,An issue was discovered on D-Link DCS-1130 devices. The device provides a user with the capability of changing the administrative password for the web management interface. It seems that the device does not implement any cross-site request forgery protection mechanism which allows an attacker to trick a user who is logged in to the web management interface to change the user's password.,8.8,3.1,CWE-352,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8411,2019-07-02,"An issue was discovered on D-Link DCS-1130 devices. The device provides a user with the capability of setting a SMB folder for the video clippings recorded by the device. It seems that the POST parameters passed in this request (to test if email credentials and hostname sent to the device work properly) result in being passed as commands to a ""system"" API in the function and thus result in command injection on the device. If the firmware version is dissected using binwalk tool, we obtain a cramfs-root archive which contains the filesystem set up on the device that contains all the binaries. The library ""libmailutils.so"" is the one that has the vulnerable function ""sub_1FC4"" that receives the values sent by the POST request. If we open this binary in IDA-pro we will notice that this follows an ARM little endian format. The function sub_1FC4 in IDA pro is identified to be receiving the values sent in the POST request and the value set in POST parameter ""receiver1"" is extracted in function ""sub_15AC"" which is then passed to the vulnerable system API call. The vulnerable library function is accessed in ""cgibox"" binary at address 0x00023BCC which calls the ""Send_mail"" function in ""libmailutils.so"" binary as shown below which results in the vulnerable POST parameter being passed to the library which results in the command injection issue.",8.8,3.1,CWE-77,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8405,2019-07-02,"An issue was discovered on D-Link DCS-1130 and DCS-1100 devices. The binary rtspd in /sbin folder of the device handles all the rtsp connections received by the device. It seems that the binary loads at address 0x00012CF4 a flag called ""Authenticate"" that indicates whether a user should be authenticated or not before allowing access to the video feed. By default, the value for this flag is zero and can be set/unset using the HTTP interface and network settings tab as shown below. The device requires that a user logging to the HTTP management interface of the device to provide a valid username and password. However, the device does not enforce the same restriction by default on RTSP URL due to the checkbox unchecked by default, thereby allowing any attacker in possession of external IP address of the camera to view the live video feed. The severity of this attack is enlarged by the fact that there more than 100,000 D-Link devices out there.",7.5,3.1,CWE-287,cpe:2.3:o:dlink:dcs-1100_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1100:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8406,2019-07-02,"An issue was discovered on D-Link DCS-1130 devices. The device provides a crossdomain.xml file with no restrictions on who can access the webserver. This allows an hosted flash file on any domain to make calls to the device's webserver and pull any information that is stored on the device. In this case, user's credentials are stored in clear text on the device and can be pulled easily. It also seems that the device does not implement any cross-site scripting forgery protection mechanism which allows an attacker to trick a user who is logged in to the web management interface into executing a cross-site flashing attack on the user's browser and execute any action on the device provided by the web management interface which steals the credentials from tools_admin.cgi file's response and displays it inside a Textfield.",8.8,3.1,CWE-352,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8409,2019-07-02,"An issue was discovered on D-Link DCS-1130 devices. The device requires that a user logging to the device to provide a username and password. However, the device does not enforce the same restriction on a specific URL thereby allowing any attacker in possession of that to view the live video feed. The severity of this attack is enlarged by the fact that there more than 100,000 D-Link devices out there.",7.5,3.1,CWE-285,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8410,2019-07-02,"An issue was discovered on D-Link DCS-1100 and DCS-1130 devices. The binary rtspd in /sbin folder of the device handles all the rtsp connections received by the device. It seems that the binary performs a memcpy operation at address 0x00011E34 with the value sent in the ""Authorization: Basic"" RTSP header and stores it on the stack. The number of bytes to be copied are calculated based on the length of the string sent in the RTSP header by the client. As a result, memcpy copies more data then it can hold on stack and this results in corrupting the registers for the caller function sub_F6CC which results in memory corruption. The severity of this attack is enlarged by the fact that the same value is then copied on the stack in the function 0x00011378 and this allows to overflow the buffer allocated and thus control the PC register which will result in arbitrary code execution on the device.",9.8,3.1,CWE-119,cpe:2.3:o:dlink:dcs-1100_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1100:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8414,2019-07-02,"An issue was discovered on D-Link DCS-1100 and DCS-1130 devices. The binary orthrus in /sbin folder of the device handles all the UPnP connections received by the device. It seems that the binary performs a sprintf operation at address 0x0000A3E4 with the value in the command line parameter ""-f"" and stores it on the stack. Since there is no length check, this results in corrupting the registers for the function sub_A098 which results in memory corruption.",7.8,3.1,CWE-119,cpe:2.3:o:dlink:dcs-1100_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1100:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-8412,2019-07-02,An issue was discovered on D-Link DCS-1100 and DCS-1130 devices. The device has a custom binary called mp4ts under the /var/www/video folder. It seems that this binary dumps the HTTP VERB in the system logs. As a part of doing that it retrieves the HTTP VERB sent by the user and uses a vulnerable sprintf function at address 0x0000C3D4 in the function sub_C210 to copy the value into a string and then into a log file. Since there is no bounds check being performed on the environment variable at address 0x0000C360 this results in a stack overflow and overwrites the PC register allowing an attacker to execute buffer overflow or even a command injection attack.,8.8,3.1,CWE-119,cpe:2.3:o:dlink:dcs-1130_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1130:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-1100_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-1100:-:*:*:*:*:*:*:*,Yes,High,
