Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6011,"The time-based one-time-password (TOTP) function in the application logic of the Green Electronics RainMachine Mini-8 (2nd generation) uses the administrator's password hash to generate a 6-digit temporary passcode that can be used for remote and local access, aka a ""Use of Password Hash Instead of Password for Authentication"" issue. This is exploitable by an attacker who discovers a hash value in the rainmachine-settings.sqlite file.",cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,8.1,3.0,CWE-287,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6012,The 'Weather Service' feature of the Green Electronics RainMachine Mini-8 (2nd generation) allows an attacker to inject arbitrary Python code via the 'Add new weather data source' upload function.,cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,9.8,3.0,CWE-94,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6906,A persistent Cross Site Scripting (XSS) vulnerability in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allows an attacker to inject arbitrary JavaScript via the REST API.,cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,6.1,3.0,CWE-79,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6907,A Cross Site Request Forgery (CSRF) vulnerability in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allows an attacker to control the RainMachine device via the REST API.,cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,8.8,3.0,CWE-352,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6908,"An authentication bypass vulnerability exists in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allowing an unauthenticated attacker to perform authenticated actions on the device via a 127.0.0.1:port value in the HTTP 'Host' header, as demonstrated by retrieving credentials.",cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*|cpe:2.3:o:rainmachine:touch_hd_12_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:touch_hd_12:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,9.8,3.0,CWE-287,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6909,"A missing X-Frame-Options header in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application could be used by a remote attacker for clickjacking, as demonstrated by triggering an API page request.",cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*,vendor_only,2018-11-01,6.5,3.0,CWE-1021,Yes,High,,No,High,,Yes,High,,Yes,,Yes,RainMachine Mini-8 is a consumer smart irrigation/sprinkler controller — in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2026-7413,"A hidden, persistent backdoor was found in Yarbo firmware v2.3.9 that provides remote, unauthenticated (or weakly authenticated) access to privileged functionality. The backdoor is undocumented, cannot be disabled via user-facing settings, and survives factory reset and ordinary firmware updates.",cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*,vendor_only,2026-05-07,9.8,3.1,CWE-912,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Yarbo cloud/firmware — consumer robotic lawn mower control; in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2026-7414,"Yarbo firmware v2.3.9 contains hardcoded administrative credentials embedded in the firmware image. These credentials are identical across all devices running this firmware and cannot be changed or removed by end users, enabling trivial unauthorized access to device management interfaces by anyone who knows them.",cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*,vendor_only,2026-05-07,9.8,3.1,CWE-798,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Yarbo cloud/firmware — consumer robotic lawn mower control; in-scope for garden category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2026-7415,The MQTT broker embedded in Yarbo firmware v2.3.9 is configured to allow anonymous connections with no topic-level read or write ACLs. Any host on the same network can subscribe to sensitive telemetry topics or publish control messages directly to the robot without authentication or authorization of any kind.,cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*,vendor_only,2026-05-07,9.8,3.1,CWE-306,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Yarbo cloud/firmware — consumer robotic lawn mower control; in-scope for garden category.
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2026-7368,"The Yarbo cloud does not enforce per-device or per-user authorization. Any client possessing valid credentials, whether the shared hard-coded credentials or legitimate per-user credentials, can subscribe to wildcard topics covering all robots globally, and can publish to any robot's command topic using only the robot's serial number (disclosed in the telemetry stream). Even after removal of hard-coded credentials from the app, a single compromised credential could still provide fleet-wide access without per-device access controls.",,vendor_only,2026-06-12,8.1,3.1,CWE-862,Yes,Low,"The Yarbo cloud service is the vendor's own control-plane for its garden robots; an attacker exploiting its authorization flaw can subscribe to and publish on any robot's real command topic using only its serial number — this is direct remote command of the physical device via its own cloud/app layer, squarely in scope.",No,High,,Yes,High,,Yes,,Yes,Yarbo cloud/firmware — consumer robotic lawn mower control; in-scope for garden category.
