category,n_cves,n_scored,mean,median,std,min,q1,q3,max
Access Control,36,36,7.16,6.95,1.58,2.4,6.5,8.35,9.8
Audio,38,38,7.42,7.2,1.83,3.3,6.32,8.8,9.8
Cameras and Monitors,936,936,7.77,7.7,1.56,1.6,6.8,8.8,10.0
Climate & Air,24,24,7.39,7.45,1.68,3.5,6.25,8.43,9.8
Electrical & Lighting,66,66,7.61,7.5,1.45,4.3,6.5,8.8,10.0
Alarms & Sensors,93,93,8.03,8.8,1.86,2.4,6.5,9.8,10.0
Appliances,33,33,6.81,7.4,1.93,2.3,6.1,7.6,9.8
Hubs and Controllers,247,247,8.73,9.8,1.54,2.2,7.95,9.9,10.0
Energy,116,116,7.54,7.5,1.81,3.1,6.4,8.8,10.0
Outdoor & Pet,54,54,7.49,8.1,2.2,2.3,6.3,9.8,9.8
Entertainment,76,76,7.34,7.8,1.62,2.6,6.1,8.1,10.0
