Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2002-2212,2002-12-31,"The DNS resolver in unspecified versions of Fujitsu UXP/V, when resolving recursive DNS queries for arbitrary hosts, allows remote attackers to conduct DNS cache poisoning via a birthday attack that uses a large number of open queries for the same resource record (RR) combined with spoofed responses, which increases the possibility of successfully spoofing a response in a way that is more efficient than brute force methods.",5.0,2.0,,cpe:2.3:a:isc:bind:4.9:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.4:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.5:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.5:p1:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.6:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.7:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.8:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.9:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.10:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.1:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p1:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p2:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p3:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p4:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p5:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p6:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p7:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.4:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.5:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.6:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.7:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.0:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.1:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.4:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:uxp_v:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-1528,2003-12-31,nsr_shutdown in Fujitsu Siemens NetWorker 6.0 allows local users to overwrite arbitrary files via a symlink attack on the nsrsh[PID] temporary file.,7.2,2.0,CWE-59,cpe:2.3:a:fujitsu:siemens_networker:6.0:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2240,2006-05-09,"Unspecified vulnerability in the (1) web cache or (2) web proxy in Fujitsu NetShelter/FW allows remote attackers to cause a denial of service (device unresponsiveness) via certain DNS packets, as demonstrated by the OUSPG PROTOS DNS test suite.",5.0,2.0,,cpe:2.3:h:fujitsu:netshelter_fw:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-l:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-m:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-p:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2517,2006-05-22,"SQL injection vulnerability in MyWeb Portal Office, Standard Edition, Public Edition, Medical Edition, Citizen Edition, School Edition, and Light Edition allows remote attackers to execute arbitrary SQL commands via unknown attack vectors.",7.5,2.0,,cpe:2.3:a:fujitsu:myweb_portal_office:*:*:citizen:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:light:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:medical:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:public:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:school:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:standard:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2196,2006-06-26,Unspecified vulnerability in pinball 0.3.1 allows local users to gain privileges via unknown attack vectors that cause pinball to load plugins from an attacker-controlled directory while operating at raised privileges.,4.6,2.0,,cpe:2.3:a:jochen_friedrich:pinball:0.3.1:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-3578,2006-07-13,Directory traversal vulnerability in Fujitsu ServerView 2.50 up to 3.60L98 and 4.10L11 up to 4.11L81 allows remote attackers to read arbitrary files via unspecified vectors.,5.0,2.0,,cpe:2.3:a:fujitsu:serverview:*:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:2.50:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-3579,2006-07-13,Cross-site scripting (XSS) vulnerability in Fujitsu ServerView 2.50 up to 3.60L98 and 4.10L11 up to 4.11L81 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,4.3,2.0,CWE-79,cpe:2.3:a:fujitsu:serverview:2.50:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:3.60l98:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:4.10l11:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:4.10l81:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1040,2008-02-27,"Buffer overflow in the Single Sign-On function in Fujitsu Interstage Application Server 8.0.0 through 8.0.3 and 9.0.0, Interstage Studio 8.0.1 and 9.0.0, and Interstage Apworks 8.0.0 allows remote attackers to execute arbitrary code via a long URI.",10.0,2.0,CWE-119,cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.0:*:rehl_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.0:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.0:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.1:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.2:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.2:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.2:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.2:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.3:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.3:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.3:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.3:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel_as4_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel5_intel64:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel5_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:rhel5_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0a:*:rhel_as4_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0a:*:rhel5_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:v9.0.0a:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.0:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.0:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.0:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.2:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.2:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.2:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.2:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.3:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.3:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.3:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.3:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel_as4_em64t:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel_as4_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel_as4_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel5_intel64:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel5_ipf:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:rhel5_x86:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:solaris:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:v9.0.0a:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks_enterprise:8.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks_standard_j:8.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio_enterprise:8.0.1:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio_enterprise:v9.0.0:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio_standard_j:8.0.1:*:windows:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio_standard_j:v9.0.0:*:windows:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1207,2008-03-08,"Multiple unspecified vulnerabilities in Fujitsu Interstage Smart Repository, as used in multiple Fujitsu Interstage products, allow remote attackers to cause a denial of service (daemon crash) via (1) an invalid request or (2) a large amount of data sent to the registered attribute value.",5.0,2.0,CWE-119,cpe:2.3:a:fujitsu:interstage_application_server_enterprise:7.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:7.0.1:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.1:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_enterprise:8.0.2:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_plus:7.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_plus:7.0.1:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.1:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server_standard_j:8.0.2:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks_enterprise:8.0.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks_modelers_j:7.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks_standard_j:8.0.0:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_business_application_server:8.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_smart_repository:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2010-1942,2010-05-19,"Unspecified vulnerability in the Servlet service in Fujitsu Limited Interstage Application Server 3.0 through 7.0, as used in Interstage Application Framework Suite, Interstage Business Application Server, and Interstage List Manager, allows attackers to obtain sensitive information or force invalid requests to be processed via unknown vectors related to unspecified invalid requests and settings on the load balancing device.",6.4,2.0,,cpe:2.3:a:fujitsu:interstage_application_server:3.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:3.0:*:standard:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:4.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:4.0:*:standard:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:4.0:*:web_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:4.1:*:standard:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:4.1:*:web_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:5.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:5.0:*:standard:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:5.0:*:web_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:5.0.1:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:5.0.1:*:plus_developer:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:6.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:6.0:*:plus:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:plus:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:standard:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0.1:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0.1:*:plus:*:*:*:*:*,No,High,
