Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2001-1137,2001-09-06,D-Link DI-704 Internet Gateway firmware earlier than V2.56b6 allows remote attackers to cause a denial of service (reboot) via malformed IP datagram fragments.,5.0,2.0,,cpe:2.3:h:d-link:dl-704:v2.56b5:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2001-1220,2001-12-21,"D-Link DWL-1000AP Firmware 3.2.28 #483 Wireless LAN Access Point stores the administrative password in plaintext in the default Management Information Base (MIB), which allows remote attackers to gain administrative privileges.",10.0,2.0,,cpe:2.3:h:d-link:dwl-1000ap:3.2.28_483:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2001-1221,2001-12-21,D-Link DWL-1000AP Firmware 3.2.28 #483 Wireless LAN Access Point uses a default SNMP community string of 'public' which allows remote attackers to gain sensitive information.,5.0,2.0,,cpe:2.3:h:d-link:dwl-1000ap:3.2.28_483:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1068,2002-10-04,The web server for D-Link DP-300 print server allows remote attackers to cause a denial of service (hang) via a large HTTP POST request.,5.0,2.0,,cpe:2.3:h:d-link:dp-303:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1069,2002-10-04,"The remote administration capability for the D-Link DI-804 router 4.68 allows remote attackers to bypass authentication and release DHCP addresses or obtain sensitive information via a direct web request to the pages (1) release.htm, (2) Device Status, or (3) Device Information.",5.0,2.0,,cpe:2.3:h:d-link:di-804:4.68:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1810,2002-12-31,"D-Link DWL-900AP+ Access Point 2.1 and 2.2 allows remote attackers to access the TFTP server without authentication and read the config.img file, which contains sensitive information such as the administrative password, the WEP encryption keys, and network configuration information.",7.5,3.1,CWE-306,cpe:2.3:o:dlink:dwl-900ap\+_firmware:2.1:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dwl-900ap\+_firmware:2.2:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dwl-900ap\+:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1865,2002-12-31,"Buffer overflow in the Embedded HTTP server, as used in (1) D-Link DI-804 4.68, Dl-704 V2.56b6, and Dl-704 V2.56b5 and (2) Linksys Etherfast BEFW11S4 Wireless AP + Cable/DSL Router 1.37.2 through 1.42.7 and Linksys WAP11 1.3 and 1.4, allows remote attackers to cause a denial of service (crash) via a long header, as demonstrated using the Host header.",5.0,2.0,,cpe:2.3:h:d-link:di-804:4.68:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dl-704:2.56_b5:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dl-704:2.56_b6:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.4.2.7:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.2:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.2b:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.9b:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.40.3:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.42.7:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:1.3:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:1.4:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-2137,2002-12-31,"GlobalSunTech Wireless Access Points (1) WISECOM GL2422AP-0T, and possibly OEM products such as (2) D-Link DWL-900AP+ B1 2.1 and 2.2, (3) ALLOY GL-2422AP-S, (4) EUSSO GL2422-AP, and (5) LINKSYS WAP11-V2.2, allow remote attackers to obtain sensitive information like WEP keys, the administrator password, and the MAC filter via a ""getsearch"" request to UDP port 27155.",5.0,2.0,,cpe:2.3:h:alloy:gl-2422ap-s:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:b1_2.1:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:b1_2.2:*:*:*:*:*:*:*|cpe:2.3:h:eusso:gl2422_ap:*:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:2.2:*:*:*:*:*:*:*|cpe:2.3:h:wisecom:gl2422ap-0t:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-1264,2003-12-31,"TFTP server in Longshine Wireless Access Point (WAP) LCS-883R-AC-B, and in D-Link DI-614+ 2.0 which is based on it, allows remote attackers to obtain the WEP secret and gain administrator privileges by downloading the configuration file (config.img) and other files without authentication.",5.0,2.0,,cpe:2.3:h:d-link:di-614\+:2.0:*:*:*:*:*:*:*|cpe:2.3:h:longshine_technologie:longshine_wireless_ethernet_access_point:lcs-883r-ac-b:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-1346,2003-12-31,"D-Link wireless access point DWL-900AP+ 2.2, 2.3 and possibly 2.5 allows remote attackers to set factory default settings by upgrading the firmware using AirPlus Access Point Manager.",10.0,2.0,CWE-264,cpe:2.3:h:d-link:dwl-900ap\+:2.2:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:2.3:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:2.5:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2004-0661,2004-08-06,"Integer signedness error in D-Link AirPlus DI-614+ running firmware 2.30 and earlier allows remote attackers to cause a denial of service (IP lease depletion) via a DHCP request with the LEASETIME option set to -1, which makes the DHCP lease valid for thirteen or more years.",5.0,2.0,,cpe:2.3:h:d-link:di-604:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-614\+:2.30:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-624:1.28:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2004-1650,2004-08-31,"D-Link DCS-900 Internet Camera listens on UDP port 62976 for an IP address, which allows remote attackers to change the IP address of the camera via a UDP broadcast packet.",7.5,2.0,,cpe:2.3:h:d-link:dcs-900_internet_camera:2.10:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.20:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.28:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2004-0615,2004-12-06,"Cross-site scripting (XSS) vulnerability in D-Link DI-614+ SOHO router running firmware 2.30, and DI-704 SOHO router running firmware 2.60B2, and DI-624, allows remote attackers to inject arbitrary script or HTML via the DHCP HOSTNAME option in a DHCP request.",5.1,2.0,,cpe:2.3:h:d-link:di-614\+:2.30:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-704p:2.60b2:*:*:*:*:*:*:*|cpe:2.3:h:dlink:di-624:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2004-2100,2004-12-31,"GeoHttpServer, when configured to authenticate users, allows remote attackers to bypass authentication and access unauthorized files via a URL that contains %0a%0a (encoded newlines).",5.0,2.0,,cpe:2.3:a:geovision:geohttpserver:*:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2004-2101,2004-12-31,"The sysinfo script in GeoHttpServer allows remote attackers to cause a denial of service (crash) via a long pwd parameter, possibly triggering a buffer overflow.",5.0,2.0,,cpe:2.3:a:geovision:geohttpserver:*:*:*:*:*:*:*:*,Yes,Low,"GeoVision is a well-known manufacturer of security cameras and NVRs. GeoHttpServer is the web server used for managing these devices. While the CVE description is generic, the software is associated with home and small business security cameras."
