Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-7278,Unspecified vulnerability in ASSA ABLOY APTUS Styra Porttelefonkort 4400 before A2 has unknown impact and attack vectors.,cpe:2.3:o:aptus:styra_porttelefonkort_4400_firmware:a1:*:*:*:*:*:*:*|cpe:2.3:h:aptus:styra_porttelefonkort_4400:-:*:*:*:*:*:*:*,vendor_only,2017-08-18,9.8,3.0,,Maybe,Low,ASSA ABLOY Aptus is an access-control/door-entry system for multi-dwelling residential buildings (this is a door-phone board); it governs building door access but is a professionally-managed building system rather than a consumer home smart lock.,No,High,,Yes,High,,No,,No,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-10176,ASSA ABLOY Yale WIPC-301W 2.x.2.29 through 2.x.2.43_p1 devices allow Eval Injection of commands.,cpe:2.3:o:assaabloy:yale_wipc-301w_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:assaabloy:yale_wipc-301w_firmware:2.x.2.43:-:*:*:*:*:*:*|cpe:2.3:o:assaabloy:yale_wipc-301w_firmware:2.x.2.43:p1:*:*:*:*:*:*|cpe:2.3:h:assaabloy:yale_wipc-301w:-:*:*:*:*:*:*:*,vendor_only,2020-05-07,9.8,3.1,CWE-94,Maybe,Low,"Yale/ASSA ABLOY WIPC-301W may be a wireless IP peephole camera or door entry panel; the WIPC naming suggests a camera product rather than a door lock, but Yale also sells combined door viewer/lock products; no explicit door lock context in description",No,High,,Yes,High,,No,,No,Yale WIPC-301W is a WiFi door peephole camera — not a door lock; belongs in cameras category.
C:No/High  X:Yes/High  G:No/High,judgments not unanimous,CVE-2016-6769,"An elevation of privilege vulnerability in Smart Lock could enable a local malicious user to access Smart Lock settings without a PIN. This issue is rated as Moderate because it first requires physical access to an unlocked device where Smart Lock was the last settings pane accessed by the user. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1. Android ID: A-29055171.",cpe:2.3:o:google:android:5.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.2:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0.1:*:*:*:*:*:*:*,keyword_only,2017-01-12,4.6,3.0,CWE-284,No,High,,Yes,High,,No,High,,No,,No,Android OS Smart Lock phone feature — not a smart door lock device; phone OS software out of scope.
C:Yes/High  X:Yes/High  G:No/High,judgments not unanimous,CVE-2016-1148,Akerun - Smart Lock Robot App for iOS before 1.2.4 does not verify SSL certificates.,cpe:2.3:a:photosynth:akerun:*:*:*:*:*:iphone_os:*:*,keyword_only,2017-04-21,8.1,3.1,CWE-295,Yes,High,,Yes,High,,No,High,,Yes,,Yes,Phone/watch/wearable sensor — not a standalone home IoT sensor.
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-11334,An authentication bypass in website post requests in the Tzumi Electronics Klic Lock application 1.0.9 for mobile devices allows attackers to access resources (that are not otherwise accessible without proper authentication) via capture-replay. Physically proximate attackers can use this information to unlock unauthorized Tzumi Electronics Klic Smart Padlock Model 5686 Firmware 6.2.,cpe:2.3:a:tzumi:klic_lock:1.0.9:*:*:*:*:*:*:*|cpe:2.3:o:tzumi:klic_smart_padlock_model_5686_firmware:6.2:*:*:*:*:*:*:*|cpe:2.3:h:tzumi:klic_smart_padlock_model_5686:-:*:*:*:*:*:*:*,keyword_only,2019-06-11,3.7,3.1,CWE-294,No,Low,"Tzumi Klic Lock is a smart padlock for portable use (bikes, storage), not a residential door lock or garage door opener; the CPE confirms a smart padlock model",No,High,,Yes,High,,No,,No,Portable smart padlock (bike/storage) — not a residential door lock; wrong category.
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-36228,"Nokelock Smart padlock O1 Version 5.3.0 is vulnerable to Insecure Permissions. By sending a request, you can add any device and set the device password in the Nokelock app.",cpe:2.3:o:janusintl:noke_standard_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_standard_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd\+_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd\+_smart_padlock:-:*:*:*:*:*:*:*,keyword_only,2023-10-09,6.5,3.1,CWE-862,No,Low,"Nokelock O1 is a smart padlock for portable use, not a residential door lock; padlocks are used for bikes and storage rather than home entry control",No,High,,Yes,High,,No,,No,Portable smart padlock (bike/storage) — not a residential door lock; wrong category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-9438,"Tinxy Door Lock with firmware before 3.2 allow attackers to unlock a door by replaying an Unlock request that occurred when the attacker was previously authorized. In other words, door-access revocation is mishandled.",cpe:2.3:o:tinxy:smart_wifi_door_lock_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tinxy:smart_wifi_door_lock:-:*:*:*:*:*:*:*,keyword_only,2020-06-23,5.9,3.1,CWE-294,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Tinxy Smart WiFi Door Lock — consumer home smart lock; in-scope for doorlock category.
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-12681,Missing TLS certificate validation on 3xLogic Infinias eIDC32 devices through 3.4.125 allows an attacker to intercept/control the channel by which door lock policies are applied.,cpe:2.3:o:3xlogic:infinias_eidc32_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:3xlogic:infinias_eidc32:-:*:*:*:*:*:*:*,keyword_only,2021-07-26,7.5,3.1,CWE-295,No,High,,No,High,,Yes,High,,No,,No,3xLogic Infinias eIDC32 is commercial building access control — not consumer home door lock; out of scope.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-9059,"Z-Wave devices based on Silicon Labs 500 series chipsets using S0 authentication are susceptible to uncontrolled resource consumption leading to battery exhaustion. As an example, the Schlage BE468 version 3.42 door lock is vulnerable and fails open at a low battery level.",cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:schlage:be468:3.42:*:*:*:*:*:*:*,keyword_only,2022-01-10,6.5,3.1,CWE-400|CWE-770,Yes,High,,No,High,,Yes,High,,Yes,,Yes,"Silicon Labs Z-Wave/EmberZNet vulnerability with direct consumer smart door lock impact (e.g. Schlage BE468, Door Lock cluster)."
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-46307,"SGUDA U-Lock central lock control service’s lock management function has incorrect authorization. A remote attacker with general privilege can exploit this vulnerability to call privileged APIs to acquire information, manipulate or disrupt the functionality of arbitrary electronic locks.",cpe:2.3:o:sguda:u-lock_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sguda:u-lock:-:*:*:*:*:*:*:*,keyword_only,2023-06-02,8.8,3.1,CWE-863,Yes,High,,No,High,,Yes,High,,Yes,,Yes,SGUDA U-Lock is a consumer WiFi smart deadbolt; cloud lock-management API flaw is in-scope for doorlock.
