Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2019-16730,2019-12-13,processCommandUpgrade() in libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to execute arbitrary system commands as the root user.,9.8,3.1,CWE-78,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16731,2019-12-13,The udpServerSys service in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to initiate firmware upgrades and alter device settings.,7.5,3.1,CWE-306,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16732,2019-12-13,Unencrypted HTTP communications for firmware upgrades in Petalk AI and PF-103 allow man-in-the-middle attackers to run arbitrary code as the root user.,8.1,3.1,CWE-319|CWE-347,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16733,2019-12-13,processCommandSetUid() in libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to execute arbitrary system commands as the root user.,9.8,3.1,CWE-78,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16734,2019-12-13,Use of default credentials for the TELNET server in Petwant PF-103 firmware 4.3.2.50 and Petalk AI 3.2.2.30 allows remote attackers to execute arbitrary system commands as the root user.,9.8,3.1,CWE-798,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16735,2019-12-13,A stack-based buffer overflow in processCommandUploadLog in libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to cause denial of service or run arbitrary code as the root user.,9.8,3.1,CWE-787,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16736,2019-12-13,A stack-based buffer overflow in processCommandUploadSnapshot in libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to cause denial of service or run arbitrary code as the root user.,9.8,3.1,CWE-787,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-16737,2019-12-13,The processCommandSetMac() function of libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to execute arbitrary system commands as the root user.,9.8,3.1,CWE-78,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-17364,2019-12-13,The processCommandUploadLog() function of libcommon.so in Petwant PF-103 firmware 4.22.2.42 and Petalk AI 3.2.2.30 allows remote attackers to execute arbitrary system commands as the root user.,9.8,3.1,CWE-78,cpe:2.3:o:skymee:petalk_ai_firmware:3.2.2.30:*:*:*:*:*:*:*|cpe:2.3:h:skymee:petalk_ai:-:*:*:*:*:*:*:*|cpe:2.3:o:petwant:pf-103_firmware:4.22.2.42:*:*:*:*:*:*:*|cpe:2.3:h:petwant:pf-103:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-24918,2021-04-30,"A buffer overflow in the RTSP service of the Ambarella Oryx RTSP Server 2020-01-07 allows an unauthenticated attacker to send a crafted RTSP request, with a long digest authentication header, to execute arbitrary code in parse_authentication_header() in libamprotocol-rtsp.so.1 in rtsp_svc (or cause a crash). This allows remote takeover of a Furbo Dog Camera, for example. NOTE: The vendor states that the RTSP library is used for DEMO only, using it in product is a customer's behavior. Ambarella has emphasized that RTSP is DEMO only library, should NOT be used in product in our document. Because Ambarella's SDK is proprietary, we didn't publish our SDK source code in public network.",9.8,3.1,CWE-120,cpe:2.3:a:ambarella:oryx_rtsp_server:2020-01-07:*:*:*:*:*:*:*,,,
