Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason
vendor_only,CVE-2012-2210,2012-04-11,"The Sony Bravia TV KDL-32CX525 allows remote attackers to cause a denial of service (configuration outage or device crash) via a flood of TCP SYN packets, as demonstrated by hping, a related issue to CVE-1999-0116.",7.8,2.0,CWE-399,cpe:2.3:h:sony:bravia_tv:kdl-32cx525:*:*:*:*:*:*:*,Yes,High,,,,,No,High,,incomplete,,
vendor_only,CVE-2014-4452,2014-11-18,"WebKit, as used in Apple iOS before 8.1.1 and Apple TV before 7.0.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than CVE-2014-4462.",5.4,2.0,CWE-399,cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:itunes:*:*:*:*:*:*:*:*,Yes,High,,,,,No,High,,incomplete,,
vendor_only,CVE-2014-4455,2014-11-18,"dyld in Apple iOS before 8.1.1 and Apple TV before 7.0.2 does not properly handle overlapping segments in Mach-O executable files, which allows local users to bypass intended code-signing restrictions via a crafted file.",2.1,2.0,CWE-264,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0.1:*:*:*:*:*:*:*,Yes,High,,,,,No,High,,incomplete,,
vendor_only,CVE-2014-4461,2014-11-18,"The kernel in Apple iOS before 8.1.1 and Apple TV before 7.0.2 does not properly validate IOSharedDataQueue object metadata, which allows attackers to execute arbitrary code in a privileged context via a crafted application.",9.3,2.0,CWE-20,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.8.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.9.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.10.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*,Yes,High,,,,,No,High,,incomplete,,
vendor_only,CVE-2014-4462,2014-11-18,"WebKit, as used in Apple iOS before 8.1.1 and Apple TV before 7.0.2, allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site, a different vulnerability than CVE-2014-4452.",5.8,2.0,CWE-399,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:8.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.0.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.1.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:6.2.1:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:7.0:*:*:*:*:*:*:*,Yes,High,,,,,No,High,,incomplete,,
vendor_only,CVE-2016-2230,2016-02-08,"OpenELEC and RasPlex devices have a hardcoded password for the root account, which makes it easier for remote attackers to obtain access via an SSH session.",9.8,3.0,CWE-255,cpe:2.3:o:openelec:openelec:*:*:*:*:*:*:*:*,No,Low,"OpenELEC is open-source media center software for Raspberry Pi and generic embedded hardware; it is a media player application without home-control surface functionality (no voice assistant, Matter/Thread, IoT device management); pure media playback does not qualify under criterion 4(b)",,,,No,High,,incomplete,,
vendor_only,CVE-2017-5925,2017-02-27,"Page table walks conducted by the MMU during virtual to physical address translation leave a trace in the last level cache of modern Intel processors. By performing a side-channel attack on the MMU operations, it is possible to leak data and code pointers from JavaScript, breaking ASLR.",7.5,3.0,CWE-200,cpe:2.3:h:allwinner:a64:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:athlon_ii_640_x4:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:e-350:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8120_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8320_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8350_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:phenom_9550_4-core:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:atom_c2750:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:celeron_n2840:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i5_m480:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-2620qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-3632qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-4500u:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-6700k:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7_920:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e3-1240_v5:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e5-2658_v2:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd570m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd580m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:exynos_5800:-:*:*:*:*:*:*:*,No,Low,"Generic Allwinner SoC/CPU vulnerability affecting many processor architectures; Allwinner chips are used in some streaming boxes but the CVE is in the CPU/hardware layer, not in a specific home streaming device",,,,No,High,,incomplete,,
vendor_only,CVE-2017-5926,2017-02-27,"Page table walks conducted by the MMU during virtual to physical address translation leave a trace in the last level cache of modern AMD processors. By performing a side-channel attack on the MMU operations, it is possible to leak data and code pointers from JavaScript, breaking ASLR.",7.5,3.0,CWE-200,cpe:2.3:h:allwinner:a64:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:athlon_ii_640_x4:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:e-350:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8120_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8320_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8350_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:phenom_9550_4-core:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:atom_c2750:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:celeron_n2840:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i5_m480:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-2620qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-3632qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-4500u:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-6700k:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7_920:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e3-1240_v5:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e5-2658_v2:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd570m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd580m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:exynos_5800:-:*:*:*:*:*:*:*,No,Low,"Generic Allwinner SoC/CPU vulnerability affecting many processor architectures; Allwinner chips are used in some streaming boxes but the CVE is in the CPU/hardware layer, not in a specific home streaming device",,,,No,High,,incomplete,,
vendor_only,CVE-2017-5927,2017-02-27,"Page table walks conducted by the MMU during virtual to physical address translation leave a trace in the last level cache of modern ARM processors. By performing a side-channel attack on the MMU operations, it is possible to leak data and code pointers from JavaScript, breaking ASLR.",7.5,3.0,CWE-200,cpe:2.3:h:allwinner:a64:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:athlon_ii_640_x4:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:e-350:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8120_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8320_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:fx-8350_8-core:-:*:*:*:*:*:*:*|cpe:2.3:h:amd:phenom_9550_4-core:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:atom_c2750:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:celeron_n2840:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i5_m480:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-2620qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-3632qm:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-4500u:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7-6700k:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:core_i7_920:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e3-1240_v5:-:*:*:*:*:*:*:*|cpe:2.3:h:intel:xeon_e5-2658_v2:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd570m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:nvidia:tegra_k1_cd580m-a1:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:exynos_5800:-:*:*:*:*:*:*:*,No,Low,"Generic Allwinner SoC/CPU vulnerability affecting many processor architectures; Allwinner chips are used in some streaming boxes but the CVE is in the CPU/hardware layer, not in a specific home streaming device",,,,No,High,,incomplete,,
vendor_only,CVE-2017-5982,2017-02-28,"Directory traversal vulnerability in the Chorus2 2.4.2 add-on for Kodi allows remote attackers to read arbitrary files via a %2E%2E%252e (encoded dot dot slash) in the image path, as demonstrated by image/image%3A%2F%2F%2e%2e%252fetc%252fpasswd.",7.5,3.0,CWE-22,cpe:2.3:a:kodi:kodi:17.1:*:*:*:*:*:*:*,No,Low,"Kodi is an open-source media player application that runs on PCs, mobile phones, Raspberry Pi, and embedded devices; it is pure media playback software without home-control surface functionality and does not qualify as a home streaming device under criterion 4(b)",,,,No,High,,incomplete,,
