category,device,vendor,product,cve_count,allowed_values,Value,Confidence,Reasoning
cameras,abus:tvip_10055b,abus,tvip_10055b,5,camera|recorder|other|unsure,camera,High,ABUS TVIP series is the brand's IP camera line.
cameras,abus:tvip_11000,abus,tvip_11000,5,camera|recorder|other|unsure,camera,High,ABUS TVIP series IP camera.
cameras,abus:tvip_31050,abus,tvip_31050,5,camera|recorder|other|unsure,camera,High,ABUS TVIP series IP camera.
cameras,amcrest:amdv10814-h5,amcrest,amdv10814-h5,2,camera|recorder|other|unsure,recorder,High,Amcrest AMDV part code denotes a DVR; 08 is the channel count.
cameras,axis:cannon_network_camera,axis,cannon_network_camera,2,camera|recorder|other|unsure,camera,High,Named a network camera outright.
cameras,c-first:cfr-4ehd,c-first,cfr-4ehd,2,camera|recorder|other|unsure,recorder,Low,"Channel-count naming (4E) is a recorder convention, but the brand is unfamiliar."
cameras,c-first:cfr-8eaa,c-first,cfr-8eaa,2,camera|recorder|other|unsure,recorder,Low,8-channel naming implies a multi-channel recorder; brand unfamiliar.
cameras,c-first:cfr-8ehd,c-first,cfr-8ehd,2,camera|recorder|other|unsure,recorder,Low,8-channel naming implies a recorder; brand unfamiliar.
cameras,castel:nextgen_dvr,castel,nextgen_dvr,4,camera|recorder|other|unsure,recorder,High,Product name says DVR.
cameras,cpplusworld:cp-uvr-1601e1-h,cpplusworld,cp-uvr-1601e1-h,1,camera|recorder|other|unsure,recorder,High,"CP Plus UVR = universal video recorder, 16-channel."
cameras,cpplusworld:cp-vnr-3104,cpplusworld,cp-vnr-3104,1,camera|recorder|other|unsure,recorder,High,"CP Plus VNR = network video recorder, 4-channel."
cameras,d-link:dcs-8000lh,d-link,dcs-8000lh,1,camera|recorder|other|unsure,camera,High,D-Link DCS series is its IP camera line (mini HD wifi camera).
cameras,dahua:dh-ipc-hx883x,dahua,dh-ipc-hx883x,1,camera|recorder|other|unsure,camera,High,Dahua IPC prefix = IP camera.
cameras,dahua:nvr4xxx-4ks2,dahua,nvr4xxx-4ks2,1,camera|recorder|other|unsure,recorder,High,Dahua NVR series network video recorder.
cameras,dahuasecurity:dh-hcvr5xxx,dahuasecurity,dh-hcvr5xxx,2,camera|recorder|other|unsure,recorder,High,Dahua HCVR = hybrid composite video recorder.
cameras,dahuasecurity:dh-ipc-hdbw13a0sn,dahuasecurity,dh-ipc-hdbw13a0sn,2,camera|recorder|other|unsure,camera,High,Dahua IPC-HDBW = IP dome camera.
cameras,dahuasecurity:dhi-hcvr58a32s-s2,dahuasecurity,dhi-hcvr58a32s-s2,2,camera|recorder|other|unsure,recorder,High,"Dahua HCVR hybrid video recorder, 32-channel."
cameras,dahuasecurity:dvr2116c,dahuasecurity,dvr2116c,5,camera|recorder|other|unsure,recorder,High,Product name says DVR.
cameras,dahuasecurity:dvr2404lf-s,dahuasecurity,dvr2404lf-s,5,camera|recorder|other|unsure,recorder,High,Product name says DVR.
cameras,dahuasecurity:dvr5204a,dahuasecurity,dvr5204a,5,camera|recorder|other|unsure,recorder,High,Product name says DVR.
cameras,dahuasecurity:ipc-hdbw4x2x,dahuasecurity,ipc-hdbw4x2x,5,camera|recorder|other|unsure,camera,High,Dahua IPC-HDBW = IP dome camera.
cameras,dahuasecurity:ipc-hf5842f-ze,dahuasecurity,ipc-hf5842f-ze,1,camera|recorder|other|unsure,camera,High,Dahua IPC-HF = IP box camera.
cameras,dahuasecurity:ipc-hum7xxx,dahuasecurity,ipc-hum7xxx,1,camera|recorder|other|unsure,camera,High,Dahua IPC-HUM = covert IP camera module.
cameras,dahuasecurity:n42b3p,dahuasecurity,n42b3p,4,camera|recorder|other|unsure,recorder,Low,Dahua N-prefix NVR under its North American naming; less certain than an explicit NVR string.
cameras,dahuasecurity:n52b3p,dahuasecurity,n52b3p,4,camera|recorder|other|unsure,recorder,Low,Dahua N-prefix NVR (NA naming); inferred from the series letter alone.
cameras,dahuasecurity:nvr1xxx,dahuasecurity,nvr1xxx,1,camera|recorder|other|unsure,recorder,High,Named NVR.
cameras,dahuasecurity:nvr4108-8p-4ks2\/l,dahuasecurity,nvr4108-8p-4ks2\/l,7,camera|recorder|other|unsure,recorder,High,"Dahua NVR4108, 8-channel network video recorder."
cameras,dahuasecurity:nvr4108-8p-4ks3,dahuasecurity,nvr4108-8p-4ks3,7,camera|recorder|other|unsure,recorder,High,"Dahua NVR4108, 8-channel network video recorder."
cameras,dahuasecurity:nvr4108hs-8p-4ks3,dahuasecurity,nvr4108hs-8p-4ks3,7,camera|recorder|other|unsure,recorder,High,Dahua NVR4108HS network video recorder.
cameras,dahuasecurity:nvr5832\/5864-i,dahuasecurity,nvr5832\/5864-i,1,camera|recorder|other|unsure,recorder,High,Dahua NVR58 series recorder.
cameras,dahuasecurity:sd22404t-gn-w,dahuasecurity,sd22404t-gn-w,1,camera|recorder|other|unsure,camera,High,Dahua SD prefix = speed dome PTZ camera.
cameras,dahuasecurity:sd59430i-hc,dahuasecurity,sd59430i-hc,1,camera|recorder|other|unsure,camera,High,Dahua SD59 speed dome PTZ camera.
cameras,dahuasecurity:sd5a425xa-hnr,dahuasecurity,sd5a425xa-hnr,1,camera|recorder|other|unsure,camera,High,Dahua SD5A speed dome PTZ camera.
cameras,dahuasecurity:tpc-sd8x21,dahuasecurity,tpc-sd8x21,2,camera|recorder|other|unsure,camera,High,Dahua TPC = thermal PTZ camera.
cameras,dahuasecurity:xvr5104he-i2,dahuasecurity,xvr5104he-i2,1,camera|recorder|other|unsure,recorder,High,Dahua XVR = penta-brid video recorder.
cameras,dahuasecurity:xvr5416l-i2,dahuasecurity,xvr5416l-i2,1,camera|recorder|other|unsure,recorder,High,"Dahua XVR video recorder, 16-channel."
cameras,dlink:dcs-1100,dlink,dcs-1100,12,camera|recorder|other|unsure,camera,High,D-Link DCS series IP camera.
cameras,dlink:dcs-1130,dlink,dcs-1130,18,camera|recorder|other|unsure,camera,High,D-Link DCS series IP camera.
cameras,dlink:dcs-2103,dlink,dcs-2103,1,camera|recorder|other|unsure,camera,High,D-Link DCS series IP camera.
cameras,dlink:dcs-8000lh,dlink,dcs-8000lh,1,camera|recorder|other|unsure,camera,High,D-Link DCS series IP camera.
cameras,ezviz:cs-c6cn-a0-3h2wfr,ezviz,cs-c6cn-a0-3h2wfr,1,camera|recorder|other|unsure,camera,High,EZVIZ C6CN indoor pan/tilt camera.
cameras,ezviz:cs-c6n-a0-1c2wfr-mul,ezviz,cs-c6n-a0-1c2wfr-mul,2,camera|recorder|other|unsure,camera,High,EZVIZ C6N indoor pan/tilt camera.
cameras,ezviz:cs-c6n-r101-1g2wf,ezviz,cs-c6n-r101-1g2wf,2,camera|recorder|other|unsure,camera,High,EZVIZ C6N indoor pan/tilt camera.
cameras,foscam:c1_lite,foscam,c1_lite,4,camera|recorder|other|unsure,camera,High,Foscam C1 indoor IP camera.
cameras,foscam:fi9826w,foscam,fi9826w,3,camera|recorder|other|unsure,camera,High,Foscam FI98 series IP camera.
cameras,goahead:wireless_ip_camera_wificam,goahead,wireless_ip_camera_wificam,1,camera|recorder|other|unsure,camera,High,Named a wireless IP camera.
cameras,hikvision:ds-2cd2021g1-i\(w\),hikvision,ds-2cd2021g1-i\(w\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD prefix = IP camera.
cameras,hikvision:ds-2cd2547g2-ls,hikvision,ds-2cd2547g2-ls,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD = IP camera.
cameras,hikvision:ds-2cd2583g2-i\(s\),hikvision,ds-2cd2583g2-i\(s\),1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD = IP camera.
cameras,hikvision:ds-2cd2686g2-izs,hikvision,ds-2cd2686g2-izs,1,camera|recorder|other|unsure,camera,High,Hikvision DS-2CD = IP camera.
