Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2005-4786,2005-12-31,"Buffer overflow in the archive decompression library (vrAZMain.dll 5.8.22.137), as used in HAURI anti-virus products including (1) ViRobot Expert 4.0, (2) ViRobot Advanced Server, and (3) HAURI LiveCall, allows user-assisted attackers to execute arbitrary code via an ALZ archive containing a file with a long filename.",4.0,2.0,,cpe:2.3:a:hauri:hauri_livecall:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:advanced_server:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:expert_4.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:linux_server_2.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:vrazmain.dll:5.8.22.137:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-2720,2005-08-30,"Stack-based buffer overflow in the ACE archive decompression library (vrAZace.dll) in HAURI Anti-Virus products including ViRobot Expert 4.0, Advanced Server, Linux Server 2.0, and LiveCall, when compressed file scanning is enabled, allows remote attackers to execute arbitrary code via an ACE archive that contains a file with a long filename.",7.5,2.0,,cpe:2.3:a:hauri:livecall:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_advanced_server:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_expert:4.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_linux_server:2.0:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-2670,2005-08-23,"Directory traversal vulnerability in HAURI Anti-Virus products including ViRobot Expert 4.0, Advanced Server, Linux Server 2.0, and LiveCall allows remote attackers to overwrite arbitrary files via "".."" sequences in filenames contained in (1) ACE, (2) ARJ, (3) CAB, (4) LZH, (5) RAR, (6) TAR and (7) ZIP files.",5.0,2.0,,cpe:2.3:a:hauri:livecall:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_advanced_server:*:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_expert:4.0:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot_linux_server:2.0:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-2041,2005-06-15,"Buffer overflow in addschup in HAURI ViRobot 2.0, and possibly other products, allows remote attackers to execute arbitrary code via a long ViRobot_ID cookie (HTTP_COOKIE).",5.0,2.0,,cpe:2.3:a:hauri:virobot_linux_server:2.0:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-0864,2006-02-23,"filescan in Global Hauri ViRobot 2.0 20050817 does not verify the Cookie HTTP header, which allows remote attackers to gain administrative privileges via an arbitrary cookie value.",10.0,2.0,,cpe:2.3:a:hauri:virobot:2.0_2005-08-17:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-5547,2008-12-12,"HAURI ViRobot 2008.12.4.1499 and possibly 2008.9.12.1375, when Internet Explorer 6 or 7 is used, allows remote attackers to bypass detection of malware in an HTML document by placing an MZ header (aka ""EXE info"") at the beginning, and modifying the filename to have (1) no extension, (2) a .txt extension, or (3) a .jpg extension, as demonstrated by a document containing a CVE-2006-5745 exploit.",9.3,2.0,CWE-20,cpe:2.3:a:hauri:virobot:2008.9.12.1375:*:*:*:*:*:*:*|cpe:2.3:a:hauri:virobot:2008.12.4.1499:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1260,2008-03-10,Multiple cross-site request forgery (CSRF) vulnerabilities on the Zyxel P-2602HW-D1A router with 3.40(AJZ.1) firmware allow remote attackers to (1) make the admin web server available on the Internet (WAN) interface via the WWWAccessInterface parameter to Forms/RemMagWWW_1 or (2) change the IP whitelisting timeout via the StdioTimout parameter to Forms/rpSysAdmin_1.,4.3,2.0,CWE-352,cpe:2.3:h:zyxel:p-2602hw-d1a:*:*:3.40\(ajz.1\):*:*:*:*:*,No,High,
vendor_only,CVE-2008-0425,2008-01-23,Absolute path traversal vulnerability in explorerdir.php in Frimousse 0.0.2 allows remote attackers to read arbitrary files and list arbitrary directories via a full pathname in the name parameter.,5.0,2.0,CWE-264,cpe:2.3:a:frimousse:frimousse:0.0.2:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2009-4476,2009-12-30,"Stack-based buffer overflow in HAURI ViRobot Desktop 5.5 before 2009-09-28.00 allows remote attackers to execute arbitrary code via unspecified vectors, as demonstrated by a certain module in VulnDisco Pack Professional 7.15 through 8.11.  NOTE: some of these details are obtained from third party information.",10.0,2.0,CWE-119,cpe:2.3:a:hauri:virobot_desktop:5.5:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2009-0050,2009-01-07,"Lasso 2.2.1 and earlier does not properly check the return value from the OpenSSL DSA_verify function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature, a similar vulnerability to CVE-2008-5077.",4.3,2.0,CWE-20,cpe:2.3:a:entrouvert:lasso:*:*:*:*:*:*:*:*|cpe:2.3:a:entrouvert:lasso:1.9.9.0:*:*:*:*:*:*:*|cpe:2.3:a:entrouvert:lasso:2.0.0-1:*:*:*:*:*:*:*,No,High,
