Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2018-10544,2018-05-02,Meross MSS110 devices through 1.1.24 contain an unauthenticated admin.htm administrative interface.,9.8,3.0,CWE-287,cpe:2.3:o:meross:mss110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss110:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-6401,2018-05-02,Meross MSS110 devices before 1.1.24 contain a TELNET listener providing access for an undocumented admin account with a blank password.,9.8,3.0,CWE-798,cpe:2.3:o:meross:mss110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss110:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2019-12780,2019-06-10,The Belkin Wemo Enabled Crock-Pot allows command injection in the Wemo UPnP API via the SmartDevURL argument to the SetSmartDevInfo action. A simple POST request to /upnp/control/basicevent1 can allow an attacker to execute commands without authentication.,9.8,3.0,CWE-78,cpe:2.3:o:belkin:crock-pot_smart_slow_cooker_with_wemo_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:belkin:crock-pot_smart_slow_cooker_with_wemo:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-7470,2020-01-21,Sonoff TH 10 and 16 devices with firmware 6.6.0.21 allows XSS via the Friendly Name 1 field (after a successful login with the Web Admin Password).,4.8,3.1,CWE-79,cpe:2.3:o:sonoff:th10_firmware:6.6.0.21:*:*:*:*:*:*:*|cpe:2.3:h:sonoff:th10:-:*:*:*:*:*:*:*|cpe:2.3:o:sonoff:th16_firmware:6.6.0.21:*:*:*:*:*:*:*|cpe:2.3:h:sonoff:th16:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2019-17094,2020-01-27,A Stack-based Buffer Overflow vulnerability in libbelkin_api.so component of Belkin WeMo Insight Switch firmware allows a local attacker to obtain code execution on the device. This issue affects: Belkin WeMo Insight Switch firmware version 2.00.11396 and prior versions.,7.8,3.1,CWE-121|CWE-787,cpe:2.3:o:belkin:wemo_insight_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:belkin:wemo_insight_switch:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2013-2748,2020-01-28,Belkin Wemo Switch before WeMo_US_2.00.2176.PVT could allow remote attackers to upload arbitrary files onto the system.,9.8,3.1,CWE-434,cpe:2.3:o:belkin:wemo_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:belkin:wemo_switch:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2021-35067,2021-10-07,"Meross MSG100 devices before 3.2.3 allow an attacker to replay the same data or similar data (e.g., an attacker who sniffs a Close message can transmit an acceptable Open message).",8.1,3.1,CWE-294,cpe:2.3:o:meross:msg100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:msg100:-:*:*:*:*:*:*:*,No,High,"Meross MSG100 is a smart garage-door opener, not a smart plug; it matched the Meross vendor list but is a different device class."
vendor_only,CVE-2021-21940,2021-10-12,A heap-based buffer overflow vulnerability exists in the pushMuxer processRtspInfo functionality of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted network packet can lead to a heap buffer overflow. An attacker can send a malicious packet to trigger this vulnerability.,10.0,3.1,CWE-122|CWE-787,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2021-21941,2021-10-12,A use-after-free vulnerability exists in the pushMuxer CreatePushThread functionality of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted set of network packets can lead to remote code execution.,9.0,3.1,CWE-368|CWE-416,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2021-3774,2021-11-05,"Meross Smart Wi-Fi 2 Way Wall Switch (MSS550X), on its 3.1.3 version and before, creates an open Wi-Fi Access Point without the required security measures in its initial setup. This could allow a remote attacker to obtain the Wi-Fi SSID as well as the password configured by the user from Meross app via Http/JSON plain request.",6.5,3.1,CWE-319,cpe:2.3:o:meross:mss550x_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss550x:-:*:*:*:*:*:*:*,,,
