AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
No,,keyword_only,CVE-2022-23849,2022-03-03,The biometric lock in Devolutions Password Hub for iOS before 2021.3.4 allows attackers to access the application because of authentication bypass. An attacker must rapidly make failed biometric authentication attempts.,6.6,3.1,,cpe:2.3:a:devolutions:password_hub:*:*:*:*:*:iphone_os:*:*,No,High,,No,High,,No,High,,,
Yes,,intersection,CVE-2022-46480,2023-12-05,Incorrect Session Management and Credential Re-use in the Bluetooth LE stack of the Ultraloq UL3 2nd Gen Smart Lock Firmware 02.27.0012 allows an attacker to sniff the unlock code and unlock the device whilst within Bluetooth range.,8.1,3.1,CWE-294|CWE-384,cpe:2.3:o:u-tec:ultraloq_ul3_bt_firmware:02.27.0012:*:*:*:*:*:*:*|cpe:2.3:h:u-tec:ultraloq_ul3_bt:2nd_gen:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
No,,vendor_only,CVE-2013-4080,2013-06-09,"The dissect_r3_upstreamcommand_queryconfig function in epan/dissectors/packet-assa_r3.c in the Assa Abloy R3 dissector in Wireshark 1.8.x before 1.8.8 does not properly handle a zero-length item, which allows remote attackers to cause a denial of service (infinite loop, and CPU and memory consumption) via a crafted packet.",5.0,2.0,CWE-119,cpe:2.3:a:wireshark:wireshark:1.8.0:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.1:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.2:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.3:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.4:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.5:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.6:*:*:*:*:*:*:*|cpe:2.3:a:wireshark:wireshark:1.8.7:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
Yes,,intersection,CVE-2022-32507,2024-05-14,"An issue was discovered on certain Nuki Home Solutions devices. Some BLE commands, which should have been designed to be only called from privileged accounts, could also be called from unprivileged accounts. This demonstrates that no access controls were implemented for the different BLE commands across the different accounts. This affects Nuki Smart Lock 3.0 before 3.3.5 and Nuki Smart Lock 2.0 before 2.12.4.",8.8,3.1,CWE-284,,Yes,High,,Yes,High,,Yes,High,,,
No,,keyword_only,CVE-2025-68711,2026-05-26,"AppLockZ App Lock and Fingerprint Lock (applock.passwordfingerprint.applockz) 4.2.11 for Android allows a local attacker with physical access to bypass the PIN lock. The lock is implemented as an overlay rather than by using Android's secure authentication APIs. By navigating cascading interface flows - insecure navigation through exposed routes facilitates app control evasion {I.N.T.E.R.F.A.C.E] via advertisement or browser intents, an attacker can evade lockscreen verification and access protected apps (e.g., Chrome). This results in information disclosure and privilege escalation.",2.4,3.1,CWE-288,,No,High,,No,High,,No,High,,,
No,Yes,keyword_only,CVE-2025-56400,2025-11-24,"Cross-Site Request Forgery (CSRF) vulnerability in the OAuth implementation of the Tuya SDK 6.5.0 for Android and iOS, affects the Tuya Smart and Smartlife mobile applications, as well as other third-party applications that integrate the SDK, allows an attacker to link their own Amazon Alexa account to a victim's Tuya account. The applications fail to validate the OAuth state parameter during the account linking flow, enabling a cross-site request forgery (CSRF)-like attack. By tricking the victim into clicking a crafted authorization link, an attacker can complete the OAuth flow on the victim's behalf, resulting in unauthorized Alexa access to the victim's Tuya-connected devices. This affects users regardless of prior Alexa linkage and does not require the Tuya application to be active at the time. Successful exploitation may allow remote control of devices such as cameras, doorbells, door locks, or alarms.",8.8,3.1,CWE-352|CWE-384,cpe:2.3:a:tuya:smartlife:6.3.1:*:*:*:*:iphone_os:*:*|cpe:2.3:a:tuya:smartlife:6.3.4:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya:*:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya:*:*:*:*:*:iphone_os:*:*|cpe:2.3:a:tuya:tuya_smart:6.3.1:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya_smart:6.3.1:*:*:*:*:iphone_os:*:*,No,High,,No,High,,Yes,High,,,
Yes,,intersection,CVE-2023-39841,2023-08-15,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.,4.6,3.1,CWE-311,cpe:2.3:o:etekcity:3-in-1_smart_door_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:etekcity:3-in-1_smart_door_lock:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
No,,vendor_only,CVE-2020-27258,2021-01-19,"In SOOIL Developments Co., Ltd Diabecare RS, AnyDana-i and AnyDana-A, an information disclosure vulnerability in the communication protocol of the insulin pump and its AnyDana-i and AnyDana-A mobile applications allows unauthenticated attackers to extract the pump’s keypad lock PIN via Bluetooth Low Energy.",6.5,3.1,CWE-522,cpe:2.3:a:sooil:anydana-a:*:*:*:*:*:*:*:*|cpe:2.3:a:sooil:anydana-i:*:*:*:*:*:*:*:*|cpe:2.3:o:sooil:dana_diabecare_rs_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:sooil:dana_diabecare_rs:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
Yes,,intersection,CVE-2022-32506,2024-05-14,"An issue was discovered on certain Nuki Home Solutions devices. An attacker with physical access to the circuit board could use the SWD debug features to control the execution of code on the processor and debug the firmware, as well as read or alter the content of the internal and external flash memory. This affects Nuki Smart Lock 3.0 before 3.3.5, Nuki Smart Lock 2.0 before 2.12.4, as well as Nuki Bridge v1 before 1.22.0 and v2 before 2.13.2.",6.4,3.1,CWE-1263,,Yes,High,,Yes,High,,Yes,High,,,
No,,keyword_only,CVE-2021-41847,2021-10-01,"An issue was discovered in 3xLogic Infinias Access Control through 6.7.10708.0, affecting physical security. Users with login credentials assigned to a specific zone can send modified HTTP GET and POST requests, allowing them to view user data such as personal information and Prox card credentials. Also, an authorized user of one zone can send API requests to unlock electronic locks associated with zones they are unauthorized to have access to. They can also create new user logins for zones they were not authorized to access, including the root zone of the software.",8.8,3.1,CWE-639,cpe:2.3:a:3xlogic:infinias_access_control:*:*:*:*:*:*:*:*,No,High,,No,High,,No,Low,"The CVE describes an 'Access Control' system for 'zones', which is characteristic of enterprise or commercial physical security systems rather than a residential smart lock. While it allows unlocking electronic locks, the scale and architecture (zones, root zone, Prox card credentials) suggest an industrial/commercial deployment.",,
