Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2024-37310,"EVerest is an EV charging software stack. An integer overflow in the ""v2g_incoming_v2gtp"" function in the v2g_server.cpp implementation can allow a remote attacker to overflow the process' heap. This vulnerability is fixed in 2024.3.1 and 2024.6.0.",,keyword_only,2024-07-10,9.0,3.1,CWE-122|CWE-190,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,"EVerest is a generic EV charging software stack, not a specific home wallbox; residential vs commercial deployment is unclear from the description alone.",Maybe,Low,"EVerest is a software stack used in various EV chargers. It could be used in home chargers, but the description doesn't specify the device type.",,,,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-43658,"Patch traversal, External Control of File Name or Path vulnerability in  Iocharger Home allows deletion of arbitrary files
This issue affects Iocharger firmware for AC model before firmware version 25010801.

Likelihood: High, but requires authentication

Impact: Critical – The vulnerability can be used to delete any file on the charging station, severely impacting the integrity of the charging station. Furthermore, the vulnerability could be used to delete binaries required for the functioning of the charging station, severely impacting the availability of the charging station.

CVSS clarification: Any network interface serving the web ui is vulnerable (AV:N) and there are not additional security measures to circumvent (AC:L), nor does the attack require and existing preconditions (AT:N). The attack is authenticated, but the level of authentication does not matter (PR:L), nor is any user interaction required (UI:N). The attack leads compromised of the integrity and availability of the device (VVC:N/VI:H/VA:H), with no effect on subsequent systems (SC:N/SI:N/SA:N). We do not forsee a safety impact (S:N). This attack can be automated (AU:Y).",,keyword_only,2025-01-09,,,CWE-27|CWE-73,No,Low,"Scope note lists Iocharger as out-of-scope commercial/fleet charging; although this is an AC/'Home' model, the authoritative note governs.",No,High,,Yes,High,,,,,
C:Maybe/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence,CVE-2025-5741,"CWE-22: Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') vulnerability exists that
could cause arbitrary file reads from the charging station. The exploitation of this vulnerability does require an
authenticated session of the web server.",,keyword_only,2025-06-10,4.9,3.1,CWE-22,Maybe,Low,Generic 'charging station' web-server vulnerability with no vendor or CPE; cannot determine whether it affects a residential wallbox or a commercial/public station.,Maybe,Low,Description only says an authenticated charging-station web server; no product/CPE to tell home wallbox from commercial EVSE.,Maybe,Low,The description mentions a 'charging station' but does not specify if it is a home wallbox or a commercial station.,,,,
C:Maybe/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence,CVE-2025-5743,"CWE-78: Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')
vulnerability exists that could cause remote control over the charging station when an authenticated user
modifies configuration parameters on the web server.",,keyword_only,2025-06-10,5.5,3.1,CWE-78,Maybe,Low,Generic 'charging station' web-server vulnerability with no vendor or CPE; cannot determine whether it affects a residential wallbox or a commercial/public station.,Maybe,Low,Description only says an authenticated charging-station web server; no product/CPE to tell home wallbox from commercial EVSE.,Maybe,Low,The description mentions a 'charging station' but does not specify if it is a home wallbox or a commercial station.,,,,
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68132,"EVerest is an EV charging software stack. Prior to version 2025.12.0, `is_message_crc_correct` in the DZG_GSH01 powermeter SLIP parser reads `vec[vec.size()-1]` and `vec[vec.size()-2]` without checking that at least two bytes are present. Malformed SLIP frames on the serial link can reach `is_message_crc_correct` with `vec.size() < 2` (only via the multi-message path), causing an out-of-bounds read before CRC verification and `pop_back` underflow. Therefore, an attacker controlling the serial input can reliably crash the process. Version 2025.12.0 fixes the issue.",cpe:2.3:o:linuxfoundation:everest:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,4.6,3.1,CWE-125,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,Maybe,Low,"EVerest is a software stack that could be used in home chargers, but the description doesn't specify the device.",,,,
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68135,"EVerest is an EV charging software stack. Prior to version 2025.10.0, C++ exceptions are not properly handled for and by the `TbdController` loop, leading to its caller and itself to silently terminates. Thus, this leads to a denial of service as it is responsible of SDP and ISO15118-20 servers. Version 2025.10.0 fixes the issue.",cpe:2.3:o:linuxfoundation:everest:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,6.5,3.1,CWE-703,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,Maybe,Low,"EVerest is a software stack that could be used in home chargers, but the description doesn't specify the device.",,,,
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68136,"EVerest is an EV charging software stack. Prior to version 2025.10.0, once the module receives a SDP request, it creates a whole new set of objects like `Session`, `IConnection` which open new TCP socket for the ISO15118-20 communications and registers callbacks for the created file descriptor, without closing and destroying the previous ones. Previous `Session` is not saved and the usage of an `unique_ptr` is lost, destroying connection data. Latter, if the used socket and therefore file descriptor is not the last one, it will lead to a null pointer dereference. Version 2025.10.0 fixes the issue.",cpe:2.3:o:linuxfoundation:everest:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,7.4,3.1,CWE-770,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,Maybe,Low,"EVerest is a software stack that could be used in home chargers, { ""cve_id"": ""CVE-2025-68136"", ""judgment"": ""Maybe"", ""confidence"": ""Low"", ""reasoning"": ""EVerest is a software stack that could be used in home chargers, but the description doesn't specify the device."" }",,,,
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68137,"EVerest is an EV charging software stack. Prior to version 2025.10.0, an integer overflow occurring in `SdpPacket::parse_header()` allows the current buffer length to be set to 7 after a complete header of size 8 has been read. The remaining length to read is computed using the current length subtracted by the header length which results in a negative value. This value is then interpreted as `SIZE_MAX` (or slightly less) because the expected type of the argument is `size_t`. Depending on whether the server is plain TCP or TLS, this leads to either an infinite loop or a stack buffer overflow. Version 2025.10.0 fixes the issue.",cpe:2.3:o:linuxfoundation:everest:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,8.3,3.1,CWE-120|CWE-835,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,Maybe,Low,"EVerest is a software stack that could be used in home chargers, but the description doesn't specify the device.",,,,
C:No/Low  X:Maybe/Low  G:No/High,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68138,"EVerest is an EV charging software stack, and EVerest libocpp is a C++ implementation of the Open Charge Point Protocol. In libocpp prior to version 0.30.1, pointers returned by the `strdup` calls are never freed. At each connection attempt, the newly allocated memory area will be leaked, potentially causing memory exhaustion and denial of service. Version 0.30.1 fixes the issue.",cpe:2.3:a:linuxfoundation:libocpp:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,4.7,3.1,CWE-770,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,No,High,,,,,
C:No/Low  X:Maybe/Low  G:Maybe/Low,both strong reviewers low confidence; judgments not unanimous,CVE-2025-68140,"EVerest is an EV charging software stack. Prior to version 2025.9.0, once the validity of the received V2G message has been verified, it is checked whether the submitted session ID matches the registered one. However, if no session has been registered, the default value is 0. Therefore, a message submitted with a session ID of 0 is accepted, as it matches the registered value. This could allow unauthorized and anonymous indirect emission of MQTT messages and communication with V2G messages handlers, updating a session context. Version 2025.9.0 fixes the issue.",cpe:2.3:o:linuxfoundation:everest:*:*:*:*:*:*:*:*,keyword_only,2026-01-21,4.3,3.1,CWE-863,No,Low,EVerest/libocpp is an open-source EV-charging software stack deployed on both home and commercial charging stations; a shared software-layer bug not attributable to a specific residential wallbox device.,Maybe,Low,EVerest/libocpp is a generic EV charging stack usable in home or commercial EVSE; not a clear private-garage wallbox product.,Maybe,Low,"EVerest is a software stack that could be used in home chargers, but the description doesn't specify the device.",,,,
