Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2019-11891,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the app pairing mechanism of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in elevated privileges of the adversary's choosing. In order to exploit the vulnerability, the adversary needs physical access to the SHC during the attack.",8.0,3.1,CWE-266|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
intersection,CVE-2019-11892,2019-05-29,"A potential improper access control vulnerability exists in the JSON-RPC interface of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in reading or modification of the SHC's configuration or triggering and restoring backups. In order to exploit the vulnerability, the adversary needs to have successfully paired an app or service, which requires user interaction.",8.0,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
intersection,CVE-2019-11893,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the app permission update API of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in a restricted app obtaining default app permissions. In order to exploit the vulnerability, the adversary needs to have successfully paired an app with restricted permissions, which required user interaction.",8.0,3.1,CWE-266|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
intersection,CVE-2019-11894,2019-05-29,"A potential improper access control vulnerability exists in the backup mechanism of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in unauthorized download of a backup. In order to exploit the vulnerability, the adversary needs to download the backup directly after a backup triggered by a legitimate user has been completed.",5.7,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
intersection,CVE-2019-11895,2019-05-29,"A potential improper access control vulnerability exists in the JSON-RPC interface of the Bosch Smart Home Controller (SHC) before 9.8.905 that may result in a successful denial of service of the SHC and connected sensors and actuators. In order to exploit the vulnerability, the adversary needs to have successfully paired an app or service, which requires user interaction.",5.3,3.1,CWE-284,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:*:*:*:*:*:*:*:*
intersection,CVE-2019-11896,2019-05-29,"A potential incorrect privilege assignment vulnerability exists in the 3rd party pairing mechanism of the Bosch Smart Home Controller (SHC) before 9.8.907 that may result in a restricted app obtaining default app permissions. In order to exploit the vulnerability, the adversary needs to have successfully paired an app, which requires user interaction.",7.1,3.1,CWE-284|CWE-269,cpe:2.3:o:bosch:smart_home_controller_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:bosch:smart_home_controller:-:*:*:*:*:*:*:*
intersection,CVE-2019-13598,2019-07-14,"LuaUPnP in Vera Edge Home Controller 1.7.4452 allows remote unauthenticated users to execute arbitrary OS commands via the code parameter to /port_3480/data_request because the ""No unsafe lua allowed"" code block is skipped.",9.8,3.0,CWE-78,cpe:2.3:o:getvera:vera_edge_firmware:1.7.4452:*:*:*:*:*:*:*|cpe:2.3:h:getvera:vera_edge:-:*:*:*:*:*:*:*
intersection,CVE-2024-10523,2024-11-04,This vulnerability exists in TP-Link IoT Smart Hub due to storage of Wi-Fi credentials in plain text within the device firmware. An attacker with physical access could exploit this by extracting the firmware and analyzing the binary data to obtain the Wi-Fi credentials stored on the vulnerable device.,4.6,3.1,CWE-312,cpe:2.3:o:tp-link:tapo_h100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_h100:1.0:*:*:*:*:*:*:*
intersection,CVE-2018-15123,2018-08-13,Insecure configuration storage in Zipato Zipabox Smart Home Controller BOARD REV - 1 with System Version -118 allows remote attacker perform new attack vectors and take under control device and smart home.,9.8,3.0,,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
intersection,CVE-2018-15124,2018-08-13,Weak hashing algorithm in Zipato Zipabox Smart Home Controller BOARD REV - 1 with System Version -118 allows unauthenticated attacker extract clear text passwords and get root access on the device.,9.8,3.0,CWE-326,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
intersection,CVE-2018-15125,2018-08-13,Sensitive Information Disclosure in Zipato Zipabox Smart Home Controller allows remote attacker get sensitive information that expands attack surface.,7.5,3.0,CWE-200,cpe:2.3:o:zipato:zipabox_firmware:118:*:*:*:*:*:*:*|cpe:2.3:h:zipato:zipabox:-:*:*:*:*:*:*:*
intersection,CVE-2019-15498,2019-08-23,cgi-bin/cmh/webcam.sh in Vera Edge Home Controller 1.7.4452 allows remote unauthenticated users to execute arbitrary OS commands via --output argument injection in the username parameter to /cgi-bin/cmh/webcam.sh.,8.8,3.0,CWE-88,cpe:2.3:o:getvera:vera_edge_firmware:1.7.4452:*:*:*:*:*:*:*|cpe:2.3:h:getvera:vera_edge:-:*:*:*:*:*:*:*
intersection,CVE-2019-20480,2020-02-24,"In MIELE XGW 3000 ZigBee Gateway before 2.4.0, a malicious website visited by an authenticated admin user or a malicious mail is allowed to make arbitrary changes in the ""admin panel"" because there is no CSRF protection.",8.8,3.1,CWE-352,cpe:2.3:o:miele:xgw_3000_zigbee_gateway_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:miele:xgw_3000_zigbee_gateway:-:*:*:*:*:*:*:*
intersection,CVE-2019-20481,2020-02-24,"In MIELE XGW 3000 ZigBee Gateway before 2.4.0, the Password Change Function does not require knowledge of the old password. This can be exploited in conjunction with CVE-2019-20480.",9.8,3.1,CWE-287,cpe:2.3:o:miele:xgw_3000_zigbee_gateway_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:miele:xgw_3000_zigbee_gateway:-:*:*:*:*:*:*:*
intersection,CVE-2020-28952,2021-03-09,"An issue was discovered on Athom Homey and Homey Pro devices before 5.0.0. ZigBee hub devices should generate a unique Standard Network Key that is then exchanged with all enrolled devices so that all inter-device communication is encrypted. However, the cited Athom products use another widely known key that is designed for testing purposes: ""01030507090b0d0f00020406080a0c0d"" (the decimal equivalent of 1 3 5 7 9 11 13 15 0 2 4 6 8 10 12 13), which is human generated and static across all issued devices.",7.5,3.1,CWE-798,cpe:2.3:o:homey:homey_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:homey:homey:-:*:*:*:*:*:*:*|cpe:2.3:o:homey:homey_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:homey:homey_pro:-:*:*:*:*:*:*:*
intersection,CVE-2024-7322,2025-01-15,"A ZigBee coordinator, router, or end device may change their node ID when an unsolicited encrypted rejoin response is received, this change in node ID causes Denial of Service (DoS). To recover from this DoS, the network must be re-established",5.8,3.1,CWE-940,
intersection,CVE-2025-7964,2026-01-30,"After receiving a 

malformed 802.15.4 MAC Data Request

 the Zigbee Coordinator sends a ‘network leave’ request to Zigbee router resulting in the Zigbee Router getting stuck in a non-rejoinable state. If a suitable parent is not available, the end devices will be unable to rejoin. A manual recommissioning is required to recover the Zigbee Router.",,,CWE-229,
