Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2003-1554,2003-12-31,"Cross-site scripting (XSS) vulnerability in scozbook/add.php in ScozNet ScozBook 1.1 BETA allows remote attackers to inject arbitrary web script or HTML via the (1) username, (2) useremail, (3) aim, (4) msn, (5) sitename and (6) siteaddy variables.",4.3,2.0,CWE-79,cpe:2.3:a:scoznet:scozbook:1.1_beta:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-0377,2003-06-16,"SQL injection vulnerability in the web-based administration interface for iisPROTECT 2.2-r4, and possibly earlier versions, allows remote attackers to insert arbitrary SQL and execute code via certain variables, as demonstrated using the GroupName variable in SiteAdmin.ASP.",7.5,2.0,CWE-89,cpe:2.3:a:iisprotect:iisprotect:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2007-6557,2007-12-28,"Multiple SQL injection vulnerabilities in MeGaCheatZ 1.1 allow remote attackers to execute arbitrary SQL commands via the ItemID parameter to (1) comments.php, (2) view.php, (3) siteadmin/ViewItem.php, and unspecified other vectors.",7.5,2.0,CWE-89,cpe:2.3:a:megacheatz:megacheatz:1.1:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2007-4077,2007-07-30,"Multiple cross-site scripting (XSS) vulnerabilities in AlstraSoft Video Share Enterprise allow remote attackers to inject arbitrary web script or HTML via the (1) msg, (2) page, (3) viewkey, or (4) viewtype parameter to (a) view_video.php; the (5) next parameter to (b) signup.php; the (6) search_id parameter to (c) search_result.php; the (7) category or (8) page parameter to (d) video.php; the (9) receiver parameter to (e) compose.php; the (10) catgy parameter to (f) groups.php; the (11) channelname parameter to (g) siteadmin/channels.php; or the (12) uname parameter to (h) siteadmin/muser.php.",4.3,2.0,,cpe:2.3:a:alstrasoft:video_share_enterprise:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2007-2017,2007-04-12,"siteadmin/useredit.php in AlstraSoft Video Share Enterprise does not check authentication, which allows remote attackers to obtain or modify user information via a direct request.",7.5,2.0,,cpe:2.3:a:alstrasoft:video_share_enterprise:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-7188,2009-09-09,"ClipShare 2.6 does not properly restrict access to certain functionality, which allows remote attackers to change the profile of arbitrary users via a modified uid variable to siteadmin/useredit.php. NOTE: this can be used to recover the password of the user by using the modified e-mail address in the email parameter to recoverpass.php.",7.5,2.0,CWE-264,cpe:2.3:a:clip-share:clipshare:2.6:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-5976,2009-01-27,Multiple cross-site scripting (XSS) vulnerabilities in siteadmin/forgot.php in PHP JOBWEBSITE PRO allow remote attackers to inject arbitrary web script or HTML via (1) the adname parameter in a Submit action or (2) the UserName field.,4.3,2.0,CWE-79,cpe:2.3:a:preprojects:php_jobwebsite_pro:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-5977,2009-01-27,SQL injection vulnerability in siteadmin/forgot.php in PHP JOBWEBSITE PRO allows remote attackers to execute arbitrary SQL commands via the adname parameter in a Submit action.,7.5,2.0,CWE-89,cpe:2.3:a:preprojects:php_jobwebsite_pro:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-5058,2008-11-13,"SQL injection vulnerability in siteadmin/loginsucess.php in Pre Simple CMS allows remote attackers to execute arbitrary SQL commands via the user parameter, as reachable from siteadmin/adminlogin.php.  NOTE: some of these details are obtained from third party information.",7.5,2.0,CWE-89,cpe:2.3:a:preproject:pre_simple_cms:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-3414,2008-07-31,SQL injection vulnerability in line2.php in SiteAdmin allows remote attackers to execute arbitrary SQL commands via the art parameter.,7.5,2.0,CWE-89,cpe:2.3:a:siteadmin:cms:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1108,2008-06-04,"Buffer overflow in Evolution 2.22.1, when the ITip Formatter plugin is disabled, allows remote attackers to execute arbitrary code via a long timezone string in an iCalendar attachment.",7.6,2.0,CWE-119,cpe:2.3:a:gnome:evolution:2.2.1:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1783,2008-04-15,Prozilla Reviews 1.0 allows remote attackers to delete arbitrary users via a modified UserID parameter in a direct request to siteadmin/DeleteUser.php.,6.4,2.0,CWE-264,cpe:2.3:a:prozilla:reviews:1.0:*:*:*:*:*:*:*,No,High,
