Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2016-10115,2017-01-04,"NETGEAR Arlo base stations with firmware 1.7.5_6178 and earlier, Arlo Q devices with firmware 1.8.0_5551 and earlier, and Arlo Q Plus devices with firmware 1.8.1_6094 and earlier have a default password of 12345678, which makes it easier for remote attackers to obtain access after a factory reset or in a factory configuration.",9.8,3.0,CWE-798,cpe:2.3:o:netgear:arlo_base_station_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmb30x0:-:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmk3xx0:-:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vms3xx0:-:*:*:*:*:*:*:*|cpe:2.3:o:netgear:arlo_q_camera_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmc3040:-:*:*:*:*:*:*:*|cpe:2.3:o:netgear:arlo_q_plus_camera_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmc3040s:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2016-10116,2017-01-04,"NETGEAR Arlo base stations with firmware 1.7.5_6178 and earlier, Arlo Q devices with firmware 1.8.0_5551 and earlier, and Arlo Q Plus devices with firmware 1.8.1_6094 and earlier use a pattern of adjective, noun, and three-digit number for the customized password, which makes it easier for remote attackers to obtain access via a dictionary attack.",8.1,3.0,CWE-264,cpe:2.3:o:netgear:arlo_base_station_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmb30x0:-:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmk3xx0:-:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vms3xx0:-:*:*:*:*:*:*:*|cpe:2.3:o:netgear:arlo_q_camera_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmc3040:-:*:*:*:*:*:*:*|cpe:2.3:o:netgear:arlo_q_plus_camera_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:netgear:vmc3040s:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2018-11399,2018-05-24,"SimpliSafe Original has Unencrypted Sensor Transmissions, which allows physically proximate attackers to obtain potentially sensitive information about the specific times when alarm-system events occur.",4.3,3.0,CWE-319,cpe:2.3:o:simplisafe:u9k-es1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-es1000:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-kr1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-kr1:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-ms1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-ms1000:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-wt1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-wt1000:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-11400,2018-05-24,"In SimpliSafe Original, the Base Station fails to detect tamper attempts: it does not send a notification if a physically proximate attacker removes the battery and external power.",4.6,3.0,,cpe:2.3:o:simplisafe:u9k-bs1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-bs1000:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-11401,2018-05-24,"In SimpliSafe Original, RF Interference (e.g., an extremely strong 433.92 MHz signal) by a physically proximate attacker does not cause a notification.",4.6,3.0,,cpe:2.3:o:simplisafe:u9k-bs1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-bs1000:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-11402,2018-05-24,"SimpliSafe Original has Unencrypted Keypad Transmissions, which allows physically proximate attackers to discover the PIN.",6.6,3.0,CWE-319,cpe:2.3:o:simplisafe:u9k-kp1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-kp1000:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2015-9263,2018-08-27,"An issue was discovered in post2file.php in Up.Time Monitoring Station 7.5.0 (build 16) and 7.4.0 (build 13). It allows an attacker to upload an arbitrary file, such as a .php file that can execute arbitrary OS commands.",9.8,3.0,CWE-434,cpe:2.3:a:idera:uptime_infrastructure_monitor:7.4.0:*:*:*:*:*:*:*|cpe:2.3:a:idera:uptime_infrastructure_monitor:7.5.0:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2018-3893,2018-08-27,"An exploitable buffer overflow vulnerability exists in the /cameras/XXXX/clips handler of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability.",8.8,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2018-3904,2018-08-27,"An exploitable buffer overflow vulnerability exists in the camera 'update' feature of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability.",9.9,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2018-3918,2018-08-27,"An exploitable vulnerability exists in the remote servers of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The hubCore process listens on port 39500 and relays any unauthenticated messages to SmartThings' remote servers, which incorrectly handle camera IDs for the 'sync' operation, leading to arbitrary deletion of cameras. An attacker can send an HTTP request to trigger this vulnerability.",7.5,3.1,CWE-707,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,,,
