Category,Direction,Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2,Disagreement
airconditioner,vendor_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2867,A design flaw in the Trane ComfortLink II SCC firmware version 2.0.2 service allows remote attackers to take complete control of the system.,cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,vendor_only,2017-01-06,9.8,3.0,CWE-798,Yes,High,,No,High,,Yes,High,,Yes,,No,"Trane ComfortLink II is a smart thermostat/HVAC controller, not an air conditioner unit — belongs in thermostat.",Partner=Yes vs Suhani=No
airconditioner,vendor_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2868,"An exploitable remote code execution vulnerability exists in the Trane ComfortLink II firmware version 2.0.2 in DSS service. An attacker who can connect to the DSS service on the Trane ComfortLink II device can send an overly long REG request that can overflow a fixed size stack buffer, resulting in arbitrary code execution.",cpe:2.3:o:trane:comfortlink_ii_firmware:2.0.2:*:*:*:*:*:*:*,vendor_only,2017-01-06,9.8,3.0,CWE-119,Yes,High,,No,High,,Yes,High,,Yes,,No,"Trane ComfortLink II is a smart thermostat/HVAC controller, not an air conditioner unit — belongs in thermostat.",Partner=Yes vs Suhani=No
airconditioner,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-19643,ise smart connect KNX Vaillant 1.2.839 contain a Denial of Service.,cpe:2.3:a:ise:smart_connect_knx_vaillant:1.2.839:*:*:*:*:*:*:*,vendor_only,2020-08-14,7.5,3.1,CWE-835,Yes,Low,"ise smart connect KNX Vaillant is a KNX bus interface module for Vaillant home heating and heat pump systems; Vaillant manufactures residential heating/cooling systems, making this plausibly a home climate control IoT device, though the specific deployment context (residential vs. commercial) is not confirmed in the description",No,High,,Yes,High,,Yes,,No,"KNX heating/heat-pump interface gateway, not a home air conditioner.",Partner=Yes vs Suhani=No
airconditioner,vendor_only,C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2025-5022,"Weak Password Requirements vulnerability in Mitsubishi Electric Corporation photovoltaic system monitor “EcoGuideTAB” PV-DR004J all versions and PV-DR004JA all versions allows an attacker within the Wi-Fi communication range between the units of the product (measurement unit and display unit) to derive the password from the SSID. In addition, if the product is configured to enable the individual air conditioner control function, an attacker who has access to the Wi-Fi communication between the units by exploiting this vulnerability may be able to execute ECHONET Lite commands to perform operations such as turning the air conditioner on or off and changing the set temperature. The individual air conditioner control function is available only in display unit version 02.00.01 or later and measurement unit version 02.03.01 or later. The affected products discontinued in 2015, support ended in 2020.",,vendor_only,2025-07-10,6.5,3.1,CWE-521,No,High,"The vulnerable product is Mitsubishi's EcoGuideTAB, a photovoltaic (solar) system monitor, not an air-conditioner unit; the SSID-derived password weakness lives in the Wi-Fi link between the monitor's own measurement and display units. Individual air-conditioner control via ECHONET Lite is only a secondary integration reachable once that link is compromised, and the affected products were discontinued in 2015 with support ended in 2020. Better scoped to home-power/solar monitoring than to the airconditioner category.",Yes,High,,Yes,High,,Yes,,No,"Solar/PV system monitor; optional AC control is a side feature — belongs in home-power, not airconditioner.",Partner=Yes vs Suhani=No
airconditioner,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2025-10127,"Daikin Europe N.V

Security Gateway is vulnerable to an authorization bypass through
 a user-controlled key vulnerability that could allow an attacker to 
bypass authentication. An unauthorized attacker could access the system 
without prior credentials.",,vendor_only,2025-09-11,9.8,3.1,CWE-640,Yes,Low,"Daikin Europe Security Gateway is an internet connectivity gateway for Daikin HVAC systems; Daikin manufactures both residential and commercial air conditioners, making deployment context ambiguous; the gateway enables remote monitoring/control of Daikin systems",No,High,,Yes,High,,Yes,,No,"Daikin HVAC remote-access gateway, not a home air conditioner unit.",Partner=Yes vs Suhani=No
alarms,keyword_only,C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-5560,"A reliance on a static, hard-coded credential in the design of the cloud-based storage system of Practecol's Guardzilla All-In-One Video Security System allows an attacker to view the private data of all users of the Guardzilla device.",cpe:2.3:o:guardzilla:gz521w_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:guardzilla:gz521w:-:*:*:*:*:*:*:*,keyword_only,2019-01-31,7.5,3.0,CWE-798,Yes,High,,No,High,,Yes,High,,Yes,,No,"Guardzilla is a security camera system, not an alarm panel — belongs in cameras category.",Partner=Yes vs Suhani=No
babymonitor,vendor_only,C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48798,An issue in Hubble Connected (com.hubbleconnected.vervelife) 2.00.81 allows a remote attacker to obtain sensitive information via the firmware update process.,,vendor_only,2024-10-14,7.5,3.1,CWE-200,Yes,Low,"Hubble Connected is Hubble/Motorola's own companion app for their Wi-Fi baby monitor line — app-device integration is part of what makes this an IoT product, not a reason to exclude it. The vulnerability leaks sensitive information during the device's own firmware-update process, a direct attack on the monitor's update path via its official app.",No,High,,Yes,High,,Yes,,Maybe,"Vulnerability is in the companion mobile app, not clearly in the monitor hardware itself.",Partner=Yes vs Suhani=Maybe
babymonitor,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-18441,"D-Link DCS series Wi-Fi cameras expose sensitive information regarding the device configuration. The affected devices include many of DCS series, such as: DCS-936L, DCS-942L, DCS-8000LH, DCS-942LB1, DCS-5222L, DCS-825L, DCS-2630L, DCS-820L, DCS-855L, DCS-2121, DCS-5222LB1, DCS-5020L, and many more. There are many affected firmware versions starting from 1.00 and above. The configuration file can be accessed remotely through: <Camera-IP>/common/info.cgi, with no authentication. The configuration file include the following fields: model, product, brand, version, build, hw_version, nipca version, device name, location, MAC address, IP address, gateway IP address, wireless status, input/output settings, speaker, and sensor settings.",cpe:2.3:o:d-link:dcs-936l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-936l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-942l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-942l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-8000lh_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8000lh:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-942lb1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-942lb1:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-5222l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5222l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-825l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-825l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2630l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2630l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-820l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-820l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-855l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-855l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2121_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2121:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-5222lb1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5222lb1:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-930l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-930l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-8100lh_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8100lh:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-932l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2102_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2102:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-933l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-933l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5030l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5030l:-:*:*:*:*:*:*:*,vendor_only,2018-12-20,7.5,3.0,CWE-200,Maybe,Low,"Affected DCS series includes DCS-8000LH (D-Link dedicated baby monitor) among listed models, but majority of the listed products are generic IP surveillance cameras; the vulnerability affects the product line broadly",No,High,,Yes,High,,Yes,,No,"D-Link DCS general IP camera, not a dedicated baby monitor — belongs in cameras.",Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2016-10140,"Information disclosure and authentication bypass vulnerability exists in the Apache HTTP Server configuration bundled with ZoneMinder v1.30 and v1.29, which allows a remote unauthenticated attacker to browse all directories in the web root, e.g., a remote unauthenticated attacker can view all CCTV images on the server via the /events URI.",cpe:2.3:a:zoneminder:zoneminder:1.30.0:*:*:*:*:*:*:*,vendor_only,2017-01-13,7.5,3.0,CWE-200,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
cameras,vendor_only,C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-5367,"Multiple reflected XSS vulnerabilities exist within form and link input parameters of ZoneMinder v1.30 and v1.29, an open-source CCTV server web application, which allows a remote attacker to execute malicious scripts within an authenticated client's browser. The URL is /zm/index.php and sample parameters could include action=login&view=postlogin[XSS] view=console[XSS] view=groups[XSS] view=events&filter[terms][1][cnj]=and[XSS] view=events&filter%5Bterms%5D%5B1%5D%5Bcnj%5D=and[XSS] view=events&filter%5Bterms%5D%5B1%5D%5Bcnj%5D=[XSS]and view=events&limit=1%22%3E%3C/a%3E[XSS] (among others).",cpe:2.3:a:zoneminder:zoneminder:1.29.0:*:*:*:*:*:*:*|cpe:2.3:a:zoneminder:zoneminder:1.30.0:*:*:*:*:*:*:*,vendor_only,2017-02-06,6.1,3.0,CWE-79,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,No,High,,Yes,High,,Yes,,No,,Partner=Yes vs Suhani=No
