AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
Yes,,vendor_only,CVE-2019-17094,2020-01-27,A Stack-based Buffer Overflow vulnerability in libbelkin_api.so component of Belkin WeMo Insight Switch firmware allows a local attacker to obtain code execution on the device. This issue affects: Belkin WeMo Insight Switch firmware version 2.00.11396 and prior versions.,7.8,3.1,CWE-121|CWE-787,cpe:2.3:o:belkin:wemo_insight_switch_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:belkin:wemo_insight_switch:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2023-1750,2023-04-04,"The listed versions of Nexx Smart Home devices lack proper access control when executing actions. An attacker with a valid NexxHome deviceId could retrieve device history, set device settings, and retrieve device information.",7.1,3.1,CWE-639,cpe:2.3:o:getnexx:nxal-100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:getnexx:nxal-100:-:*:*:*:*:*:*:*|cpe:2.3:o:getnexx:nxg-100b_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:getnexx:nxg-100b:-:*:*:*:*:*:*:*|cpe:2.3:o:getnexx:nxpg-100w_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:getnexx:nxpg-100w:-:*:*:*:*:*:*:*|cpe:2.3:o:getnexx:nxg-200_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:getnexx:nxg-200:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
No,,vendor_only,CVE-2023-41184,2024-05-03,"TP-Link Tapo C210 ActiveCells Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of TP-Link Tapo C210 IP cameras. Although authentication is required to exploit this vulnerability, the existing authentication mechanism can be bypassed.

The specific flaw exists within the handling of the ActiveCells parameter of the CreateRules and ModifyRules APIs. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root.
. Was ZDI-CAN-20589.",8.0,3.1,CWE-121|CWE-787,cpe:2.3:o:tp-link:tapo_c210_firmware:1.3.0:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c210:v2:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
Yes,,vendor_only,CVE-2013-6949,2014-02-22,"The Belkin WeMo Home Automation firmware before 3949 does not properly use the STUN and TURN protocols, which allows remote attackers to hijack connections and possibly have unspecified other impact by leveraging access to a single WeMo device.",9.3,2.0,CWE-264,cpe:2.3:a:belkin:wemo_home_automation_firmware:2769:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2025-15557,2026-02-05,"An Improper Certificate Validation vulnerability in TP-Link Tapo H100 v1 and Tapo P100 v1 allows an on-path attacker on the same network segment to intercept and modify encrypted device-cloud communications.  This may compromise the confidentiality and integrity of device-to-cloud communication, enabling manipulation of device data or operations.",8.8,3.1,CWE-295,cpe:2.3:o:tp-link:tapo_h100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_h100:1.0:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_p100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_p100:1.0:*:*:*:*:*:*:*,Yes,High,TP-Link Tapo P100 is a consumer smart plug (Tapo H100 is the co-listed smart hub); the improper-certificate-validation flaw covering the Tapo P100 smart plug is in scope.,Yes,High,,Yes,High,,,
Yes,,intersection,CVE-2023-33768,2023-07-13,Incorrect signature verification of the firmware during the Device Firmware Update process of Belkin Wemo Smart Plug WSP080 v1.2 allows attackers to cause a Denial of Service (DoS) via a crafted firmware file.,6.5,3.1,CWE-347,cpe:2.3:o:belkin:wemo_smart_plug_wsp080_firmware:1.2:*:*:*:*:*:*:*|cpe:2.3:h:belkin:wemo_smart_plug_wsp080:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
No,Yes,vendor_only,CVE-2023-46889,2024-01-23,"Meross MSH30Q 4.5.23 is vulnerable to Cleartext Transmission of Sensitive Information. During the device setup phase, the MSH30Q creates an unprotected Wi-Fi access point. In this phase, MSH30Q needs to connect to the Internet through a Wi-Fi router. This is why MSH30Q asks for the Wi-Fi network name (SSID) and the Wi-Fi network password. When the user enters the password, the transmission of the Wi-Fi password and name between the MSH30Q and mobile application is observed in the Wi-Fi network. Although the Wi-Fi password is encrypted, a part of the decryption algorithm is public so we complemented the missing parts to decrypt it.",5.7,3.1,CWE-319,cpe:2.3:o:meross:msh30q_firmware:4.5.23:*:*:*:*:*:*:*|cpe:2.3:h:meross:msh30q:-:*:*:*:*:*:*:*,No,High,"Meross MSH30Q is a smart hub/gateway, not a smart plug; it matched the Meross vendor list but is a different device class.",No,High,,Yes,High,,,
No,,vendor_only,CVE-2024-57357,2025-02-07,"An issue in TPLINK TL-WPA 8630 TL-WPA8630(US)_V2_2.0.4 Build 20230427 allows a remote attacker to execute arbitrary code via function sub_4256CC, which allows command injection by injecting 'devpwd'.",8.0,3.1,CWE-78,cpe:2.3:o:tp-link:tl-wpa8630_firmware:2.0.4:build_20230427:*:*:*:*:*:*|cpe:2.3:h:tp-link:tl-wpa8630:2.0:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
No,,vendor_only,CVE-2026-8714,2026-06-05,"A denial-of-service
vulnerability exists in the RTSP server component of TP-Link Tapo C520WS v2 due to improper handling of
syntactically invalid input.  Crafted inputs
can trigger a processing error, causing the RTSP service to enter non-responsive
state.





Successful
exploitation may cause the RTSP in a denial-of-service condition.",6.5,3.1,CWE-20,cpe:2.3:o:tp-link:tapo_c520ws_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c520ws:2.0:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
Yes,,vendor_only,CVE-2013-6948,2014-02-22,"The peerAddresses API in the Belkin WeMo Home Automation firmware before 3949 allows remote attackers to read arbitrary files via an XML document containing an external entity declaration in conjunction with an entity reference, related to an XML External Entity (XXE) issue.",7.8,2.0,CWE-94,cpe:2.3:a:belkin:wemo_home_automation_firmware:2769:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
