facet,n_items,fleiss_kappa,ci_low,ci_high,raw_agreement,pabak,unsure_rate,top_label_share,skewed,band
actuatesPhysical,40,0.7372,0.5629,0.8923,0.8000,0.8000,0.0083,0.5167,,CITABLE
actuationConsequence,40,0.7553,0.6107,0.8763,0.7500,0.7917,0.0083,0.4667,,CITABLE
capturesAV,40,0.3858,0.1476,0.5872,0.5750,0.5625,0.0417,0.6583,,stays-Estimated
cloudDependence,37,0.4455,0.2232,0.6291,0.5676,0.5916,0.0450,0.5766,,grouping-only
computeTier,40,0.3836,0.2760,0.4834,0.4750,0.5417,0.0833,0.6000,,stays-Estimated
consumerAvailability,40,0.7202,0.5285,0.8889,0.8250,0.8222,0.0167,0.6833,,CITABLE
dataSensitivity,40,0.5946,0.3543,0.7825,0.7250,0.7556,0.0167,0.6833,,grouping-only
firmwareUpdateModel,39,0.3882,0.1848,0.5630,0.4872,0.5299,0.0598,0.5214,,stays-Estimated
formFactor,35,0.4892,-0.0606,0.7989,0.8000,0.8000,0.0095,0.8476,,grouping-only
hasWebAdminUI,40,0.3487,0.1063,0.5664,0.6500,0.5750,0.0667,0.7167,,stays-Estimated
placement,40,0.7011,0.5413,0.8464,0.8000,0.8111,0.0250,0.6917,,CITABLE
supportLifetime,40,-0.3115,-0.3882,-0.2335,0.1250,0.0500,0.2833,0.6583,,stays-Estimated
