cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
CVE-2016-6769,2017-01-12,"An elevation of privilege vulnerability in Smart Lock could enable a local malicious user to access Smart Lock settings without a PIN. This issue is rated as Moderate because it first requires physical access to an unlocked device where Smart Lock was the last settings pane accessed by the user. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1. Android ID: A-29055171.",4.6,3.0,CWE-284,cpe:2.3:o:google:android:5.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.2:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0.1:*:*:*:*:*:*:*
CVE-2016-1148,2017-04-21,Akerun - Smart Lock Robot App for iOS before 1.2.4 does not verify SSL certificates.,8.1,3.1,CWE-295,cpe:2.3:a:photosynth:akerun:*:*:*:*:*:iphone_os:*:*
CVE-2019-11334,2019-06-11,An authentication bypass in website post requests in the Tzumi Electronics Klic Lock application 1.0.9 for mobile devices allows attackers to access resources (that are not otherwise accessible without proper authentication) via capture-replay. Physically proximate attackers can use this information to unlock unauthorized Tzumi Electronics Klic Smart Padlock Model 5686 Firmware 6.2.,3.7,3.1,CWE-294,cpe:2.3:a:tzumi:klic_lock:1.0.9:*:*:*:*:*:*:*|cpe:2.3:o:tzumi:klic_smart_padlock_model_5686_firmware:6.2:*:*:*:*:*:*:*|cpe:2.3:h:tzumi:klic_smart_padlock_model_5686:-:*:*:*:*:*:*:*
CVE-2021-41847,2021-10-01,"An issue was discovered in 3xLogic Infinias Access Control through 6.7.10708.0, affecting physical security. Users with login credentials assigned to a specific zone can send modified HTTP GET and POST requests, allowing them to view user data such as personal information and Prox card credentials. Also, an authorized user of one zone can send API requests to unlock electronic locks associated with zones they are unauthorized to have access to. They can also create new user logins for zones they were not authorized to access, including the root zone of the software.",8.8,3.1,CWE-639,cpe:2.3:a:3xlogic:infinias_access_control:*:*:*:*:*:*:*:*
CVE-2021-44905,2022-03-25,Incorrect permissions in the Bluetooth Services in the Fortessa FTBTLD Smart Lock as of 12-13-2022 allows a remote attacker to disable the lock via an unauthenticated edit to the lock name.,8.2,3.1,CWE-276,cpe:2.3:o:cef:fortessa_ftbtld_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:cef:fortessa_ftbtld:-:*:*:*:*:*:*:*
CVE-2022-36228,2023-10-09,"Nokelock Smart padlock O1 Version 5.3.0 is vulnerable to Insecure Permissions. By sending a request, you can add any device and set the device password in the Nokelock app.",6.5,3.1,CWE-862,cpe:2.3:o:janusintl:noke_standard_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_standard_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd\+_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd\+_smart_padlock:-:*:*:*:*:*:*:*
CVE-2024-23485,2024-07-11,"Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation (CWE-1304) in the Controller 6000 and 7000 can lead to secured door locks connected via Aperio Communication Hubs to momentarily allow free access. 

This issue affects: Gallagher Controller 6000 and 7000 9.10 prior to vCR9.10.240520a (distributed in 9.10.1268(MR1)), 9.00 prior to vCR9.00.240521a (distributed in 9.00.1990(MR3)),  8.90 prior to vCR8.90.240520a (distributed in 8.90.1947 (MR4)), 8.80 prior to vCR8.80.240520a (distributed in 8.80.1726 (MR5)), 8.70 prior to vCR8.70.240520a (distributed in 8.70.2824 (MR7)), all versions of 8.60 and prior.",4.6,3.1,CWE-1304,
CVE-2024-48548,2024-10-24,The APK file in Cloud Smart Lock v2.0.1 has a leaked a URL that can call an API for binding physical devices. This vulnerability allows attackers to arbitrarily construct a request to use the app to bind to unknown devices by finding a valid serial number via a bruteforce attack.,9.3,3.1,CWE-863,
CVE-2019-12944,2019-10-15,Glue Smart Lock 2.7.8 devices do not properly block guest access in certain situations where the network connection is unavailable.,7.5,3.1,CWE-862,cpe:2.3:o:gluehome:glue_smart_lock_firmware:2.7.8:*:*:*:*:*:*:*|cpe:2.3:h:gluehome:glue_smart_lock:-:*:*:*:*:*:*:*
CVE-2019-17518,2020-02-10,"The Bluetooth Low Energy implementation on Dialog Semiconductor SDK through 1.0.14.1081 for DA1468x devices responds to link layer packets with a payload length larger than expected, allowing attackers in radio range to cause a buffer overflow via a crafted packet. This affects, for example, August Smart Lock.",6.5,3.1,CWE-120,cpe:2.3:a:dialog-semiconductor:software_development_kit:*:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14680:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14681:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14682:-:*:*:*:*:*:*:*|cpe:2.3:h:dialog-semiconductor:da14683:-:*:*:*:*:*:*:*
CVE-2020-9438,2020-06-23,"Tinxy Door Lock with firmware before 3.2 allow attackers to unlock a door by replaying an Unlock request that occurred when the attacker was previously authorized. In other words, door-access revocation is mishandled.",5.9,3.1,CWE-294,cpe:2.3:o:tinxy:smart_wifi_door_lock_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tinxy:smart_wifi_door_lock:-:*:*:*:*:*:*:*
CVE-2020-12681,2021-07-26,Missing TLS certificate validation on 3xLogic Infinias eIDC32 devices through 3.4.125 allows an attacker to intercept/control the channel by which door lock policies are applied.,7.5,3.1,CWE-295,cpe:2.3:o:3xlogic:infinias_eidc32_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:3xlogic:infinias_eidc32:-:*:*:*:*:*:*:*
CVE-2020-9059,2022-01-10,"Z-Wave devices based on Silicon Labs 500 series chipsets using S0 authentication are susceptible to uncontrolled resource consumption leading to battery exhaustion. As an example, the Schlage BE468 version 3.42 door lock is vulnerable and fails open at a low battery level.",6.5,3.1,CWE-400|CWE-770,cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:schlage:be468:3.42:*:*:*:*:*:*:*
CVE-2022-23849,2022-03-03,The biometric lock in Devolutions Password Hub for iOS before 2021.3.4 allows attackers to access the application because of authentication bypass. An attacker must rapidly make failed biometric authentication attempts.,6.6,3.1,,cpe:2.3:a:devolutions:password_hub:*:*:*:*:*:iphone_os:*:*
CVE-2022-46307,2023-06-02,"SGUDA U-Lock central lock control service’s lock management function has incorrect authorization. A remote attacker with general privilege can exploit this vulnerability to call privileged APIs to acquire information, manipulate or disrupt the functionality of arbitrary electronic locks.",8.8,3.1,CWE-863,cpe:2.3:o:sguda:u-lock_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sguda:u-lock:-:*:*:*:*:*:*:*
CVE-2023-39841,2023-08-15,Missing encryption in the RFID tag of Etekcity 3-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.,4.6,3.1,CWE-311,cpe:2.3:o:etekcity:3-in-1_smart_door_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:etekcity:3-in-1_smart_door_lock:-:*:*:*:*:*:*:*
CVE-2023-39843,2023-08-15,Missing encryption in the RFID tag of Suleve 5-in-1 Smart Door Lock v1.0 allows attackers to create a cloned tag via brief physical proximity to the original device.,2.4,3.1,CWE-311,cpe:2.3:o:sulimet:5-in-1_smart_door_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:sulimet:5-in-1_smart_door_lock:-:*:*:*:*:*:*:*
CVE-2023-34553,2023-06-22,An issue was discovered in WAFU Keyless Smart Lock v1.0 allows attackers to unlock a device via code replay attack.,6.5,3.1,CWE-294,cpe:2.3:o:wafucn:wafu_keyless_smart_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:wafucn:wafu_keyless_smart_lock:-:*:*:*:*:*:*:*
