AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
No,Yes,keyword_only,CVE-2024-7795,2024-08-21,"Autel MaxiCharger AC Elite Business C50 AppAuthenExchangeRandomNum Stack-Based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Autel MaxiCharger AC Elite Business C50 EV chargers. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of the AppAuthenExchangeRandomNum BLE command. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of the device. Was ZDI-CAN-23384.",8.8,3.1,CWE-121|CWE-119,cpe:2.3:o:autel:maxicharger_ac_elite_business_c50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:autel:maxicharger_ac_elite_business_c50:-:*:*:*:*:*:*:*,No,High,,No,High,,Yes,High,,,
Yes,,vendor_only,CVE-2025-8321,2025-07-30,"Tesla Wall Connector Firmware Downgrade Vulnerability. This vulnerability allows physically present attackers to execute arbitrary code on affected installations of Tesla Wall Connector devices. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the firmware upgrade feature. The issue results from the lack of an anti-downgrade mechanism. An attacker can leverage this in conjunction with other vulnerabilities to execute code in the context of the device. Was ZDI-CAN-26299.",6.8,3.0,CWE-1328,cpe:2.3:o:tesla:wall_connector_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tesla:wall_connector:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2024-7391,2024-11-22,"ChargePoint Home Flex Bluetooth Low Energy Information Disclosure Vulnerability. This vulnerability allows network-adjacent attackers to disclose sensitive information on affected installations of ChargePoint Home Flex charging devices. User interaction is required to exploit this vulnerability.

The specific flaw exists within the Wi-Fi setup logic. By connecting to the device over Bluetooth Low Energy during the setup process, an attacker can obtain Wi-Fi credentials. An attacker can leverage this vulnerability to disclose credentials and gain access to the device owner's Wi-Fi network. Was ZDI-CAN-21454.",5.7,3.1,CWE-200,cpe:2.3:o:chargepoint:home_flex_firmware:5.5.3.13:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2025-8320,2025-07-30,"Tesla Wall Connector Content-Length Header Improper Input Validation Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Tesla Wall Connector devices. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the parsing of the HTTP Content-Length header. The issue results from the lack of proper validation of user-supplied data, which can result in memory access past the end of an allocated buffer. An attacker can leverage this vulnerability to execute code in the context of the device. Was ZDI-CAN-26300.",8.8,3.0,CWE-1284,cpe:2.3:o:tesla:wall_connector_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tesla:wall_connector:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,intersection,CVE-2025-5747,2025-06-06,"WOLFBOX Level 2 EV Charger MCU Command Parsing Misinterpretation of Input Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installatons of WOLFBOX Level 2 EV Charger devices. Authentication is required to exploit this vulnerability.

The specific flaw exists within the handling of command frames received by the MCU. When parsing frames, the process does not properly detect the start of a frame, which can lead to misinterpretation of input. An attacker can leverage this in conjunction with other vulnerabilities to execute arbitrary code in the context of the device. Was ZDI-CAN-26501.",8.0,3.0,CWE-115,cpe:2.3:o:wolfbox:level_2_ev_charger_firmware:3.1.17:*:*:*:*:*:*:*|cpe:2.3:h:wolfbox:level_2_ev_charger:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2026-0778,2026-01-23,"Enel X JuiceBox 40 Telnet Service Missing Authentication Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Enel X JuiceBox 40 charging stations. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the telnet service, which listens on TCP port 2000 by default. The issue results from the lack of authentication prior to allowing remote connections. An attacker can leverage this vulnerability to execute code in the context of the service account. Was ZDI-CAN-23285.",8.8,3.0,CWE-306,,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2024-7392,2024-11-22,"ChargePoint Home Flex Bluetooth Low Energy Denial-of-Service Vulnerability. This vulnerability allows network-adjacent attackers to create a denial-of-service condition on affected installations of ChargePoint Home Flex charging devices. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the connection handling of the Bluetooth Low Energy interface. The issue results from limiting the number of active connections to the product. An attacker can leverage this vulnerability to create a denial-of-service condition on the system. Was ZDI-CAN-21455.",6.5,3.1,CWE-410,cpe:2.3:o:chargepoint:home_flex_firmware:5.5.3.13:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2026-4155,2026-04-11,"ChargePoint Home Flex Inclusion of Sensitive Information in Source Code Information Disclosure Vulnerability. This vulnerability allows remote attackers to disclose sensitive information on affected installations of ChargePoint Home Flex charging stations. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the genpw script. The issue results from the inclusion of a secret cryptographic seed value within the script. An attacker can leverage this vulnerability to disclose stored credentials, leading to further compromise. Was ZDI-CAN-26340.",7.5,3.0,CWE-540,cpe:2.3:o:chargepoint:home_flex_cph50_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_cph50:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2024-23971,2025-01-31,"This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of ChargePoint Home Flex charging stations. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of OCPP messages. The issue results from the lack of proper validation of a user-supplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of root.",8.8,3.1,CWE-77,cpe:2.3:o:chargepoint:home_flex_nema_14-50_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_nema_14-50_plug:-:*:*:*:*:*:*:*|cpe:2.3:o:chargepoint:home_flex_hardwired_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_hardwired:-:*:*:*:*:*:*:*|cpe:2.3:o:chargepoint:home_flex_nema_6-50_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_nema_6-50_plug:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2024-23968,2025-01-31,"This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of ChargePoint Home Flex charging stations. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the SrvrToSmSetAutoChnlListMsg function. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of root.",8.8,3.1,CWE-120,cpe:2.3:o:chargepoint:home_flex_nema_14-50_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_nema_14-50_plug:-:*:*:*:*:*:*:*|cpe:2.3:o:chargepoint:home_flex_hardwired_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_hardwired:-:*:*:*:*:*:*:*|cpe:2.3:o:chargepoint:home_flex_nema_6-50_plug_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:chargepoint:home_flex_nema_6-50_plug:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
