Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
intersection,CVE-2015-5729,2017-03-23,"The Soft Access Point (AP) feature in Samsung Smart TVs X10P, X12, X14H, X14J, and NT14U and Xpress M288OFW printers generate weak WPA2 PSK keys, which makes it easier for remote attackers to obtain sensitive information or bypass authentication via a brute-force attack.",9.8,3.0,CWE-200,cpe:2.3:o:samsung:nt14u_firmware:t-nt14uakucb-1008.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14dcncb-1010.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x12_firmware:t-mst12akucb-1114.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x12_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pibrcb-1104.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_ibr:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:nt14u_firmware:t-nt14udeucb-1007.1:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:nt14u_firmware:t-nt14udcncb-1003.1:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jdeucb-1018.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jdcncb-1004.2:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14akucb-1100.4:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14deucb-1023.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x12_firmware:t-mst12deucb-1111.4:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x12_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pauscp-1302.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pdeucb-1210.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:m288ofw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:m288ofw:-:*:*:*:*:*:*:*
intersection,CVE-2017-6631,2017-09-07,"A vulnerability in the HTTP remote procedure call (RPC) service of set-top box (STB) receivers manufactured by Cisco for Yes could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition on an affected device. The vulnerability exists because the firmware of an affected device fails to handle certain XML values that are passed to the HTTP RPC service listening on the local subnet of the device. An attacker could exploit this vulnerability by submitting a malformed request to an affected device. A successful attack could cause the affected device to restart, resulting in a DoS condition. Yes has updated the affected devices with firmware that addresses this vulnerability. Customers are not required to take action. Vulnerable Products: This vulnerability affects YesMaxTotal, YesMax HD, and YesQuattro STB devices. Cisco Bug IDs: CSCvd08812.",7.5,3.0,CWE-399,cpe:2.3:o:cisco:yesmax_hd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesmax_hd:-:*:*:*:*:*:*:*|cpe:2.3:o:cisco:yesmaxtotal_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesmaxtotal:-:*:*:*:*:*:*:*|cpe:2.3:o:cisco:yesquattro_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesquattro:-:*:*:*:*:*:*:*
intersection,CVE-2017-9333,2017-09-18,"OpenWebif 1.2.5 allows remote code execution via a URL to the CallOPKG function in the IpkgController class in plugin/controllers/ipkg.py, when the URL refers to an attacker-controlled web site with a Trojan horse package. This has security implications in cases where untrusted users can trigger CallOPKG calls, and these users can enter an arbitrary URL in an input field, even though that input field was only intended for a package name. This threat model may be relevant in the latest versions of third-party products that bundle OpenWebif, i.e., set-top box products. The issue of Trojan horse packages does NOT have security implications in cases where the attacker has full OpenWebif access.",8.8,3.0,CWE-20,cpe:2.3:a:openwebif_project:openwebif:1.2.5:*:*:*:*:*:*:*
intersection,CVE-2018-1151,2018-06-12,The web server on Western Digital TV Media Player 1.03.07 and TV Live Hub 3.12.13 allow unauthenticated remote attackers to execute arbitrary code or cause denial of service via crafted HTTP requests to toServerValue.cgi.,9.8,3.0,CWE-119,cpe:2.3:o:westerndigital:tv_live_hub_firmware:3.12.13:*:*:*:*:*:*:*|cpe:2.3:h:westerndigital:tv_live_hub:-:*:*:*:*:*:*:*|cpe:2.3:o:westerndigital:tv_media_player_firmware:1.03.07:*:*:*:*:*:*:*|cpe:2.3:h:westerndigital:tv_media_player:-:*:*:*:*:*:*:*
intersection,CVE-2019-9871,2019-05-31,Jector Smart TV FM-K75 devices allow remote code execution because there is an adb open port with root permission.,9.8,3.0,CWE-306,cpe:2.3:o:jector:fm-k75_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:jector:fm-k75:-:*:*:*:*:*:*:*
intersection,CVE-2019-11889,2019-07-09,Sony BRAVIA Smart TV devices allow remote attackers to cause a denial of service (device hang) via a crafted web page over HbbTV.,7.5,3.0,,cpe:2.3:o:sony:bravia_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sony:bravia:-:*:*:*:*:*:*:*
intersection,CVE-2019-11890,2019-07-09,Sony Bravia Smart TV devices allow remote attackers to cause a denial of service (device hang or reboot) via a SYN flood attack over a wired or Wi-Fi LAN.,7.5,3.0,CWE-400,cpe:2.3:o:sony:bravia_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sony:bravia:-:*:*:*:*:*:*:*
intersection,CVE-2021-41873,2021-10-26,Penguin Aurora TV Box 41502 is a high-end network HD set-top box produced by Tencent Video and Skyworth Digital. An unauthorized access vulnerability exists in the Penguin Aurora Box. An attacker can use the vulnerability to gain unauthorized access to a specific link to remotely control the TV.,10.0,3.1,,cpe:2.3:o:skyworth:penguin_aurora_box_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:skyworth:penguin_aurora_box:41502:*:*:*:*:*:*:*
intersection,CVE-2020-21405,2022-07-20,An issue was discovered in H96 Smart TV Box H96 Pro Plus allows attackers to corrupt files via calls to the saveDeepColorAttr service.unk,7.5,3.1,CWE-400,cpe:2.3:o:h96tvbox:h96_pro_plus_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:h96tvbox:h96_pro_plus:-:*:*:*:*:*:*:*
intersection,CVE-2023-41270,2023-11-08,Improper Restriction of Excessive Authentication Attempts vulnerability in Samsung Smart TV UE40D7000 version T-GAPDEUC-1033.2 and before allows attackers to cause a denial of service via WPS attack tools.,4.3,3.1,CWE-307,cpe:2.3:o:samsung:ue40d7000_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:samsung:ue40d7000:-:*:*:*:*:*:*:*
