cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,seed_cpe,Discovery Method
CVE-2000-0191,2000-02-29,Axis StorPoint CD allows remote attackers to access administrator URLs without authentication via a .. (dot dot) attack.,10.0,2.0,,cpe:2.3:h:axis:storpoint_cd:*:*:*:*:*:*:*:*,axis:storpoint_cd,cpe_expansion
CVE-2003-1386,2003-12-31,"AXIS 2400 Video Server 2.00 through 2.33 allows remote attackers to obtain sensitive information via an HTTP request to /support/messages, which displays the server's /var/log/messages file.",6.4,2.0,CWE-264,cpe:2.3:h:axis:2400_video_server:2.0:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:2.20:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:2.31:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:2.32:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:2.33:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:2.20:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:2.31:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:2.32:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:2.33:*:*:*:*:*:*:*,axis:2400_video_server|axis:2401_video_server,cpe_expansion
CVE-2018-12257,2018-06-12,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. There is Authenticated Custom Firmware Upgrade via DNS Hijacking. An authenticated root user with CLI access is able to remotely upgrade firmware to a custom image due to lack of SSL validation by changing the nameservers in /etc/resolv.conf to the attacker's server, and serving the expected HTTPS response containing new firmware for the device to download.",4.4,3.0,CWE-295,cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,cpe_expansion
CVE-2018-12259,2018-06-12,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. Root access can be obtained via UART pins without any restrictions, which leads to full system compromise.",6.8,3.0,CWE-732,cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,cpe_expansion
CVE-2018-12260,2018-06-12,An issue was discovered on Momentum Axel 720P 5.1.8 devices. The root password can be obtained in cleartext by issuing the command 'showKey' from the root CLI. This password may be the same on all devices,6.7,3.0,CWE-522,cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,cpe_expansion
CVE-2018-12261,2018-06-12,An issue was discovered on Momentum Axel 720P 5.1.8 devices. All processes run as root.,4.4,3.0,CWE-269,cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*|cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:-:*:*:*:*:*:*:*,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,cpe_expansion
CVE-2018-12323,2018-06-13,"An issue was discovered on Momentum Axel 720P 5.1.8 devices. A password of EHLGVG is hard-coded for the root and admin accounts, which makes it easier for physically proximate attackers to login at the console.",6.8,3.0,CWE-798,cpe:2.3:h:apollotechnologiesinc:momentum_axel_720p:*:*:*:*:*:*:*:*|cpe:2.3:o:apollotechnologiesinc:momentum_axel_720p_firmware:5.1.8:*:*:*:*:*:*:*,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,cpe_expansion
CVE-2018-13114,2018-10-22,"Missing authentication and improper input validation in KERUI Wifi Endoscope Camera (YPC99) allow an attacker to execute arbitrary commands (with a length limit of 19 characters) via the ""ssid"" value, as demonstrated by ssid:;ping 192.168.1.2 in the body of a SETSSID command.",9.8,3.0,CWE-306,cpe:2.3:o:keruigroup:ypc99_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:keruigroup:ypc99:-:*:*:*:*:*:*:*,keruigroup:ypc99|keruigroup:ypc99_firmware,cpe_expansion
CVE-2018-3863,2018-08-23,"On Samsung SmartThings Hub STH-ETH-250 devices with firmware version 0.20.17, the video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability. A strcpy overflows the destination buffer, which has a size of 40 bytes. An attacker can send an arbitrarily long ""user"" value in order to exploit this vulnerability.",9.9,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,samsung:sth-eth-250|samsung:sth-eth-250_firmware,cpe_expansion
CVE-2018-3864,2018-09-20,"An exploitable buffer overflow vulnerability exists in the Samsung WifiScan handler of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The strcpy overflows the destination buffer, which has a size of 40 bytes. An attacker can send an arbitrarily long ""password"" value in order to exploit this vulnerability.",8.8,3.1,CWE-120,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,samsung:sth-eth-250|samsung:sth-eth-250_firmware,cpe_expansion
