Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:Yes/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2019-12326,"Missing file and path validation in the ringtone upload function of the Akuvox R50P VoIP phone 50.0.6.156 allows an attacker to upload a manipulated ringtone file, with an executable payload (shell commands within the file) and trigger code execution.",cpe:2.3:o:akuvox:sp-r50p_firmware:50.0.6.156:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:sp-r50p:-:*:*:*:*:*:*:*,vendor_only,2019-07-22,9.8,3.0,CWE-434,Yes,Low,"Akuvox SP-R50P is an IP video door phone/intercom; while primarily used in multi-unit residential buildings, single-family home deployments are common and the device functions as a video doorbell/entry intercom",No,High,,No,High,,,,,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-16778,"An access control weakness in the DTMF tone receiver of Fermax Outdoor Panel allows physical attackers to inject a Dual-Tone-Multi-Frequency (DTMF) tone to invoke an access grant that would allow physical access to a restricted floor/level. By design, only a residential unit owner may allow such an access grant. However, due to incorrect access control, an attacker could inject it via the speaker unit to perform an access grant to gain unauthorized access, as demonstrated by a loud DTMF tone representing '1' and a long '#' (697 Hz and 1209 Hz, followed by 941 Hz and 1477 Hz).",cpe:2.3:o:fermax:outdoor_panel_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:fermax:outdoor_panel:-:*:*:*:*:*:*:*,vendor_only,2019-12-24,4.6,3.1,CWE-863,Maybe,Low,"Fermax outdoor door-entry/intercom panel that grants building floor access; residential apartment context but a multi-tenant building entry system rather than a single-home video doorbell, so category fit is uncertain.",No,High,,Yes,High,,,,Maybe,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2022-40903,"Aiphone GT-DMB-N 3-in-1 Video Entrance Station with NFC Reader 1.0.3 does not mitigate against repeated failed access attempts, which allows an attacker to gain administrative privileges.",cpe:2.3:o:aiphone:gt-dmb-n_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-n:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-dmb-lvn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-dmb-lvn:-:*:*:*:*:*:*:*|cpe:2.3:o:aiphone:gt-db-vn_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:aiphone:gt-db-vn:-:*:*:*:*:*:*:*,vendor_only,2022-11-14,6.5,3.1,CWE-307,Maybe,Low,"Aiphone GT-series video entrance station is a door-entry/intercom unit, but the GT line targets multi-tenant apartment/commercial buildings rather than single-family homes, so residential fit is uncertain.",No,High,,Yes,High,,,,Maybe,
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48774,An issue in Fermax Asia Pacific Pte Ltd com.fermax.vida 2.4.6 allows a remote attacker to obtain sensitve information via the firmware update process.,,vendor_only,2024-10-11,7.5,3.1,CWE-306,Yes,Low,"Fermax VIDA is Fermax's own companion app for its door-entry/video-doorbell hardware; a sensitive-information leak during the device's firmware-update process is an attack on the doorbell system via its official app, which counts as in scope.",No,High,,Yes,High,,,,Maybe,
C:Yes/Low  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2020-9473,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 has a passwordless ftp ssh user. By using an exploit chain, an attacker with access to the network can get root access on the gateway.",cpe:2.3:o:siedle:sg_150-0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:siedle:sg_150-0:-:*:*:*:*:*:*:*,vendor_only,2020-04-06,6.6,3.1,CWE-306,Yes,Low,S. Siedle & Soehne produces residential door intercom and video entry systems; the SG 150-0 Smart Gateway is the hub for their door communication products used in homes; also deployed in multi-family/commercial buildings,No,High,,Yes,Low,"Siedle is a well-known manufacturer of door communication systems (intercoms/doorbells). The SG 150-0 is a Smart Gateway used to connect these systems to the network. While gateways can be used in commercial settings, they are standard components for smart home video doorbell/intercom installations.",Yes,,,
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-9474,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 allows remote code execution via the backup functionality in the web frontend. By using an exploit chain, an attacker with access to the network can get root access on the gateway.",cpe:2.3:o:siedle:sg_150-0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:siedle:sg_150-0:-:*:*:*:*:*:*:*,vendor_only,2020-05-07,8.8,3.1,CWE-494,Yes,Low,Same product as CVE-2020-9473; Siedle residential door intercom gateway,No,High,,Yes,High,,Yes,,,
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-9475,"The S. Siedle & Soehne SG 150-0 Smart Gateway before 1.2.4 allows local privilege escalation via a race condition in logrotate. By using an exploit chain, an attacker with access to the network can get root access on the gateway.",cpe:2.3:o:siedle:sg_150-0_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:siedle:sg_150-0:-:*:*:*:*:*:*:*,vendor_only,2020-05-07,7.0,3.1,CWE-362,Yes,Low,Same product as CVE-2020-9473; Siedle residential door intercom gateway,No,High,,Yes,High,,Yes,,,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-31726,Akuvox C315 115.116.2613 allows remote command Injection via the cfgd_server service. The attack vector is sending a payload to port 189 (default root 0.0.0.0).,cpe:2.3:o:akuvox:c315_firmware:115.116.2613:*:*:*:*:*:*:*|cpe:2.3:h:akuvox:c315:-:*:*:*:*:*:*:*,vendor_only,2021-04-25,9.8,3.1,CWE-77,Maybe,Low,"Akuvox C315 is an indoor monitor in a SIP door-intercom system; door-entry related but it is the indoor answering unit rather than the door/bell unit, and Akuvox lines span residential and commercial deployments.",No,High,,Yes,High,,,,Maybe,
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-14453,"An issue was discovered in Comelit ""App lejos de casa (web)"" 2.8.0. It allows privilege escalation via modified domus and logged fields, related to js/bridge.min.js and login.json. For example, an attacker can achieve high privileges (installer or administrator) for the graphical interface via a 1C000000000S value for domus, in conjunction with a zero value for logged.",cpe:2.3:a:comelitgroup:away_from_home:2.8.0:*:*:*:*:*:*:*,vendor_only,2021-08-03,8.8,3.1,CWE-269,Yes,Low,"Comelit's 'away from home' web app is the vendor's own remote-control interface for its door-entry/intercom (doorbell) hardware; the privilege-escalation flaw lets an attacker reach installer/administrator control of that hardware through its own official app, which is in scope.",No,High,,Yes,High,,,,Maybe,
C:Maybe/Low  X:No/High  G:No/Low,judgments not unanimous,CVE-2024-31408,OS command injection vulnerability exists in AIPHONE IX SYSTEM and IXG SYSTEM. A network-adjacent authenticated attacker may execute an arbitrary OS command with root privileges by sending a specially crafted request.,,vendor_only,2024-11-22,8.0,3.0,CWE-78,Maybe,Low,"Aiphone IX/IXG is an IP door-intercom system; IXG serves multi-tenant residential buildings and IX targets commercial sites, so it is door-entry but its single-home consumer fit is uncertain.",No,High,,No,Low,"Aiphone IX and IXG systems are typically enterprise-grade IP intercom systems used in commercial buildings or apartment complexes, rather than consumer home video doorbells.",,,Maybe,
