Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
vendor_only,CVE-2018-6011,2018-11-01,"The time-based one-time-password (TOTP) function in the application logic of the Green Electronics RainMachine Mini-8 (2nd generation) uses the administrator's password hash to generate a 6-digit temporary passcode that can be used for remote and local access, aka a ""Use of Password Hash Instead of Password for Authentication"" issue. This is exploitable by an attacker who discovers a hash value in the rainmachine-settings.sqlite file.",8.1,3.0,CWE-287,cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*
vendor_only,CVE-2018-6012,2018-11-01,The 'Weather Service' feature of the Green Electronics RainMachine Mini-8 (2nd generation) allows an attacker to inject arbitrary Python code via the 'Add new weather data source' upload function.,9.8,3.0,CWE-94,cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*
vendor_only,CVE-2018-6906,2018-11-01,A persistent Cross Site Scripting (XSS) vulnerability in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allows an attacker to inject arbitrary JavaScript via the REST API.,6.1,3.0,CWE-79,cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*
vendor_only,CVE-2018-6907,2018-11-01,A Cross Site Request Forgery (CSRF) vulnerability in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allows an attacker to control the RainMachine device via the REST API.,8.8,3.0,CWE-352,cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*
vendor_only,CVE-2018-6908,2018-11-01,"An authentication bypass vulnerability exists in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application allowing an unauthenticated attacker to perform authenticated actions on the device via a 127.0.0.1:port value in the HTTP 'Host' header, as demonstrated by retrieving credentials.",9.8,3.0,CWE-287,cpe:2.3:o:rainmachine:mini-8_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:mini-8:-:*:*:*:*:*:*:*|cpe:2.3:o:rainmachine:touch_hd_12_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:rainmachine:touch_hd_12:-:*:*:*:*:*:*:*
vendor_only,CVE-2018-6909,2018-11-01,"A missing X-Frame-Options header in the Green Electronics RainMachine Mini-8 (2nd Generation) and Touch HD 12 web application could be used by a remote attacker for clickjacking, as demonstrated by triggering an API page request.",6.5,3.0,CWE-1021,cpe:2.3:a:rainmachine:rainmachine_web_application:-:*:*:*:*:*:*:*
vendor_only,CVE-2026-7413,2026-05-07,"A hidden, persistent backdoor was found in Yarbo firmware v2.3.9 that provides remote, unauthenticated (or weakly authenticated) access to privileged functionality. The backdoor is undocumented, cannot be disabled via user-facing settings, and survives factory reset and ordinary firmware updates.",9.8,3.1,CWE-912,cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*
vendor_only,CVE-2026-7414,2026-05-07,"Yarbo firmware v2.3.9 contains hardcoded administrative credentials embedded in the firmware image. These credentials are identical across all devices running this firmware and cannot be changed or removed by end users, enabling trivial unauthorized access to device management interfaces by anyone who knows them.",9.8,3.1,CWE-798,cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*
vendor_only,CVE-2026-7415,2026-05-07,The MQTT broker embedded in Yarbo firmware v2.3.9 is configured to allow anonymous connections with no topic-level read or write ACLs. Any host on the same network can subscribe to sensitive telemetry topics or publish control messages directly to the robot without authentication or authorization of any kind.,9.8,3.1,CWE-306,cpe:2.3:o:yarbo:lawn_mower_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower:-:*:*:*:*:*:*:*|cpe:2.3:o:yarbo:lawn_mower_pro_firmware:2.3.9:*:*:*:*:*:*:*|cpe:2.3:h:yarbo:lawn_mower_pro:-:*:*:*:*:*:*:*
vendor_only,CVE-2026-10557,2026-06-12,The Yarbo Android and iOS applications contain hard-coded MQTT broker credentials that are identical for all users and all devices. These credentials are embedded in the application binary and are readily extractable via APK decompilation. The credentials provide access to cloud MQTT brokers carrying real-time telemetry for the entire global Yarbo robot fleet. They allow both wildcard subscription to all robot telemetry topics and publishing to any robot's command topic using only the robot's serial number.,9.8,3.1,CWE-798,
vendor_only,CVE-2026-7368,2026-06-12,"The Yarbo cloud does not enforce per-device or per-user authorization. Any client possessing valid credentials, whether the shared hard-coded credentials or legitimate per-user credentials, can subscribe to wildcard topics covering all robots globally, and can publish to any robot's command topic using only the robot's serial number (disclosed in the telemetry stream). Even after removal of hard-coded credentials from the app, a single compromised credential could still provide fleet-wide access without per-device access controls.",8.1,3.1,CWE-862,
