Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings
keyword_only,CVE-2016-6769,2017-01-12,"An elevation of privilege vulnerability in Smart Lock could enable a local malicious user to access Smart Lock settings without a PIN. This issue is rated as Moderate because it first requires physical access to an unlocked device where Smart Lock was the last settings pane accessed by the user. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1. Android ID: A-29055171.",4.6,3.0,CWE-284,cpe:2.3:o:google:android:5.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.0.2:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:5.1.1:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0:*:*:*:*:*:*:*|cpe:2.3:o:google:android:6.0.1:*:*:*:*:*:*:*
keyword_only,CVE-2016-1148,2017-04-21,Akerun - Smart Lock Robot App for iOS before 1.2.4 does not verify SSL certificates.,8.1,3.1,CWE-295,cpe:2.3:a:photosynth:akerun:*:*:*:*:*:iphone_os:*:*
keyword_only,CVE-2019-11334,2019-06-11,An authentication bypass in website post requests in the Tzumi Electronics Klic Lock application 1.0.9 for mobile devices allows attackers to access resources (that are not otherwise accessible without proper authentication) via capture-replay. Physically proximate attackers can use this information to unlock unauthorized Tzumi Electronics Klic Smart Padlock Model 5686 Firmware 6.2.,3.7,3.1,CWE-294,cpe:2.3:a:tzumi:klic_lock:1.0.9:*:*:*:*:*:*:*|cpe:2.3:o:tzumi:klic_smart_padlock_model_5686_firmware:6.2:*:*:*:*:*:*:*|cpe:2.3:h:tzumi:klic_smart_padlock_model_5686:-:*:*:*:*:*:*:*
keyword_only,CVE-2021-41847,2021-10-01,"An issue was discovered in 3xLogic Infinias Access Control through 6.7.10708.0, affecting physical security. Users with login credentials assigned to a specific zone can send modified HTTP GET and POST requests, allowing them to view user data such as personal information and Prox card credentials. Also, an authorized user of one zone can send API requests to unlock electronic locks associated with zones they are unauthorized to have access to. They can also create new user logins for zones they were not authorized to access, including the root zone of the software.",8.8,3.1,CWE-639,cpe:2.3:a:3xlogic:infinias_access_control:*:*:*:*:*:*:*:*
keyword_only,CVE-2021-44905,2022-03-25,Incorrect permissions in the Bluetooth Services in the Fortessa FTBTLD Smart Lock as of 12-13-2022 allows a remote attacker to disable the lock via an unauthenticated edit to the lock name.,8.2,3.1,CWE-276,cpe:2.3:o:cef:fortessa_ftbtld_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:cef:fortessa_ftbtld:-:*:*:*:*:*:*:*
keyword_only,CVE-2022-36228,2023-10-09,"Nokelock Smart padlock O1 Version 5.3.0 is vulnerable to Insecure Permissions. By sending a request, you can add any device and set the device password in the Nokelock app.",6.5,3.1,CWE-862,cpe:2.3:o:janusintl:noke_standard_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_standard_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd_smart_padlock:-:*:*:*:*:*:*:*|cpe:2.3:o:janusintl:noke_hd\+_smart_padlock_firmware:5.3.0:*:*:*:*:*:*:*|cpe:2.3:h:janusintl:noke_hd\+_smart_padlock:-:*:*:*:*:*:*:*
keyword_only,CVE-2024-23485,2024-07-11,"Improperly Preserved Integrity of Hardware Configuration State During a Power Save/Restore Operation (CWE-1304) in the Controller 6000 and 7000 can lead to secured door locks connected via Aperio Communication Hubs to momentarily allow free access. 

This issue affects: Gallagher Controller 6000 and 7000 9.10 prior to vCR9.10.240520a (distributed in 9.10.1268(MR1)), 9.00 prior to vCR9.00.240521a (distributed in 9.00.1990(MR3)),  8.90 prior to vCR8.90.240520a (distributed in 8.90.1947 (MR4)), 8.80 prior to vCR8.80.240520a (distributed in 8.80.1726 (MR5)), 8.70 prior to vCR8.70.240520a (distributed in 8.70.2824 (MR7)), all versions of 8.60 and prior.",4.6,3.1,CWE-1304,
keyword_only,CVE-2024-48548,2024-10-24,The APK file in Cloud Smart Lock v2.0.1 has a leaked a URL that can call an API for binding physical devices. This vulnerability allows attackers to arbitrarily construct a request to use the app to bind to unknown devices by finding a valid serial number via a bruteforce attack.,9.3,3.1,CWE-863,
keyword_only,CVE-2020-12681,2021-07-26,Missing TLS certificate validation on 3xLogic Infinias eIDC32 devices through 3.4.125 allows an attacker to intercept/control the channel by which door lock policies are applied.,7.5,3.1,CWE-295,cpe:2.3:o:3xlogic:infinias_eidc32_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:3xlogic:infinias_eidc32:-:*:*:*:*:*:*:*
keyword_only,CVE-2020-9059,2022-01-10,"Z-Wave devices based on Silicon Labs 500 series chipsets using S0 authentication are susceptible to uncontrolled resource consumption leading to battery exhaustion. As an example, the Schlage BE468 version 3.42 door lock is vulnerable and fails open at a low battery level.",6.5,3.1,CWE-400|CWE-770,cpe:2.3:o:silabs:500_series_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:schlage:be468:3.42:*:*:*:*:*:*:*
keyword_only,CVE-2022-23849,2022-03-03,The biometric lock in Devolutions Password Hub for iOS before 2021.3.4 allows attackers to access the application because of authentication bypass. An attacker must rapidly make failed biometric authentication attempts.,6.6,3.1,,cpe:2.3:a:devolutions:password_hub:*:*:*:*:*:iphone_os:*:*
keyword_only,CVE-2023-26943,2023-12-05,Weak encryption mechanisms in RFID Tags in Yale Keyless Lock v1.0 allows attackers to create a cloned tag via physical proximity to the original.,6.5,3.1,CWE-326,cpe:2.3:o:assaabloy:yale_keyless_smart_lock_firmware:1.0:*:*:*:*:*:*:*|cpe:2.3:h:assaabloy:yale_keyless_smart_lock:-:*:*:*:*:*:*:*
keyword_only,CVE-2025-56400,2025-11-24,"Cross-Site Request Forgery (CSRF) vulnerability in the OAuth implementation of the Tuya SDK 6.5.0 for Android and iOS, affects the Tuya Smart and Smartlife mobile applications, as well as other third-party applications that integrate the SDK, allows an attacker to link their own Amazon Alexa account to a victim's Tuya account. The applications fail to validate the OAuth state parameter during the account linking flow, enabling a cross-site request forgery (CSRF)-like attack. By tricking the victim into clicking a crafted authorization link, an attacker can complete the OAuth flow on the victim's behalf, resulting in unauthorized Alexa access to the victim's Tuya-connected devices. This affects users regardless of prior Alexa linkage and does not require the Tuya application to be active at the time. Successful exploitation may allow remote control of devices such as cameras, doorbells, door locks, or alarms.",8.8,3.1,CWE-352|CWE-384,cpe:2.3:a:tuya:smartlife:6.3.1:*:*:*:*:iphone_os:*:*|cpe:2.3:a:tuya:smartlife:6.3.4:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya:*:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya:*:*:*:*:*:iphone_os:*:*|cpe:2.3:a:tuya:tuya_smart:6.3.1:*:*:*:*:android:*:*|cpe:2.3:a:tuya:tuya_smart:6.3.1:*:*:*:*:iphone_os:*:*
keyword_only,CVE-2026-24732,2026-03-04,"Files or Directories Accessible to External Parties, Incorrect Permission Assignment for Critical Resource vulnerability in Hallo Welt! GmbH BlueSpice (Extension:NSFileRepo modules) allows Accessing Functionality Not Properly Constrained by ACLs, Bypassing Electronic Locks and Access Controls.This issue affects BlueSpice: from 5.1 through 5.1.3, from 5.2 through 5.2.0.

HINT: Versions provided apply to BlueSpice MediaWiki releases. For Extension:NSFileRepo the affected versions are 3.0 < 3.0.5",,,CWE-552|CWE-732,
keyword_only,CVE-2026-47149,2026-06-25,"In EmberZNet v9.0.2 and earlier, malformed or out-of-range Door Lock user identifiers can trigger out-of-bounds table reads and terminate the process. These messages must come from a device that has already joined the network, and no information leakage back to the sender was observed. Only devices supporting the Door Lock cluster may be impacted.",,,CWE-125,
keyword_only,CVE-2026-47151,2026-06-25,"In EmberZNet v9.0.2 and earlier, malformed ClearWeekdaySchedule messages can trigger out-of-bounds writes into Door Lock schedule state. The size and location of this data is limited. These messages must come from a device that has already joined the network. Only devices supporting the Door Lock cluster may be impacted.",,,CWE-787,
keyword_only,CVE-2025-68711,2026-05-26,"AppLockZ App Lock and Fingerprint Lock (applock.passwordfingerprint.applockz) 4.2.11 for Android allows a local attacker with physical access to bypass the PIN lock. The lock is implemented as an overlay rather than by using Android's secure authentication APIs. By navigating cascading interface flows - insecure navigation through exposed routes facilitates app control evasion {I.N.T.E.R.F.A.C.E] via advertisement or browser intents, an attacker can evade lockscreen verification and access protected apps (e.g., Chrome). This results in information disclosure and privilege escalation.",2.4,3.1,CWE-288,
