cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,seed_cpe,Discovery Method
CVE-2013-7447,2016-02-17,"Integer overflow in the gdk_cairo_set_source_pixbuf function in gdk/gdkcairo.c in GTK+ before 3.9.8, as used in eom, gnome-photos, eog, gambas3, thunar, pinpoint, and possibly other applications, allows remote attackers to cause a denial of service (crash) via a large image file, which triggers a large memory allocation.",6.5,3.0,,cpe:2.3:o:canonical:ubuntu_linux:12.04:*:*:*:lts:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:15.10:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2015-0718,2016-03-03,"Cisco NX-OS 4.0 through 6.1 on Nexus 1000V 3000, 4000, 5000, 6000, and 7000 devices and Unified Computing System (UCS) platforms allows remote attackers to cause a denial of service (TCP stack reload) by sending crafted TCP packets to a device that has a TIME_WAIT TCP session, aka Bug ID CSCub70579.",7.5,3.0,CWE-399,cpe:2.3:a:cisco:unified_computing_system:1.4_1i:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_1j:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_1m:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3i:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3l:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3m:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3q:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3s:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3u:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_3y:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4f:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4g:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4i:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4j:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4k:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.4_4l:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.5_base:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:1.6_base:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_1q:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_1s:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_1t:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_1w:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_1x:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_2m:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_2q:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_2r:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_3a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_3b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_3c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_4a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_4b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_4d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5e:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.0_5f:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_1a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_1b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_1d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_1e:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_1f:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_2a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_2c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_2d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3a:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3e:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.1_3f:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_1b:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_1c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_1d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_1e:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_2c:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_2d:*:*:*:*:*:*:*|cpe:2.3:a:cisco:unified_computing_system:2.2_2e:*:*:*:*:*:*:*|cpe:2.3:o:cisco:nx-os:base:*:*:*:*:*:*:*|cpe:2.3:o:netgear:jr6150_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:sun:opensolaris:snv_124:*:sparc:*:*:*:*:*|cpe:2.3:o:zyxel:gs1900-10hp_firmware:*:*:*:*:*:*:*:*|cpe:2.3:o:zzinc:keymouse_firmware:3.08:*:*:*:*:windows:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2015-7292,2017-04-10,Stack-based buffer overflow in the havok_write function in drivers/staging/havok/havok.c in Amazon Fire OS before 2016-01-15 allows attackers to cause a denial of service (panic) or possibly have unspecified other impact via a long string to /dev/hv.,9.8,3.0,CWE-119,cpe:2.3:o:amazon:fire_os:*:*:*:*:*:*:*:*,amazon:fire_os,cpe_expansion
CVE-2016-0729,2016-04-07,"Multiple buffer overflows in (1) internal/XMLReader.cpp, (2) util/XMLURL.cpp, and (3) util/XMLUri.cpp in the XML Parser library in Apache Xerces-C before 3.1.3 allow remote attackers to cause a denial of service (segmentation fault or memory corruption) or possibly execute arbitrary code via a crafted document.",9.8,3.0,CWE-119,cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:fedoraproject:fedora:22:*:*:*:*:*:*:*|cpe:2.3:o:fedoraproject:fedora:23:*:*:*:*:*:*:*|cpe:2.3:o:fedoraproject:fedora:24:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0960,2016-03-12,"Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0961, CVE-2016-0962, CVE-2016-0986, CVE-2016-0989, CVE-2016-0992, CVE-2016-1002, and CVE-2016-1005.",8.8,3.1,CWE-119,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0961,2016-03-12,"Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0960, CVE-2016-0962, CVE-2016-0986, CVE-2016-0989, CVE-2016-0992, CVE-2016-1002, and CVE-2016-1005.",8.8,3.1,CWE-119,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0962,2016-03-12,"Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0960, CVE-2016-0961, CVE-2016-0986, CVE-2016-0989, CVE-2016-0992, CVE-2016-1002, and CVE-2016-1005.",8.8,3.1,CWE-119,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0963,2016-03-12,"Integer overflow in Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allows attackers to execute arbitrary code via unspecified vectors, a different vulnerability than CVE-2016-0993 and CVE-2016-1010.",8.8,3.1,CWE-190,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0986,2016-03-12,"Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allow attackers to execute arbitrary code or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2016-0960, CVE-2016-0961, CVE-2016-0962, CVE-2016-0989, CVE-2016-0992, CVE-2016-1002, and CVE-2016-1005.",8.8,3.1,CWE-119,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
CVE-2016-0987,2016-03-12,"Use-after-free vulnerability in Adobe Flash Player before 18.0.0.333 and 19.x through 21.x before 21.0.0.182 on Windows and OS X and before 11.2.202.577 on Linux, Adobe AIR before 21.0.0.176, Adobe AIR SDK before 21.0.0.176, and Adobe AIR SDK & Compiler before 21.0.0.176 allows attackers to execute arbitrary code via unspecified vectors, a different vulnerability than CVE-2016-0988, CVE-2016-0990, CVE-2016-0991, CVE-2016-0994, CVE-2016-0995, CVE-2016-0996, CVE-2016-0997, CVE-2016-0998, CVE-2016-0999, and CVE-2016-1000.",8.8,3.1,CWE-416,cpe:2.3:a:adobe:flash_player:*:*:*:*:*:chrome:*:*|cpe:2.3:o:apple:mac_os_x:-:*:*:*:*:*:*:*|cpe:2.3:o:google:chrome_os:-:*:*:*:*:*:*:*|cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air:*:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk:*:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:edge:*:*|cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:flash_player:*:*:*:*:*:internet_explorer:*:*|cpe:2.3:o:microsoft:windows_8.1:-:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_desktop_runtime:*:*:*:*:*:*:*:*|cpe:2.3:a:adobe:air_sdk_\&_compiler:*:*:*:*:*:*:*:*,samsung:x14j_firmware,cpe_expansion
