Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-10544,Meross MSS110 devices through 1.1.24 contain an unauthenticated admin.htm administrative interface.,cpe:2.3:o:meross:mss110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss110:-:*:*:*:*:*:*:*,vendor_only,2018-05-02,9.8,3.0,CWE-287,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Meross MSS110 is a consumer WiFi smart plug — in-scope for smartplugs category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-6401,Meross MSS110 devices before 1.1.24 contain a TELNET listener providing access for an undocumented admin account with a blank password.,cpe:2.3:o:meross:mss110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss110:-:*:*:*:*:*:*:*,vendor_only,2018-05-02,9.8,3.0,CWE-798,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Consumer WiFi smart plug/switch product — in-scope for smartplugs.
C:No/High  X:Yes/High  G:No/High,judgments not unanimous,CVE-2019-12780,The Belkin Wemo Enabled Crock-Pot allows command injection in the Wemo UPnP API via the SmartDevURL argument to the SetSmartDevInfo action. A simple POST request to /upnp/control/basicevent1 can allow an attacker to execute commands without authentication.,cpe:2.3:o:belkin:crock-pot_smart_slow_cooker_with_wemo_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:belkin:crock-pot_smart_slow_cooker_with_wemo:-:*:*:*:*:*:*:*,vendor_only,2019-06-10,9.8,3.0,CWE-78,No,High,,Yes,High,,No,High,,No,,No,"Belkin Wemo Crock-Pot is a kitchen appliance (slow cooker), not a smart plug — belongs in appliances category."
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-7470,Sonoff TH 10 and 16 devices with firmware 6.6.0.21 allows XSS via the Friendly Name 1 field (after a successful login with the Web Admin Password).,cpe:2.3:o:sonoff:th10_firmware:6.6.0.21:*:*:*:*:*:*:*|cpe:2.3:h:sonoff:th10:-:*:*:*:*:*:*:*|cpe:2.3:o:sonoff:th16_firmware:6.6.0.21:*:*:*:*:*:*:*|cpe:2.3:h:sonoff:th16:-:*:*:*:*:*:*:*,vendor_only,2020-01-21,4.8,3.1,CWE-79,Yes,Low,"Sonoff TH10/TH16 are smart Wi-Fi power switches with sensor ports that perform home power control similar to smart plugs; while hardwired rather than outlet-plugged, they serve the same IoT-connected home power switching function",No,High,,Yes,High,,Yes,,Yes,Sonoff TH10/TH16 are consumer WiFi inline power relay switches — in-scope for smartplugs (same power-switching function).
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-35067,"Meross MSG100 devices before 3.2.3 allow an attacker to replay the same data or similar data (e.g., an attacker who sniffs a Close message can transmit an acceptable Open message).",cpe:2.3:o:meross:msg100_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:msg100:-:*:*:*:*:*:*:*,vendor_only,2021-10-07,8.1,3.1,CWE-294,No,High,"Meross MSG100 is a smart garage-door opener, not a smart plug; it matched the Meross vendor list but is a different device class.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-3774,"Meross Smart Wi-Fi 2 Way Wall Switch (MSS550X), on its 3.1.3 version and before, creates an open Wi-Fi Access Point without the required security measures in its initial setup. This could allow a remote attacker to obtain the Wi-Fi SSID as well as the password configured by the user from Meross app via Http/JSON plain request.",cpe:2.3:o:meross:mss550x_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss550x:-:*:*:*:*:*:*:*,vendor_only,2021-11-05,6.5,3.1,CWE-319,No,Low,"Meross MSS550X is a wall-mounted smart light switch, not a smart plug; wall switches are a distinct device type from outlet-mounted smart plugs and would belong in the lighting category",No,High,,Yes,High,,Yes,,Yes,Consumer WiFi smart plug/switch product — in-scope for smartplugs.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-38907,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to replay old messages encrypted with a still valid session key.",cpe:2.3:o:tp-link:tapo_l530e_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_l530e:-:*:*:*:*:*:*:*|cpe:2.3:a:tp-link:tapo:2.8.14:*:*:*:*:*:*:*,vendor_only,2023-09-25,7.5,3.1,,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Smart light bulb — not a smart plug; belongs in lighting category.
C:No/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2021-21266,"openHAB is a vendor and technology agnostic open source automation software for your home. In openHAB before versions 2.5.12 and 3.0.1 the XML external entity (XXE) attack allows attackers in the same network as the openHAB instance to retrieve internal information like the content of files from the file system. Responses to SSDP requests can be especially malicious. All add-ons that use SAX or JAXB parsing of externally received XML are potentially subject to this kind of attack. In openHAB, the following add-ons are potentially impacted: AvmFritz, BoseSoundtouch, DenonMarantz, DLinkSmarthome, Enigma2, FmiWeather, FSInternetRadio, Gce, Homematic, HPPrinter, IHC, Insteon, Onkyo, Roku, SamsungTV, Sonos, Roku, Tellstick, TR064, UPnPControl, Vitotronic, Wemo, YamahaReceiver and XPath Tranformation. The vulnerabilities have been fixed in versions 2.5.12 and 3.0.1 by a more strict configuration of the used XML parser.",cpe:2.3:a:openhab:openhab:*:*:*:*:*:*:*:*|cpe:2.3:a:openhab:openhab:3.0.0:*:*:*:*:*:*:*,vendor_only,2021-02-01,5.0,3.1,CWE-611,No,Low,"openHAB is a home automation server software platform; while it can control smart plugs, the CVE is in the server/application software, not a smart plug device",Yes,High,,No,High,,No,,No,Home automation platform software — not a smart plug device.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-38906,"An issue in TPLink Smart Bulb Tapo series L530 1.1.9, L510E 1.0.8, L630 1.0.3, P100 1.4.9, Smart Camera Tapo series C200 1.1.18, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the authentication code for the UDP message.",cpe:2.3:a:tp-link:tapo:2.8.14:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_l530e_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_l530e:-:*:*:*:*:*:*:*,vendor_only,2023-08-22,6.5,3.1,,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Smart light bulb — not a smart plug; belongs in lighting category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-38908,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the TSKEP authentication function.",cpe:2.3:a:tp-link:tapo:2.8.14:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_l530e_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_l530e:-:*:*:*:*:*:*:*,vendor_only,2023-08-22,6.5,3.1,,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Smart light bulb — not a smart plug; belongs in lighting category.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-38909,"An issue in TPLink Smart Bulb Tapo series L530 before 1.2.4, L510E before 1.1.0, L630 before 1.0.4, P100 before 1.5.0, and Tapo Application 2.8.14 allows a remote attacker to obtain sensitive information via the IV component in the AES128-CBC function.",cpe:2.3:a:tp-link:tapo:2.8.14:*:*:*:*:*:*:*|cpe:2.3:o:tp-link:tapo_l530e_firmware:1.0.0:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_l530e:-:*:*:*:*:*:*:*,vendor_only,2023-08-22,6.5,3.1,,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Smart light bulb — not a smart plug; belongs in lighting category.
