AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
Yes,,cpe_expansion,CVE-2017-2521,2017-05-22,"An issue was discovered in certain Apple products. iOS before 10.3.2 is affected. Safari before 10.1.1 is affected. tvOS before 10.2.1 is affected. watchOS before 3.2.2 is affected. The issue involves the ""WebKit"" component. It allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site.",8.8,3.0,CWE-119,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2025-43383,2025-11-04,"An out-of-bounds access issue was addressed with improved bounds checking. This issue is fixed in iOS 18.7.2 and iPadOS 18.7.2, iOS 26.1 and iPadOS 26.1, macOS Sequoia 15.7.2, macOS Tahoe 26.1, tvOS 26.1, visionOS 26.1. Processing a maliciously crafted media file may lead to unexpected app termination or corrupt process memory.",4.3,3.1,CWE-125,cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:visionos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2016-7584,2017-02-20,"An issue was discovered in certain Apple products. iOS before 10.1 is affected. macOS before 10.12.1 is affected. tvOS before 10.0.1 is affected. watchOS before 3.1 is affected. The issue involves the ""AppleMobileFileIntegrity"" component, which allows remote attackers to spoof signed code by using a matching team ID.",7.8,3.0,CWE-254,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2017-2483,2017-04-02,"An issue was discovered in certain Apple products. iOS before 10.3 is affected. macOS before 10.12.4 is affected. tvOS before 10.2 is affected. watchOS before 3.2 is affected. The issue involves the ""Kernel"" component. A buffer overflow allows attackers to execute arbitrary code in a privileged context via a crafted app.",7.8,3.0,CWE-119,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2010-2806,2010-08-19,"Array index error in the t42_parse_sfnts function in type42/t42parse.c in FreeType before 2.4.2 allows remote attackers to cause a denial of service (application crash) or possibly execute arbitrary code via negative size values for certain strings in FontType42 font files, leading to a heap-based buffer overflow.",6.8,2.0,CWE-129,cpe:2.3:a:freetype:freetype:*:*:*:*:*:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:6.06:*:*:*:*:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:8.04:*:*:*:-:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:9.04:*:*:*:*:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:9.10:*:*:*:*:*:*:*|cpe:2.3:o:canonical:ubuntu_linux:10.04:*:*:*:-:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2018-4336,2019-04-03,"A memory corruption issue was addressed with improved memory handling. This issue affected versions prior to iOS 12, macOS Mojave 10.14, tvOS 12, watchOS 5.",7.8,3.0,CWE-119,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2024-54467,2025-03-10,"A cookie management issue was addressed with improved state management. This issue is fixed in Safari 18, iOS 18 and iPadOS 18, macOS Sequoia 15, tvOS 18, visionOS 2, watchOS 11. A malicious website may exfiltrate data cross-origin.",6.5,3.1,CWE-200,cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2016-1828,2016-05-20,"The kernel in Apple iOS before 9.3.2, OS X before 10.11.5, tvOS before 9.2.1, and watchOS before 2.2.1 allows attackers to execute arbitrary code in a privileged context or cause a denial of service (memory corruption) via a crafted app, a different vulnerability than CVE-2016-1827, CVE-2016-1829, and CVE-2016-1830.",7.8,3.0,CWE-119,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2022-23308,2022-02-26,valid.c in libxml2 before 2.9.13 has a use-after-free of ID and IDREF attributes.,7.5,3.1,CWE-416,"cpe:2.3:a:xmlsoft:libxml2:*:*:*:*:*:*:*:*|cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*|cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*|cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:*:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2020-001:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-001:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-002:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-003:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-004:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-005:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-006:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-007:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2021-008:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2022-001:*:*:*:*:*:*|cpe:2.3:o:apple:mac_os_x:10.15.7:security_update_2022-003:*:*:*:*:*:*|cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*|cpe:2.3:a:netapp:active_iq_unified_manager:-:*:*:*:*:vmware_vsphere:*:*|cpe:2.3:a:netapp:clustered_data_ontap:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:clustered_data_ontap_antivirus_connector:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:manageability_software_development_kit:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:ontap_select_deploy_administration_utility:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:smi-s_provider:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:snapdrive:-:*:*:*:*:unix:*:*|cpe:2.3:a:netapp:snapmanager:-:*:*:*:*:oracle:*:*|cpe:2.3:a:netapp:solidfire\,_enterprise_sds_\&_hci_storage_node:-:*:*:*:*:*:*:*|cpe:2.3:a:netapp:solidfire_\&_hci_management_node:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:bootstrap_os:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:hci_compute_node:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h300s_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h300s:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h500s_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h500s:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h700s_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h700s:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h300e_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h300e:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h500e_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h500e:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h700e_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h700e:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h410s_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h410s:-:*:*:*:*:*:*:*|cpe:2.3:o:netapp:h410c_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:netapp:h410c:-:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_binding_support_function:22.2.0:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_network_function_cloud_native_environment:22.1.0:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_network_repository_function:22.1.2:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_network_repository_function:22.2.0:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_network_slice_selection_function:22.1.1:*:*:*:*:*:*:*|cpe:2.3:a:oracle:communications_cloud_native_core_unified_data_repository:22.2.0:*:*:*:*:*:*:*|cpe:2.3:a:oracle:mysql_workbench:*:*:*:*:*:*:*:*|cpe:2.3:a:oracle:zfs_storage_appliance_kit:8.8:*:*:*:*:*:*:*",Yes,High,,Yes,High,,Yes,High,,,
Yes,,cpe_expansion,CVE-2017-7117,2017-10-23,"An issue was discovered in certain Apple products. iOS before 11 is affected. Safari before 11 is affected. iCloud before 7.0 on Windows is affected. iTunes before 12.7 on Windows is affected. tvOS before 11 is affected. The issue involves the ""WebKit"" component. It allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption and application crash) via a crafted web site.",8.8,3.0,CWE-119,cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:icloud:*:*:*:*:*:*:*:*|cpe:2.3:a:apple:itunes:*:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
