Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-17020,"On D-Link DCS-5009 devices with firmware 1.08.11 and earlier, DCS-5010 devices with firmware 1.14.09 and earlier, and DCS-5020L devices with firmware before 1.15.01, command injection in alphapd (binary responsible for running the camera's web server) allows remote authenticated attackers to execute code through sanitized /setSystemAdmin user input in the AdminID field being passed directly to a call to system.",cpe:2.3:o:dlink:dcs-5009_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5009:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5010_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5010:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*,vendor_only,2018-05-01,8.8,3.0,CWE-78,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2019-17146,"This vulnerability allows remote attackers to execute arbitrary code on affected installations of D-Link DCS-960L v1.07.102. Authentication is not required to exploit this vulnerability. The specific flaw exists within the HNAP service, which listens on TCP port 80 by default. When parsing the SOAPAction request header, the process does not properly validate the length of user-supplied data prior to copying it to a stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of the admin user. Was ZDI-CAN-8458.",cpe:2.3:o:dlink:dcs-935l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-935l:ax:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-960l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-960l:a:*:*:*:*:*:*:*,vendor_only,2020-01-07,9.8,3.1,CWE-121|CWE-306,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,D-Link DCS models are general IP/security cameras — wrong device class for baby monitors.
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2021-41504,An Elevated Privileges issue exists in D-Link DCS-5000L v1.05 and DCS-932L v2.17 and older. The use of the digest-authentication for the devices command interface may allow further attack vectors that may compromise the cameras configuration and allow malicious users on the LAN to access the device. NOTE: This vulnerability only affects products that are no longer supported by the maintainer,cpe:2.3:o:dlink:dcs-932l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5000l_firmware:1.05:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5000l:-:*:*:*:*:*:*:*,vendor_only,2021-09-24,8.0,3.1,,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48168,"A stack overflow vulnerability exists in the sub_402280 function of the HNAP service of D-Link DCS-960L 1.09, allowing an attacker to execute arbitrary code.",cpe:2.3:o:dlink:dcs-960l_firmware:1.09:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-960l:-:*:*:*:*:*:*:*,vendor_only,2024-10-14,9.8,3.1,CWE-94,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:Yes/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2024-48798,An issue in Hubble Connected (com.hubbleconnected.vervelife) 2.00.81 allows a remote attacker to obtain sensitive information via the firmware update process.,,vendor_only,2024-10-14,7.5,3.1,CWE-200,Yes,Low,"Hubble Connected is Hubble/Motorola's own companion app for their Wi-Fi baby monitor line — app-device integration is part of what makes this an IoT product, not a reason to exclude it. The vulnerability leaks sensitive information during the device's own firmware-update process, a direct attack on the monitor's update path via its official app.",No,High,,Yes,High,,Yes,,Yes,"Vulnerability is in the companion mobile app, not clearly in the monitor hardware itself."
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2012-4046,"The D-Link DCS-932L camera with firmware 1.02 allows remote attackers to discover the password via a UDP broadcast packet, as demonstrated by running the D-Link Setup Wizard and reading the _paramR[""P""] value.",cpe:2.3:o:dlink:dcs-932l_firmware:1.02:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*,vendor_only,2012-12-24,3.3,2.0,CWE-200,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2048,Cross-site request forgery (CSRF) vulnerability in D-Link DCS-931L with firmware 1.04 and earlier allows remote attackers to hijack the authentication of unspecified victims via unknown vectors.,cpe:2.3:o:dlink:dcs-931l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-931l:*:*:*:*:*:*:*:*,vendor_only,2015-02-23,6.8,2.0,CWE-352,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2015-2049,Unrestricted file upload vulnerability in D-Link DCS-931L with firmware 1.04 and earlier allows remote authenticated users to execute arbitrary code by uploading a file with an executable extension.,cpe:2.3:o:dlink:dcs-931l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-931l:-:*:*:*:*:*:*:*,vendor_only,2015-02-23,9.0,2.0,,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2017-7851,D-Link DCS-936L devices with firmware before 1.05.07 have an inadequate CSRF protection mechanism that requires the device's IP address to be a substring of the HTTP Referer header.,cpe:2.3:o:d-link:dcs-936l:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-936l:-:*:*:*:*:*:*:*,vendor_only,2017-11-15,8.8,3.0,CWE-352,No,Low,"This D-Link DCS model is a general-purpose indoor home Wi-Fi/network camera (cameras category); physically similar to and sometimes repurposed as a baby monitor, but not part of D-Link's dedicated EyeOn baby-monitor line, so it is classified as a camera rather than a baby monitor.",No,High,,Yes,High,,No,,No,
C:Maybe/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2018-18441,"D-Link DCS series Wi-Fi cameras expose sensitive information regarding the device configuration. The affected devices include many of DCS series, such as: DCS-936L, DCS-942L, DCS-8000LH, DCS-942LB1, DCS-5222L, DCS-825L, DCS-2630L, DCS-820L, DCS-855L, DCS-2121, DCS-5222LB1, DCS-5020L, and many more. There are many affected firmware versions starting from 1.00 and above. The configuration file can be accessed remotely through: <Camera-IP>/common/info.cgi, with no authentication. The configuration file include the following fields: model, product, brand, version, build, hw_version, nipca version, device name, location, MAC address, IP address, gateway IP address, wireless status, input/output settings, speaker, and sensor settings.",cpe:2.3:o:d-link:dcs-936l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-936l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-942l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-942l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-8000lh_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8000lh:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-942lb1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-942lb1:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-5222l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5222l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-825l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-825l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2630l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2630l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-820l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-820l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-855l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-855l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2121_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2121:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-5222lb1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5222lb1:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5020l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5020l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-930l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-930l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-8100lh_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-8100lh:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-932l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-932l:-:*:*:*:*:*:*:*|cpe:2.3:o:d-link:dcs-2102_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-2102:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-933l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-933l:-:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dcs-5030l_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dcs-5030l:-:*:*:*:*:*:*:*,vendor_only,2018-12-20,7.5,3.0,CWE-200,Maybe,Low,"Affected DCS series includes DCS-8000LH (D-Link dedicated baby monitor) among listed models, but majority of the listed products are generic IP surveillance cameras; the vulnerability affects the product line broadly",No,High,,Yes,High,,No,,No,"D-Link DCS general IP camera, not a dedicated baby monitor — belongs in cameras."
