cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,matched_terms
CVE-2015-5729,2017-03-23,"The Soft Access Point (AP) feature in Samsung Smart TVs X10P, X12, X14H, X14J, and NT14U and Xpress M288OFW printers generate weak WPA2 PSK keys, which makes it easier for remote attackers to obtain sensitive information or bypass authentication via a brute-force attack.",9.8,3.0,CWE-200,cpe:2.3:o:samsung:nt14u_firmware:t-nt14uakucb-1008.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jakucb-1102.5:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14dcncb-1010.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x12_firmware:t-mst12akucb-1114.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x12_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pibrcb-1104.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_ibr:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:nt14u_firmware:t-nt14udeucb-1007.1:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:nt14u_firmware:t-nt14udcncb-1003.1:*:*:*:*:*:*:*|cpe:2.3:h:samsung:nt14u_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jdeucb-1018.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14j_firmware:t-ms14jdcncb-1004.2:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14j_cn:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14akucb-1100.4:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x14h_firmware:t-mst14deucb-1023.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x14h_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x12_firmware:t-mst12deucb-1111.4:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x12_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pauscp-1302.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_us:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:x10p_firmware:t-mst10pdeucb-1210.0:*:*:*:*:*:*:*|cpe:2.3:h:samsung:x10p_eu:-:*:*:*:*:*:*:*|cpe:2.3:o:samsung:m288ofw_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:m288ofw:-:*:*:*:*:*:*:*,smart tv
CVE-2017-6631,2017-09-07,"A vulnerability in the HTTP remote procedure call (RPC) service of set-top box (STB) receivers manufactured by Cisco for Yes could allow an unauthenticated, remote attacker to cause a denial of service (DoS) condition on an affected device. The vulnerability exists because the firmware of an affected device fails to handle certain XML values that are passed to the HTTP RPC service listening on the local subnet of the device. An attacker could exploit this vulnerability by submitting a malformed request to an affected device. A successful attack could cause the affected device to restart, resulting in a DoS condition. Yes has updated the affected devices with firmware that addresses this vulnerability. Customers are not required to take action. Vulnerable Products: This vulnerability affects YesMaxTotal, YesMax HD, and YesQuattro STB devices. Cisco Bug IDs: CSCvd08812.",7.5,3.0,CWE-399,cpe:2.3:o:cisco:yesmax_hd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesmax_hd:-:*:*:*:*:*:*:*|cpe:2.3:o:cisco:yesmaxtotal_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesmaxtotal:-:*:*:*:*:*:*:*|cpe:2.3:o:cisco:yesquattro_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:yesquattro:-:*:*:*:*:*:*:*,set-top box
CVE-2017-9333,2017-09-18,"OpenWebif 1.2.5 allows remote code execution via a URL to the CallOPKG function in the IpkgController class in plugin/controllers/ipkg.py, when the URL refers to an attacker-controlled web site with a Trojan horse package. This has security implications in cases where untrusted users can trigger CallOPKG calls, and these users can enter an arbitrary URL in an input field, even though that input field was only intended for a package name. This threat model may be relevant in the latest versions of third-party products that bundle OpenWebif, i.e., set-top box products. The issue of Trojan horse packages does NOT have security implications in cases where the attacker has full OpenWebif access.",8.8,3.0,CWE-20,cpe:2.3:a:openwebif_project:openwebif:1.2.5:*:*:*:*:*:*:*,set-top box
CVE-2019-9871,2019-05-31,Jector Smart TV FM-K75 devices allow remote code execution because there is an adb open port with root permission.,9.8,3.0,CWE-306,cpe:2.3:o:jector:fm-k75_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:jector:fm-k75:-:*:*:*:*:*:*:*,smart tv
CVE-2019-11889,2019-07-09,Sony BRAVIA Smart TV devices allow remote attackers to cause a denial of service (device hang) via a crafted web page over HbbTV.,7.5,3.0,,cpe:2.3:o:sony:bravia_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sony:bravia:-:*:*:*:*:*:*:*,smart tv
CVE-2019-11890,2019-07-09,Sony Bravia Smart TV devices allow remote attackers to cause a denial of service (device hang or reboot) via a SYN flood attack over a wired or Wi-Fi LAN.,7.5,3.0,CWE-400,cpe:2.3:o:sony:bravia_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sony:bravia:-:*:*:*:*:*:*:*,smart tv
CVE-2020-5976,2020-09-18,"NVIDIA GeForce NOW, versions prior to 2.0.23 (Windows, macOS) and versions prior to 5.31 (Android, Shield TV), contains a vulnerability in the application software where the network test component transmits sensitive information insecurely, which may lead to information disclosure.",7.5,3.1,,cpe:2.3:a:nvidia:geforce_now:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:macos:-:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android:-:*:*:*:*:*:*:*|cpe:2.3:o:google:android_tv:-:*:*:*:*:*:*:*|cpe:2.3:a:nvidia:games:*:*:*:*:*:*:*:*,android tv
CVE-2021-27944,2021-08-26,"Several high privileged APIs on the Vizio P65-F1 6.0.31.4-2 and E50x-E1 10.0.31.4-2 Smart TVs do not enforce access controls, allowing an unauthenticated threat actor to access privileged functionality, leading to OS command execution. The specific attack methodology is a file upload.",9.8,3.1,CWE-78,cpe:2.3:o:vizio:p65-f1_firmware:6.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:p65-f1:-:*:*:*:*:*:*:*|cpe:2.3:o:vizio:e50x-e1_firmware:10.0.31.4-2:*:*:*:*:*:*:*|cpe:2.3:h:vizio:e50x-e1:-:*:*:*:*:*:*:*,smart tv
CVE-2021-41873,2021-10-26,Penguin Aurora TV Box 41502 is a high-end network HD set-top box produced by Tencent Video and Skyworth Digital. An unauthorized access vulnerability exists in the Penguin Aurora Box. An attacker can use the vulnerability to gain unauthorized access to a specific link to remotely control the TV.,10.0,3.1,,cpe:2.3:o:skyworth:penguin_aurora_box_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:skyworth:penguin_aurora_box:41502:*:*:*:*:*:*:*,set-top box|tv box
CVE-2022-27152,2022-04-08,Roku devices running RokuOS v9.4.0 build 4200 or earlier that uses a Realtek WiFi chip is vulnerable to Arbitrary file modification.,5.7,3.1,,cpe:2.3:o:roku:roku_os:*:*:*:*:*:*:*:*|cpe:2.3:h:roku:express:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:express_4k\+:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:roku_tv:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:streambar:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:streambar_pro:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:streaming_stick_4k:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:streaming_stick_4k\+:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:ultra:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:wireless_speakers:-:*:*:*:*:*:*:*|cpe:2.3:h:roku:wireless_subwoofer:-:*:*:*:*:*:*:*,streaming stick
CVE-2020-21405,2022-07-20,An issue was discovered in H96 Smart TV Box H96 Pro Plus allows attackers to corrupt files via calls to the saveDeepColorAttr service.unk,7.5,3.1,CWE-400,cpe:2.3:o:h96tvbox:h96_pro_plus_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:h96tvbox:h96_pro_plus:-:*:*:*:*:*:*:*,smart tv|tv box
CVE-2020-21406,2022-07-20,An issue was discovered in RK Smart TV Box MAX and V88 SmartTV box that allows attackers to cause a denial of service via the switchNextDisplayInterface service.,7.5,3.1,,cpe:2.3:o:v88_smart_tv_box_project:v88_smart_tv_box_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:v88_smart_tv_box_project:v88_smart_tv_box:-:*:*:*:*:*:*:*|cpe:2.3:o:rk_max_smart_tv_box_project:rk_max_smart_tv_box_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:rk_max_smart_tv_box_project:rk_max_smart_tv_box:-:*:*:*:*:*:*:*,smart tv|tv box
CVE-2023-41270,2023-11-08,Improper Restriction of Excessive Authentication Attempts vulnerability in Samsung Smart TV UE40D7000 version T-GAPDEUC-1033.2 and before allows attackers to cause a denial of service via WPS attack tools.,4.3,3.1,CWE-307,cpe:2.3:o:samsung:ue40d7000_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:samsung:ue40d7000:-:*:*:*:*:*:*:*,smart tv
CVE-2017-9493,2017-07-31,The Comcast firmware on Motorola MX011ANM (firmware version MX011AN_2.9p6s1_PROD_sey) devices allows remote attackers to conduct successful forced-pairing attacks (between an RF4CE remote and a set-top box) by repeatedly transmitting the same pairing code.,6.3,3.0,,cpe:2.3:o:cisco:mx011anm_firmware:mx011an_2.9p6s1_prod_sey:*:*:*:*:*:*:*|cpe:2.3:h:motorola:mx011anm:-:*:*:*:*:*:*:*,set-top box
CVE-2017-9497,2017-07-31,"The Comcast firmware on Motorola MX011ANM (firmware version MX011AN_2.9p6s1_PROD_sey) devices allows physically proximate attackers to execute arbitrary commands as root by pulling up the diagnostics menu on the set-top box, and then posting to a Web Inspector route.",6.8,3.0,CWE-20,cpe:2.3:o:cisco:mx011anm_firmware:mx011an_2.9p6s1_prod_sey:*:*:*:*:*:*:*|cpe:2.3:h:motorola:mx011anm:-:*:*:*:*:*:*:*,set-top box
CVE-2017-12318,2017-11-16,"A vulnerability in the TCP state machine of Cisco RF Gateway 1 devices could allow an unauthenticated, remote attacker to prevent an affected device from delivering switched digital video (SDV) or video on demand (VoD) streams, resulting in a denial of service (DoS) condition. The vulnerability is due to a processing error with TCP connections to the affected device. An attacker could exploit this vulnerability by establishing a large number of TCP connections to an affected device and not actively closing those TCP connections. A successful exploit could allow the attacker to prevent the affected device from delivering SDV or VoD streams to set-top boxes. Cisco Bug IDs: CSCvf19887.",7.5,3.0,CWE-399|CWE-400,cpe:2.3:o:cisco:rf_gateway_1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:cisco:rf_gateway_1:-:*:*:*:*:*:*:*,set-top box
