Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason
vendor_only,CVE-2017-6520,2017-05-01,"The Multicast DNS (mDNS) responder used in BOSE Soundtouch 30 inadvertently responds to IPv4 unicast queries with source addresses that are not link-local, which allows remote attackers to cause a denial of service (traffic amplification) or obtain potentially sensitive information via port-5353 UDP packets.",9.1,3.0,CWE-417,cpe:2.3:h:bose:soundtouch_30:-:*:*:*:*:*:*:*,Yes,Low,"Bose SoundTouch is a home Wi-Fi/multiroom speaker that fits the smart-speaker category, but these models are media-streaming speakers without voice-assistant/home-control features, so the entertainment-vs-smart-speaker boundary is borderline.",Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2018-11567,2018-05-30,"Prior to 2018-04-27, the reprompt feature in Amazon Echo devices could be misused by a custom Alexa skill. The reprompt feature is designed so that if Alexa does not receive an input within 8 seconds, the device can speak a reprompt, then wait an additional 8 seconds for input; if the user still does not respond, the microphone is then turned off. The vulnerability involves empty output-speech reprompts, custom wildcard (""gibberish"") input slots, and logging of detected speech. If a maliciously designed skill is installed, an attacker could obtain transcripts of speech not intended for Alexa to process, but simply spoken within the device's hearing range. NOTE: The vendor states ""Customer trust is important to us and we take security and privacy seriously. We have put mitigations in place for detecting this type of skill behavior and reject or suppress those skills when we do. Customers do not need to take any action for these mitigations to work.",3.3,3.0,CWE-384,cpe:2.3:o:amazon:echo_show_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo_show:-:*:*:*:*:*:*:*|cpe:2.3:o:amazon:echo_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:amazon:echo_dot_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo_dot:-:*:*:*:*:*:*:*|cpe:2.3:o:amazon:echo_spot_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo_spot:-:*:*:*:*:*:*:*|cpe:2.3:o:amazon:echo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2018-12716,2018-06-25,"The API service on Google Home and Chromecast devices before mid-July 2018 does not prevent DNS rebinding attacks from reading the scan_results JSON data, which allows remote attackers to determine the physical location of most web browsers by leveraging the presence of one of these devices on its local network, extracting the scan_results bssid fields, and sending these fields in a geolocation/v1/geolocate Google Maps Geolocation API request.",4.3,3.0,CWE-200,cpe:2.3:o:google:chromecast_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast:-:*:*:*:*:*:*:*|cpe:2.3:o:google:home_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:google:home:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2019-15027,2019-08-14,"The MediaTek Embedded Multimedia Card (eMMC) subsystem for Android on MT65xx, MT66xx, and MT8163 SoC devices allows attackers to execute arbitrary commands as root via shell metacharacters in a filename under /data, because clear_emmc_nomedia_entry in platform/mt6577/external/meta/emmc/meta_clr_emmc.c invokes 'system(""/system/bin/rm -r /data/' followed by this filename upon an eMMC clearance from a Meta Mode boot. NOTE: compromise of Fire OS on the Amazon Echo Dot would require a second hypothetical vulnerability that allows creation of the required file under /data.",9.8,3.0,CWE-78,cpe:2.3:o:mediatek:mt8163_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt8163:-:*:*:*:*:android:*:*|cpe:2.3:o:mediatek:mt6625_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt6625:-:*:*:*:*:android:*:*|cpe:2.3:o:mediatek:mt6577_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt6577:-:*:*:*:*:android:*:*,No,Low,"This is a MediaTek eMMC/SoC vulnerability; the Amazon Echo Dot is only mentioned hypothetically (exploitation would require an additional vulnerability), so the CVE is against the chipset, not a smart speaker.",Yes,High,,Yes,High,,complete,Yes,judgments not unanimous
vendor_only,CVE-2020-9285,2022-10-20,Some versions of Sonos One (1st and 2nd generation) allow partial or full memory access via attacker controlled hardware that can be attached to the Mini-PCI Express slot on the motherboard that hosts the WiFi card on the device.,6.8,3.1,CWE-1191,cpe:2.3:o:sonos:one_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:sonos:one:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2023-33248,2023-05-24,"Amazon Alexa software version 8960323972 on Echo Dot 2nd generation and 3rd generation devices potentially allows attackers to deliver security-relevant commands via an audio signal between 16 and 22 kHz (often outside the range of human adult hearing). Commands at these frequencies are essentially never spoken by authorized actors, but a substantial fraction of the commands are successful.",7.6,3.1,,cpe:2.3:o:amazon:alexa:8960323972:*:*:*:*:*:*:*|cpe:2.3:h:amazon:echo_dot:-:*:2nd_gen:*:*:*:*:*|cpe:2.3:h:amazon:echo_dot:-:*:3rd_gen:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2025-1048,2025-04-23,"Sonos Era 300 Speaker libsmb2 Use-After-Free Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Sonos Era 300 speakers. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the processing of SMB data. The issue results from the lack of validating the existence of an object prior to performing operations on the object. An attacker can leverage this vulnerability to execute code in the context of the anacapa user. Was ZDI-CAN-25535.",8.8,3.0,CWE-416,cpe:2.3:a:sonos:s1:*:*:*:*:*:*:*:*|cpe:2.3:a:sonos:s2:*:*:*:*:*:*:*:*|cpe:2.3:h:sonos:era_300:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2025-1049,2025-04-23,"Sonos Era 300 Heap-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected Sonos Era 300 speakers. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the processing of ID3 data. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a heap-based buffer. An attacker can leverage this vulnerability to execute code in the context of the anacapa user. Was ZDI-CAN-25601.",8.8,3.0,CWE-122,cpe:2.3:a:sonos:s1:*:*:*:*:*:*:*:*|cpe:2.3:a:sonos:s2:*:*:*:*:*:*:*:*|cpe:2.3:h:sonos:era_300:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2025-1050,2025-04-23,"Sonos Era 300 Out-of-Bounds Write Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected Sonos Era 300 speakers. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the processing of HLS playlist data. The issue results from the lack of proper validation of user-supplied data, which can result in a write past the end of an allocated data structure. An attacker can leverage this vulnerability to execute code in the context of the anacapa user. Was ZDI-CAN-25606.",8.8,3.0,CWE-787,cpe:2.3:a:sonos:s2:*:*:*:*:*:*:*:*|cpe:2.3:h:sonos:era_300:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,
vendor_only,CVE-2017-17749,2018-03-24,"Bose SoundTouch devices allow XSS via crafted song data from a music service, as demonstrated by Pandora.",5.4,3.0,CWE-79,cpe:2.3:a:bose:soundtouch:-:*:*:*:*:android:*:*|cpe:2.3:a:bose:soundtouch:-:*:*:*:*:iphone_os:*:*,Yes,Low,"Bose SoundTouch is a home Wi-Fi/multiroom speaker that fits the smart-speaker category, but these models are media-streaming speakers without voice-assistant/home-control features, so the entertainment-vs-smart-speaker boundary is borderline.",Yes,High,,Yes,High,,complete,No,
