Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2004-2100,"GeoHttpServer, when configured to authenticate users, allows remote attackers to bypass authentication and access unauthorized files via a URL that contains %0a%0a (encoded newlines).",cpe:2.3:a:geovision:geohttpserver:*:*:*:*:*:*:*:*,vendor_only,2004-12-31,5.0,2.0,,No,High,"GeoHttpServer is GeoVision's surveillance web-server software; GeoVision is a commercial/professional surveillance vendor and the flaw is in server software, not a consumer home camera.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/Low,judgments not unanimous,CVE-2004-2101,"The sysinfo script in GeoHttpServer allows remote attackers to cause a denial of service (crash) via a long pwd parameter, possibly triggering a buffer overflow.",cpe:2.3:a:geovision:geohttpserver:*:*:*:*:*:*:*:*,vendor_only,2004-12-31,5.0,2.0,,No,High,"GeoHttpServer is GeoVision's commercial surveillance web-server software, not a consumer home camera device.",No,High,,Yes,Low,"GeoVision is a well-known manufacturer of security cameras and NVRs. GeoHttpServer is the web server used for managing these devices. While the description is generic, the product is associated with home and small business security cameras.",No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2005-1552,"GeoVision Digital Video Surveillance System 6.04, 6.1 and 7.0, when set to create JPEG images, does not properly protect an image even when a password and username is assigned, which may allow remote attackers to gain sensitive information via a direct request to the image.",cpe:2.3:h:geovision:digital_surveillance_system:6.0.4:*:*:*:*:*:*:*|cpe:2.3:h:geovision:digital_surveillance_system:6.1:*:*:*:*:*:*:*|cpe:2.3:h:geovision:digital_surveillance_system:7.0:*:*:*:*:*:*:*,vendor_only,2005-05-14,5.0,2.0,,No,High,"GeoVision Digital Video Surveillance System is professional/commercial DVR surveillance software, not a consumer home camera.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2005-1553,"GeoVision Digital Video Surveillance System 6.04, 6.1 and 7.0 uses a weak encryption scheme to encrypt passwords, which allows remote attackers to obtain the password via sniffing.",cpe:2.3:h:geovision:digital_surveillance_system:6.0.4:*:*:*:*:*:*:*|cpe:2.3:h:geovision:digital_surveillance_system:6.1:*:*:*:*:*:*:*|cpe:2.3:h:geovision:digital_surveillance_system:7.0:*:*:*:*:*:*:*,vendor_only,2005-05-14,7.5,2.0,,No,High,"GeoVision Digital Video Surveillance System is professional/commercial DVR surveillance software, not a consumer home camera.",No,High,,Yes,High,,No,
C:Maybe/Low  X:Yes/High  G:No/Low,judgments not unanimous,CVE-2007-6638,"March Networks DVR 3204 stores sensitive information under the web root with insufficient access control, which allows remote attackers to obtain usernames, passwords, device names, and IP addresses via a direct request for scripts/logfiles.tar.gz.",cpe:2.3:h:march_networks:3204_dvr:*:*:*:*:*:*:*:*,vendor_only,2008-01-04,10.0,2.0,CWE-264,Maybe,Low,Unrecognized vendor but the description references a camera/surveillance device; home vs commercial deployment is unclear.,Yes,High,,No,Low,"March Networks is primarily an enterprise-grade surveillance and security company. While a DVR could be used in a home, this specific hardware is typically deployed in commercial or industrial settings.",No,vendor makes stuff exclusively for professional deployments
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2007-3167,Stack-based buffer overflow in the Vivotek Motion Jpeg ActiveX control (aka MjpegControl) in MjpegDecoder.dll 2.0.0.13 allows remote attackers to execute arbitrary code via a long PtzUrl property value.,cpe:2.3:a:vivotek:mjpegcontrol:2.0.0.13:*:*:*:*:*:*:*,vendor_only,2007-06-11,7.6,2.0,,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2007-2239,"Stack-based buffer overflow in the SaveBMP method in the AXIS Camera Control (aka CamImage) ActiveX control before 2.40.0.0 in AxisCamControl.ocx in AXIS 2100, 2110, 2120, 2130 PTZ, 2420, 2420-IR, 2400, 2400+, 2401, 2401+, 2411, and Panorama PTZ allows remote attackers to cause a denial of service (Internet Explorer crash) or execute arbitrary code via a long argument.",cpe:2.3:h:axis:2100_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2110_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2120_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2130_ptz_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2400_video_server:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2401_video_server:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2411_video_server:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2420-ir_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:2420_network_camera:*:*:*:*:*:*:*:*|cpe:2.3:h:axis:panorama_ptz_camera:*:*:*:*:*:*:*:*,vendor_only,2007-05-07,9.3,2.0,,No,High,The flaw is in the AXIS Camera Control ActiveX (a client-side Internet Explorer browser control); AXIS network cameras are professional/commercial surveillance gear.,Yes,High,,Yes,High,,No,
C:No/High  X:Yes/High  G:No/High,judgments not unanimous,CVE-2008-5260,Heap-based buffer overflow in the CamImage.CamImage.1 ActiveX control in AxisCamControl.ocx in AXIS Camera Control 2.40.0.0 allows remote attackers to execute arbitrary code via a long image_pan_tilt property value.,cpe:2.3:a:axis:axis_camera_control:2.40.0.0:*:*:*:*:*:*:*,vendor_only,2009-01-26,9.3,2.0,CWE-119,No,High,"The flaw is in the AXIS CamImage ActiveX control, a client-side browser component for professional AXIS cameras, not a consumer home device.",Yes,High,,No,High,,No,
C:Maybe/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2008-4771,"Stack-based buffer overflow in VATDecoder.VatCtrl.1 ActiveX control in (1) 4xem VatCtrl Class (VATDecoder.dll 1.0.0.27 and 1.0.0.51), (2) D-Link MPEG4 SHM Audio Control (VAPGDecoder.dll 1.7.0.5), (3) Vivotek RTSP MPEG4 SP Control (RtspVapgDecoderNew.dll 2.0.0.39), and possibly other products, allows remote attackers to execute arbitrary code via a long Url property.  NOTE: some of these details are obtained from third party information.",cpe:2.3:a:4xem:vatctrl_class:1.0.0.27:*:*:*:*:*:*:*|cpe:2.3:a:4xem:vatctrl_class:1.0.0.51:*:*:*:*:*:*:*|cpe:2.3:a:d-link:mpeg4_shm_audio_control:1.7.0.5:*:*:*:*:*:*:*|cpe:2.3:a:vivotek:rtsp_mpeg4_sp_control:2.0.0.39:*:*:*:*:*:*:*,vendor_only,2008-10-28,9.3,2.0,CWE-119,Maybe,Low,Vendor produces both consumer and commercial/NVR-DVR camera lines; cannot tell from CPE/description whether this model is one a typical home user would deploy.,Yes,High,,Yes,High,,Yes,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2009-5154,An issue was discovered on MOBOTIX S14 MX-V4.2.1.61 devices. There is a default password of meinsm for the admin account.,cpe:2.3:o:mobotix:s14_firmware:mx-v4.2.1.61:*:*:*:*:*:*:*|cpe:2.3:h:mobotix:s14:-:*:*:*:*:*:*:*,vendor_only,2019-02-09,9.8,3.0,CWE-798,No,High,"MOBOTIX S14 is a professional/commercial surveillance camera, not a consumer home device.",No,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2009-5087,Directory traversal vulnerability in geohttpserver in Geovision Digital Video Surveillance System 8.2 allows remote attackers to read arbitrary files via a .. (dot dot) in a GET request.,cpe:2.3:h:geovision:digital_surveillance_system:8.2:*:*:*:*:*:*:*,vendor_only,2011-09-12,5.0,2.0,CWE-22,No,High,"GeoVision geohttpserver is commercial surveillance server software, not a consumer home camera.",No,High,,Yes,High,,No,
C:No/High  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2009-1092,Use-after-free vulnerability in the LIVEAUDIO.LiveAudioCtrl.1 ActiveX control in LIVEAU~1.OCX 7.0 for GeoVision DVR systems allows remote attackers to execute arbitrary code by calling the GetAudioPlayingTime method with certain arguments.,cpe:2.3:a:geovision:liveaudio_activex_control:7.0:*:*:*:*:*:*:*,vendor_only,2009-03-25,9.3,2.0,CWE-399,No,High,The flaw is in a GeoVision LiveAudio ActiveX control for DVR systems — a client-side browser component tied to commercial DVR/surveillance.,Yes,High,,Yes,High,,No,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2009-0865,"Directory traversal vulnerability in the SnapShotToFile method in the GeoVision LiveX (aka LiveX_v8200) ActiveX control 8.1.2 and 8.2.0 in LIVEX_~1.OCX allows remote attackers to create or overwrite arbitrary files via a .. (dot dot) in the argument, possibly involving the PlayX and SnapShotX methods.",cpe:2.3:a:geovision:livex_activex_control:8.1.2.0:*:*:*:*:*:*:*|cpe:2.3:a:geovision:livex_activex_control:8.2.0.0:*:*:*:*:*:*:*,vendor_only,2009-03-10,8.8,2.0,CWE-22,No,High,"The flaw is in the GeoVision LiveX ActiveX control, a client-side browser component for commercial DVR/surveillance systems.",No,High,,Yes,High,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2009-0640,"Directory traversal vulnerability in the administrative web server in Swann DVR4-SecuraNet allows remote attackers to read arbitrary files via a .. (dot dot) in the URI, as demonstrated by reading the vy_netman.cfg file that contains passwords.",cpe:2.3:h:swannsecurity:dvr4-securanet:-:*:*:*:*:*:*:*,vendor_only,2009-02-20,5.0,2.0,CWE-22,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Maybe,HUB vs CAMERA DISTINCTION!!! MAKE A NOTE OF THIS
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2009-0644,"The HTTP interface in Swann DVR4-SecuraNet has a certain default administrative username and password, which makes it easier for remote attackers to obtain privileged access.",cpe:2.3:h:swannsecurity:dvr4-securanet:-:*:*:*:*:*:*:*,vendor_only,2009-02-18,5.0,2.0,CWE-255,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Maybe,HUB vs CAMERA DISTINCTION!!! MAKE A NOTE OF THIS
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-6236,IZON IP 2.0.2: hard-coded password vulnerability,cpe:2.3:o:izoncam:izon_ip_firmware:2.0.2:*:*:*:*:*:*:*|cpe:2.3:h:izoncam:izon_ip:-:*:*:*:*:*:*:*,vendor_only,2020-02-12,9.8,3.1,CWE-798,No,Low,Unrecognized vendor and no camera signal in the description; likely a brand-keyword collision rather than a home camera.,No,High,,Yes,High,,Yes,
C:No/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2013-3691,AirLive POE-2600HD allows remote attackers to cause a denial of service (device reset) via a long URL.,cpe:2.3:o:ovislink:airlive_poe2600hd_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ovislink:airlive_poe2600hd:-:*:*:*:*:*:*:*,vendor_only,2019-12-11,7.5,3.1,CWE-400,No,High,"AirLive POE-2600HD (OvisLink) is a professional PoE network surveillance camera, not a consumer home product.",No,High,,Yes,High,,No,
