# Vendor/brand search terms (Stage 2 — build_vendor_search.py).
# ---------------------------------------------------------------------------
# Format: one "slug,term" per line (same parser as keyword_terms.csv). Terms are
# RAW brand strings, NOT quoted. '#'-comment and blank lines are ignored.
# Scope: BRANDS/manufacturers (qualified to suppress false positives), not
# generic device phrases (those live in keyword_terms.csv).
#
# PROVENANCE / REPRODUCIBILITY:
#   * The 15 ORIGINAL categories below were recovered from the exact --keywords
#     strings in "Devices List.docx" (Jason's brand strings; "Omitted:" terms
#     excluded). Verified 2026-06-28: rebuilding each through build_vendor_search.py
#     (whole_word=True) against data/nvd-snapshot/nvd_all.csv reproduces the
#     committed results_all_<cat>.xlsx CVE sets EXACTLY for all 14 in-scope
#     categories. (gameconsoles is out of scope — its xlsx was regenerated here
#     so it, too, derives reproducibly from these terms.)
#   * The 10 NEW categories (airpurifier … shades) are Claude-drafted brand lists
#     (companion doc: PROPOSED_brand_lists.md).
# ---------------------------------------------------------------------------
slug,term

# ===== ORIGINAL 15 categories (recovered from Devices List.docx) =====

# ── thermostat ──
thermostat,smart thermostat
thermostat,thermostat
thermostat,ecobee
thermostat,nest thermostat
thermostat,honeywell home
thermostat,honeywell T6
thermostat,honeywell T9
thermostat,resideo
thermostat,emerson sensi
thermostat,sensi thermostat
thermostat,lux thermostat
thermostat,mysa thermostat
thermostat,radio thermostat
thermostat,CT50
thermostat,CT80
thermostat,2gig thermostat
thermostat,vine thermostat
thermostat,proliphix
thermostat,venstar
thermostat,totalconnect comfort
thermostat,bryant evolution
thermostat,carrier infinity
thermostat,trane comfortlink
thermostat,lennox icomfort
thermostat,johnson controls thermostats
thermostat,siemens thermostat
thermostat,schneider wiser
thermostat,delta controls thermostat
thermostat,Sensi
thermostat,Smart thermostat
thermostat,Google nest
thermostat,Alarm.com
thermostat,Bosch thermostat
thermostat,shelly
thermostat,Braeburn thermostat
thermostat,Ion thermostat
thermostat,Verdant thermostat
thermostat,Megalight
thermostat,Sigler
thermostat,Verdant
thermostat,GE thermostat
thermostat,Aprilaire
thermostat,American Standard
thermostat,BlueLink
thermostat,Mysa
thermostat,PRO1
thermostat,Vive
thermostat,Vivint
thermostat,Zen thermostat
thermostat,Tekmar
thermostat,Trane

# ── airconditioner ──
airconditioner,midea
airconditioner,sensibo
airconditioner,tado
airconditioner,cielo breez
airconditioner,ambi climate
airconditioner,haier air
airconditioner,daikin
airconditioner,mitsubishi electric msz
airconditioner,lg thinq
airconditioner,samsung wind
airconditioner,carrier cor
airconditioner,carrier infinity
airconditioner,trane comfortlink
airconditioner,lennox icomfort
airconditioner,bryant evolution
airconditioner,rheem econet
airconditioner,york affinity
airconditioner,intesis
airconditioner,broadlink
airconditioner,smartlife
airconditioner,MSmartHome
airconditioner,Pioneer minisplit
airconditioner,klimaire
airconditioner,chigo
airconditioner,aux air
airconditioner,tcl air
airconditioner,hisense air
airconditioner,sharp air
airconditioner,panasonic air
airconditioner,toshiba air
airconditioner,hitachi air
airconditioner,electrolux air
airconditioner,whirlpool air
airconditioner,bosch climate
airconditioner,vaillant
airconditioner,daikin wifi
airconditioner,mitsubishi kumo
airconditioner,fujitsu airstage
airconditioner,totalconnect
airconditioner,friedrich
airconditioner,rovsun
airconditioner,dreo
airconditioner,danby
airconditioner,edendirect
airconditioner,air conditioner

# ── fans ──
fans,smart fan
fans,wac lighting
fans,minka aire
fans,casa vieja
fans,haiku fan
fans,hunter fan
fans,fanimation
fans,westinghouse fan
fans,emerson fan
fans,hampton bay fan
fans,craftmade fan
fans,kichler fan
fans,monte carlo fan
fans,progress lighting fan
fans,savoy house fan
fans,prominence home
fans,pepeo fan
fans,dreo fan
fans,pelonis fan
fans,honeywell fan
fans,vornado
fans,lasko fan
fans,dyson fan
fans,dyson pure
fans,dyson hot
fans,dyson cool
fans,smartmi fan
fans,xiaomi fan
fans,mi smart fan
fans,levoit fan
fans,govee fan
fans,breezer tower
fans,connect:air
fans,airmate fan
fans,boneco fan
fans,stadler form
fans,rowenta fan
fans,dimplex fan
fans,woozoo fan
fans,iris fan
fans,keystone fan
fans,arctic air
fans,evapolar
fans,torras fan
fans,dreo pilot
fans,tuya fan
fans,smartlife fan
fans,broadlink fan
fans,matter fan
fans,homekit fan
fans,google home fan

# ── smartplugs ──
smartplugs,tp-link kasa
smartplugs,tp-link tapo
smartplugs,kasa smart
smartplugs,wemo
smartplugs,belkin wemo
smartplugs,wyze plug
smartplugs,amazon smart plug
smartplugs,amazon basics plug
smartplugs,gosund
smartplugs,treatlife
smartplugs,meross
smartplugs,sonoff
smartplugs,itead
smartplugs,teckin
smartplugs,avatar controls
smartplugs,etekcity
smartplugs,oittm
smartplugs,refoss
smartplugs,mysa plug
smartplugs,leviton decora
smartplugs,leviton smart
smartplugs,lutron caseta
smartplugs,lutron plug
smartplugs,ge cync
smartplugs,honeywell plug
smartplugs,eufy smart plug
smartplugs,tplink
smartplugs,koogeek
smartplugs,elgato eve energy
smartplugs,eve energy
smartplugs,aqara plug
smartplugs,zemismart
smartplugs,aubess
smartplugs,loratap
smartplugs,neo coolcam
smartplugs,fibaro wall plug
smartplugs,shelly plug
smartplugs,shelly1
smartplugs,athom plug
smartplugs,nous smart
smartplugs,blitzwolf
smartplugs,bseed
smartplugs,milfra
smartplugs,orvibo
smartplugs,smartthings plug
smartplugs,wink plug
smartplugs,insteon plug
smartplugs,zwave plug
smartplugs,zigbee plug
smartplugs,tuya plug
smartplugs,smartlife plug
smartplugs,homekit plug
smartplugs,matter plug
smartplugs,energy monitoring plug
smartplugs,smart outlet
smartplugs,smart socket
smartplugs,wifi plug
smartplugs,wifi socket
smartplugs,connected plug
smartplugs,kankunit
smartplugs,getnexx
smartplugs,equeshome
smartplugs,quboworld

# ── doorlock ──
doorlock,august lock
doorlock,august smart lock
doorlock,august home
doorlock,schlage encode
doorlock,schlage connect
doorlock,yale assure
doorlock,yale nextouch
doorlock,yale lock
doorlock,kwikset halo
doorlock,kwikset kevo
doorlock,kwikset smartcode
doorlock,ultraloq
doorlock,eufy lock
doorlock,eufy smartlock
doorlock,lockly
doorlock,igloohome
doorlock,igloo lock
doorlock,nuki lock
doorlock,nuki smart
doorlock,welock
doorlock,turbolock
doorlock,wyze lock
doorlock,level lock
doorlock,sesame lock
doorlock,candy house
doorlock,danalock
doorlock,poly control
doorlock,masterlock
doorlock,master lock bluetooth
doorlock,salto ks
doorlock,assa abloy
doorlock,allegion
doorlock,brinks smart lock
doorlock,defiant smart lock
doorlock,hampton smart lock
doorlock,teeho lock
doorlock,veise lock
doorlock,tacklife lock
doorlock,hornbill lock
doorlock,tyale lock
doorlock,adel lock
doorlock,kaadas
doorlock,zwave lock
doorlock,zigbee lock
doorlock,tuya lock
doorlock,smartlife lock
doorlock,homekit lock
doorlock,matter lock
doorlock,bluetooth lock
doorlock,wifi deadbolt
doorlock,smart deadbolt
doorlock,smart door lock
doorlock,keypad lock
doorlock,tinxy
doorlock,gluehome
doorlock,wafucn
doorlock,sguda
doorlock,geniecompany
# mined 2026-07 (cpe_product_scan product_candidates):
doorlock,fingerprint bluetooth padlock

# ── doorbell ──
doorbell,ring doorbell
doorbell,ring video doorbell
doorbell,nest doorbell
doorbell,nest hello
doorbell,arlo doorbell
doorbell,eufy doorbell
doorbell,eufy video doorbell
doorbell,wyze doorbell
doorbell,blink doorbell
doorbell,lorex doorbell
doorbell,amcrest doorbell
doorbell,reolink doorbell
doorbell,laview doorbell
doorbell,toucan doorbell
doorbell,skybell
doorbell,skybell hd
doorbell,doorbird
doorbell,doorbird d2
doorbell,aiphone
doorbell,comelit
doorbell,2n doorbell
doorbell,2n ip verso
doorbell,2n helios
doorbell,hikvision doorbell
doorbell,dahua doorbell
doorbell,ezviz doorbell
