Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2001-0037,2001-02-16,Directory traversal vulnerability in HomeSeer before 1.4.29 allows remote attackers to read arbitrary files via a URL containing .. (dot dot) specifiers.,5.0,2.0,,cpe:2.3:a:keware_technologies:homeseer:1.4:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-7240,2017-03-24,"An issue was discovered on Miele Professional PST10 devices. The corresponding embedded webserver ""PST10 WebServer"" typically listens to port 80 and is prone to a directory traversal attack; therefore, an unauthenticated attacker may be able to exploit this issue to access sensitive information to aide in subsequent attacks. A Proof of Concept is GET /../../../../../../../../../../../../etc/shadow HTTP/1.1. This affects PG8527 devices 2.02 before 2.12, PG8527 devices 2.51 before 2.61, PG8527 devices 2.52 before 2.62, PG8527 devices 2.54 before 2.64, PG8528 devices 2.02 before 2.12, PG8528 devices 2.51 before 2.61, PG8528 devices 2.52 before 2.62, PG8528 devices 2.54 before 2.64, PG8535 devices 1.00 before 1.10, PG8535 devices 1.04 before 1.14, PG8536 devices 1.10 before 1.20, and PG8536 devices 1.14 before 1.24.",7.5,3.0,CWE-22,cpe:2.3:o:miele_professional:pst10_webserver:-:*:*:*:*:*:*:*|cpe:2.3:h:miele_professional:pg_8528:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2017-14797,2017-10-01,"Lack of Transport Encryption in the public API in Philips Hue Bridge BSB002 SW 1707040932 allows remote attackers to read API keys (and consequently bypass the pushlink protection mechanism, and obtain complete control of the connected accessories) by leveraging the ability to sniff HTTP traffic on the local intranet network.",7.5,3.0,CWE-326,cpe:2.3:o:philips:hue_bridge_bsb002_firmware:1707040932:*:*:*:*:*:*:*|cpe:2.3:h:philips:hue_bridge_bsb002:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2017-5251,2018-02-22,"In version 1012 and prior of Insteon's Insteon Hub, the radio transmissions used for communication between the hub and connected devices are not encrypted.",8.1,3.0,CWE-294|CWE-311,cpe:2.3:o:insteon:insteon_hub_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:insteon:insteon_hub:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2018-3893,2018-08-27,"An exploitable buffer overflow vulnerability exists in the /cameras/XXXX/clips handler of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability.",8.8,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3904,2018-08-27,"An exploitable buffer overflow vulnerability exists in the camera 'update' feature of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. An attacker can send an HTTP request to trigger this vulnerability.",9.9,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3918,2018-08-27,"An exploitable vulnerability exists in the remote servers of Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The hubCore process listens on port 39500 and relays any unauthenticated messages to SmartThings' remote servers, which incorrectly handle camera IDs for the 'sync' operation, leading to arbitrary deletion of cameras. An attacker can send an HTTP request to trigger this vulnerability.",7.5,3.1,CWE-707,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3927,2018-08-27,"An exploitable information disclosure vulnerability exists in the crash handler of the hubCore binary of the Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. When hubCore crashes, Google Breakpad is used to record minidumps, which are sent over an insecure HTTPS connection to the backtrace.io service, leading to the exposure of sensitive data. An attacker can impersonate the remote backtrace.io server in order to trigger this vulnerability.",5.9,3.0,CWE-295,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3926,2018-08-28,"An exploitable integer underflow vulnerability exists in the ZigBee firmware update routine of the hubCore binary of the Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The hubCore process incorrectly handles malformed files existing in its data directory, leading to an infinite loop, which eventually causes the process to crash. An attacker can send an HTTP request to trigger this vulnerability.",5.5,3.1,CWE-191,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3895,2018-08-28,"An exploitable buffer overflow vulnerability exists in the /cameras/XXXX/clips handler of video-core's HTTP server of Samsung SmartThings Hub STH-ETH-250 Firmware version 0.20.17. The strncpy call overflows the destination buffer, which has a size of 52 bytes. An attacker can send an arbitrarily long 'endTime' value in order to exploit this vulnerability. An attacker can send an HTTP request to trigger this vulnerability.",8.8,3.1,CWE-120,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3908,2018-08-28,"An exploitable vulnerability exists in the REST parser of video-core's HTTP server of the Samsung SmartThings Hub STH-ETH-250-Firmware version 0.20.17. The video-core process incorrectly handles pipelined HTTP requests, which allows successive requests to overwrite the previously parsed HTTP method, URL and body. With the implementation of the on_body callback, defined by sub_41734, an attacker can send an HTTP request to trigger this vulnerability.",7.5,3.1,CWE-444,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3916,2018-08-28,"An exploitable stack-based buffer overflow vulnerability exists in the retrieval of database fields in the video-core HTTP server of the Samsung SmartThings Hub STH-ETH-250 - Firmware version 0.20.17. The strcpy call overflows the destination buffer, which has a size of 136 bytes. An attacker can send an arbitrarily long 'directory' value in order to exploit this vulnerability. An attacker can send an HTTP request to trigger this vulnerability.",7.8,3.1,CWE-787,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2018-3896,2018-09-10,"An exploitable buffer overflow vulnerabilities exist in the /cameras/XXXX/clips handler of video-core's HTTP server of Samsung SmartThings Hub with Firmware version 0.20.17. The video-core process incorrectly extracts fields from a user-controlled JSON payload, leading to a buffer overflow on the stack. The strncpy call overflows the destination buffer, which has a size of 52 bytes. An attacker can send an arbitrarily long ""correlationId"" value in order to exploit this vulnerability.",8.8,3.1,CWE-120,cpe:2.3:o:samsung:sth-eth-250_firmware:0.20.17:*:*:*:*:*:*:*|cpe:2.3:h:samsung:sth-eth-250:-:*:*:*:*:*:*:*,Yes,High,
