AI Verdict (unanimous),Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Human Verdict,Human Notes,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning
No,vendor_only,CVE-2003-1554,2003-12-31,"Cross-site scripting (XSS) vulnerability in scozbook/add.php in ScozNet ScozBook 1.1 BETA allows remote attackers to inject arbitrary web script or HTML via the (1) username, (2) useremail, (3) aim, (4) msn, (5) sitename and (6) siteaddy variables.",4.3,2.0,CWE-79,cpe:2.3:a:scoznet:scozbook:1.1_beta:*:*:*:*:*:*:*,No,High,CPE identifies ScozNet ScozBook 1.1 BETA — a PHP guestbook web script. XSS in a guestbook application is unrelated to smart plugs.,No,,No,High,,No,High,
No,vendor_only,CVE-2008-7188,2009-09-09,"ClipShare 2.6 does not properly restrict access to certain functionality, which allows remote attackers to change the profile of arbitrary users via a modified uid variable to siteadmin/useredit.php. NOTE: this can be used to recover the password of the user by using the modified e-mail address in the email parameter to recoverpass.php.",7.5,2.0,CWE-264,cpe:2.3:a:clip-share:clipshare:2.6:*:*:*:*:*:*:*,No,High,CPE identifies ClipShare 2.6 — a video sharing web application. Not a smart plug.,No,,No,High,,No,High,
No,vendor_only,CVE-2021-21953,2021-12-22,An authentication bypass vulnerability exists in the process_msg() function of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h. A specially-crafted man-in-the-middle attack can lead to increased privileges.,8.1,3.1,CWE-300,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.6.9h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,"CPE identifies Anker Eufy Homebase 2 — a security camera hub/gateway, not a smart plug. Eufy's Homebase 2 is a dedicated security hub product distinct from smart plugs.",No,,No,High,,No,High,
No,vendor_only,CVE-2008-0687,2008-02-12,Cross-site scripting (XSS) vulnerability in siteadmin/editor_files/includes/load_message.php in the Youtube Clone Script allows remote attackers to inject arbitrary web script or HTML via the lang[please_wait] parameter.,7.5,2.0,CWE-94,cpe:2.3:a:youtube:clone_script:*:*:*:*:*:*:*:*,No,High,CPE identifies YouTube Clone Script — a PHP video sharing web application. Unrelated to smart plugs or home IoT.,No,,No,High,,No,High,
No,vendor_only,CVE-2022-21806,2022-06-17,A use-after-free vulnerability exists in the mips_collector appsrv_server functionality of Anker Eufy Homebase 2 2.1.8.5h. A specially-crafted set of network packets can lead to remote code execution. The device is exposed to attacks from the network.,9.8,3.1,CWE-368|CWE-416,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.8.5h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,"CPE identifies Anker Eufy Homebase 2 — a security hub/gateway for cameras and sensors, not a smart plug.",No,,No,High,,No,High,
No,vendor_only,CVE-2024-27631,2024-04-08,Cross Site Request Forgery vulnerability in GNU Savane v.3.12 and before allows a remote attacker to escalate privileges via siteadmin/usergroup.php,6.0,3.1,CWE-352,cpe:2.3:a:gnu:savane:*:*:*:*:*:*:*:*,No,High,CPE identifies GNU Savane — a web-based project hosting and bug tracking platform. CSRF in project management software is unrelated to smart plugs.,No,,No,High,,No,High,
No,vendor_only,CVE-2026-0652,2026-02-10,"On TP-Link Tapo C260 v1, command injection vulnerability exists due to improper sanitization in certain POST parameters during configuration synchronization. An authenticated attacker can execute arbitrary system commands with high impact on confidentiality, integrity and availability. It may cause full device compromise.",8.8,3.1,CWE-78,cpe:2.3:o:tp-link:tapo_c260_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:tp-link:tapo_c260:1:*:*:*:*:*:*:*,No,High,"CPE identifies TP-Link Tapo C260 — a TP-Link Tapo security camera (C-series is the camera line in the Tapo brand). Not a smart plug, despite Tapo also making plugs.",No,,No,High,,No,High,
Yes,vendor_only,CVE-2018-10544,2018-05-02,Meross MSS110 devices through 1.1.24 contain an unauthenticated admin.htm administrative interface.,9.8,3.0,CWE-287,cpe:2.3:o:meross:mss110_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:meross:mss110:-:*:*:*:*:*:*:*,Yes,High,CPE explicitly names Meross MSS110 — a widely-sold consumer home smart plug. Description confirms an exposed unauthenticated admin interface on a residential smart plug.,Yes,,Yes,High,,Yes,High,
No,vendor_only,CVE-2022-26073,2022-05-05,A denial of service vulnerability exists in the libxm_av.so DemuxCmdInBuffer functionality of Anker Eufy Homebase 2 2.1.8.5h. A specially-crafted set of network packets can lead to a device reboot. An attacker can send packets to trigger this vulnerability.,6.5,3.1,CWE-190,cpe:2.3:o:anker:eufy_homebase_2_firmware:2.1.8.5h:*:*:*:*:*:*:*|cpe:2.3:h:anker:eufy_homebase_2:-:*:*:*:*:*:*:*,No,High,"CPE identifies Anker Eufy Homebase 2 — a security camera hub/gateway, not a smart plug.",No,,No,High,,No,High,
No,vendor_only,CVE-2008-1784,2008-04-15,"Prozilla Topsites 1.0 allows remote attackers to perform administrative actions via a direct request to (1) addu.php, (2) editu.php, and (3) uidx.php in siteadmin/.",7.5,2.0,CWE-264,cpe:2.3:a:prozilla:topsites:1.0:*:*:*:*:*:*:*,No,High,CPE identifies Prozilla Topsites 1.0 — a PHP web ranking/topsites script. Unauthorized admin access in a web script is unrelated to smart plugs.,No,,No,High,,No,High,
