category,cve_id,seed_cpe,claude_judgment,note
alarms,CVE-2022-27804,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-27805,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-29472,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-29475,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-29477,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-29520,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-29889,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-30541,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-30603,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32454,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32574,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32586,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32760,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32773,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-32775,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33189,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33192,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33193,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33194,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33195,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33204,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33205,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33206,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33207,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-33938,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35244,goabode:iota_all-in-one_security_kit|goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35874,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35875,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35876,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35877,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35878,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35879,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35880,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35881,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35884,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35885,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35886,goabode:iota_all-in-one_security_kit_firmware,Yes,
alarms,CVE-2022-35887,goabode:iota_all-in-one_security_kit_firmware,Yes,
babymonitor,CVE-2018-18767,d-link:dcs-825l_firmware|dlink:dcs-825l,Yes,
babymonitor,CVE-2026-1419,dlink:dcs-700l|dlink:dcs-700l_firmware,Yes,
cameras,CVE-2018-12257,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,Yes,
cameras,CVE-2018-12259,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,Yes,
cameras,CVE-2018-12260,apollotechnologiesinc:momentum_axel_720p|apollotechnologiesinc:momentum_axel_720p_firmware,Yes,
