category,n_cves,n_scored,mean,median,std,min,q1,q3,max
doorlock,36,36,7.16,6.95,1.58,2.4,6.5,8.35,9.8
smartspeakers,38,38,7.42,7.2,1.83,3.3,6.32,8.8,9.8
doorbell,45,45,7.29,7.5,1.79,3.5,6.2,8.8,9.8
thermostat,18,18,7.43,7.5,1.81,3.5,6.05,8.68,9.8
babymonitor,18,18,7.71,7.5,1.35,5.3,7.05,8.8,9.8
smartplugs,37,37,7.55,7.5,1.67,4.3,6.5,8.8,10.0
alarms,89,89,8.06,8.8,1.88,2.4,6.5,9.8,10.0
robotvacuum,27,27,6.57,7.4,1.93,2.3,5.45,7.5,9.8
fans,1,1,7.4,7.4,0.0,7.4,7.4,7.4,7.4
fridge,3,3,7.7,7.2,1.9,6.1,6.65,8.5,9.8
sensors,4,4,7.42,7.05,1.23,6.5,6.5,7.98,9.1
airpurifier,2,2,7.95,7.95,2.62,6.1,7.02,8.88,9.8
lighting,34,34,7.58,7.5,1.1,4.6,6.75,8.1,9.8
appliances,3,3,8.13,8.1,1.65,6.5,7.3,8.95,9.8
hub,247,247,8.73,9.8,1.54,2.2,7.95,9.9,10.0
ev-charging,71,71,7.2,7.5,1.81,3.1,6.1,8.8,9.8
home-power,45,45,8.08,7.5,1.69,3.4,6.8,9.8,10.0
garden,19,19,7.73,8.1,2.21,2.3,6.5,9.8,9.8
pet,35,35,7.36,8.1,2.22,2.4,5.7,9.8,9.8
streaming,76,76,7.34,7.8,1.62,2.6,6.1,8.1,10.0
airconditioner,5,5,7.24,6.8,1.49,6.1,6.3,7.2,9.8
cameras,885,885,7.79,7.7,1.55,1.6,6.8,8.8,10.0
