AI Verdict (consensus),Gemini Dissent,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict,Human Notes
No,,vendor_only,CVE-2017-15361,2017-10-16,"The Infineon RSA library 1.02.013 in Infineon Trusted Platform Module (TPM) firmware, such as versions before 0000000000000422 - 4.34, before 000000000000062b - 6.43, and before 0000000000008521 - 133.33, mishandles RSA key generation, which makes it easier for attackers to defeat various cryptographic protection mechanisms via targeted attacks, aka ROCA. Examples of affected technologies include BitLocker with TPM 1.2, YubiKey 4 (before 4.3.5) PGP key generation, and the Cached User Data encryption feature in Chrome OS.",5.9,3.0,,cpe:2.3:o:infineon:trusted_platform_firmware:4.31:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:4.32:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:6.40:*:*:*:*:*:*:*|cpe:2.3:o:infineon:trusted_platform_firmware:133.32:*:*:*:*:*:*:*|cpe:2.3:h:acer:c720_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebase:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebase_24:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c730:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c730e:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c735:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c740:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c771:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_c771t:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_11_n7_c731:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_13_cb5-311:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_14_cb3-431:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_14_for_work_cp5-471:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb3-531:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb3-532:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_15_cb5-571:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_r11:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebook_r13_cb5-312t:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:acer:chromebox_cxi2:-:*:*:*:*:*:*:*|cpe:2.3:h:aopen:chromebase:-:*:commercial:*:*:*:*:*|cpe:2.3:h:aopen:chromebase:-:*:mini:*:*:*:*:*|cpe:2.3:h:aopen:chromebox:-:*:commercial:*:*:*:*:*|cpe:2.3:h:aopen:chromeboxi:-:*:mini:*:*:*:*:*|cpe:2.3:h:asi:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebit_cs10:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c200:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c201pa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c202sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c300:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c300sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_c301sa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_flip_c100pa:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebook_flip_c302:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebox_cn60:-:*:*:*:*:*:*:*|cpe:2.3:h:asus:chromebox_cn62:-:*:*:*:*:*:*:*|cpe:2.3:h:bobicus:chromebook_11:*:*:*:*:*:*:*:*|cpe:2.3:h:ctl:j2_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:j4_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:j5_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:ctl:n6_chromebook:-:*:*:*:*:education:*:*|cpe:2.3:h:ctl:nl61_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_3120:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_3189:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_11_model_3180:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebook_13_3380:-:*:*:*:*:*:*:*|cpe:2.3:h:dell:chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_k:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_m:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:chromebook_r:-:*:*:*:*:*:*:*|cpe:2.3:h:edugear:cmt_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:edxis:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:edxis:education_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:epik:chromebook_elb1101:-:*:*:*:*:*:*:*|cpe:2.3:h:google:pixel:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11_c:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11_g2:-:*:*:*:*:*:*:*|cpe:2.3:h:haier:chromebook_11e:-:*:*:*:*:*:*:*|cpe:2.3:h:hexa:chromebook_pi:-:*:*:*:*:*:*:*|cpe:2.3:h:hisense:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook:-:*:*:*:*:meetings:*:*|cpe:2.3:h:hp:chromebook_11-vxxx:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_1100-1199:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2000-2099:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2100-2199:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_2200-2299:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g2:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g3:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g4\/g4_ee:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g5:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_11_g5_ee:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_13_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_ak000-099:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_g3:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_g4:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebook_14_x000-x999:-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebox_cb1-\(000-099\):-:*:*:*:*:*:*:*|cpe:2.3:h:hp:chromebox_g1:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:100s_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n20_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n21_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n22_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_flex_11_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n23_yoga_11_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:n42_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkcentre_chromebox:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkpad_11e_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lenovo:thinkpad_13_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:lg:chromebase_22cb25s:-:*:*:*:*:*:*:*|cpe:2.3:h:lg:chromebase_22cv241:-:*:*:*:*:*:*:*|cpe:2.3:h:medion:akoya_s2013:-:*:*:*:*:*:*:*|cpe:2.3:h:medion:chromebook_s2015:-:*:*:*:*:*:*:*|cpe:2.3:h:mercer:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:mercer:v2_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:ncomputing:chromebook_cx100:-:*:*:*:*:*:*:*|cpe:2.3:h:nexian:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:pcmerge:chromebook_pcm-116t-432b:-:*:*:*:*:*:*:*|cpe:2.3:h:poin2:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:poin2:chromebook_14:-:*:*:*:*:*:*:*|cpe:2.3:h:positivo:chromebook_ch1190:-:*:*:*:*:*:*:*|cpe:2.3:h:prowise:entry_line_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:prowise:proline_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:rgs:education_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_11:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_11_xe500c12:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_2_13:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_3:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_plus:-:*:*:*:*:*:*:*|cpe:2.3:h:samsung:chromebook_pro:-:*:*:*:*:*:*:*|cpe:2.3:h:sector-five:e1_rugged_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:senkatel:c1101_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook_2:-:*:*:*:*:*:*:*|cpe:2.3:h:toshiba:chromebook_2:-:*:2015:*:*:*:*:*|cpe:2.3:h:true:idc_chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:true:idc_chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:videonet:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:h:videonet:chromebook_bl10:-:*:*:*:*:*:*:*|cpe:2.3:h:viglen:chromebook_11:-:*:*:*:*:*:*:*|cpe:2.3:h:viglen:chromebook_360:-:*:*:*:*:*:*:*|cpe:2.3:h:xolo:chromebook:-:*:*:*:*:*:*:*|cpe:2.3:a:infineon:rsa_library:*:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,,
Yes,,vendor_only,CVE-2024-52325,2025-01-23,ECOVACS robot lawnmowers and vacuums are vulnerable to command injection via SetNetPin() over an unauthenticated BLE connection.,9.6,3.1,CWE-77,cpe:2.3:o:ecovacs:goat_g1-2000_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:goat_g1-2000:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:goat_g1_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:goat_g1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:goat_g1-800_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:goat_g1-800:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:gx-600_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:gx-600:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x2_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x2_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x2_combo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x2_combo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x2s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x2s:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x5_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x5_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x5_pro_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x5_pro_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x5_pro_ultra_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x5_pro_ultra:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-19442,2019-04-25,A Buffer Overflow in Network::AuthenticationClient::VerifySignature in /bin/astro in Neato Botvac Connected 2.2.0 allows a remote attacker to execute arbitrary code with root privileges via a crafted POST request to a vendors/neato/robots/[robot_serial]/messages Neato cloud URI on the nucleo.neatocloud.com web site (port 4443).,9.8,3.0,CWE-119,cpe:2.3:o:neatorobotics:botvac_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_connected:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-17176,2018-09-18,"A replay issue was discovered on Neato Botvac Connected 2.2.0 devices. Manual control mode requires authentication, but once recorded, the authentication (always transmitted in cleartext) can be replayed to /bin/webserver on port 8081. There are no nonces, and timestamps are not checked at all.",7.5,3.0,CWE-294,cpe:2.3:o:neatorobotics:botvac_d4_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d4_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d6_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d6_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d7_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d7_connected:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2024-12078,2025-01-23,"ECOVACS robot lawn mowers and vacuums use a shared, static secret key to encrypt BLE GATT messages. An unauthenticated attacker within BLE range can control any robot using the same key.",6.3,3.1,CWE-321,cpe:2.3:o:ecovacs:deebot_n10_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x2_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x2:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:goat_g1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:goat_g1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_z1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_z1:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_ava_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_ava:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:airbot_andy_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:airbot_andy:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_900_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_900:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_n8_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n8:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t8_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t8:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_n9_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_n9:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t9_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t9:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-20785,2019-02-23,"Secure boot bypass and memory extraction can be achieved on Neato Botvac Connected 2.2.0 devices. During startup, the AM335x secure boot feature decrypts and executes firmware. Secure boot can be bypassed by starting with certain commands to the USB serial port. Although a power cycle occurs, this does not completely reset the chip: memory contents are still in place. Also, it restarts into a boot menu that enables XMODEM upload and execution of an unsigned QNX IFS system image, thereby completing the bypass of secure boot. Moreover, the attacker can craft custom IFS data and write it to unused memory to extract all memory contents that had previously been present. This includes the original firmware and sensitive information such as Wi-Fi credentials.",7.4,3.0,,cpe:2.3:o:neatorobotics:botvac_d4_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d4_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d6_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d6_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d5_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d5_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d7_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d7_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d3_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d3_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d3_pro_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d3_pro_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_connected:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2025-30199,2025-09-05,"ECOVACS vacuum robot base stations do not validate firmware updates, so malicious over-the-air updates can be sent to base station via insecure connection between robot and base station.",7.2,3.1,CWE-494,cpe:2.3:o:ecovacs:deebot_x1s_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1s_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_pro_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_pro_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_x1_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_x1_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t10_turbo_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t10_turbo:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_plus_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro_plus:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t20_pro_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t20_pro:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30_omni_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30_omni:-:*:*:*:*:*:*:*|cpe:2.3:o:ecovacs:deebot_t30s_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:ecovacs:deebot_t30s:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
No,,vendor_only,CVE-2023-47353,2024-02-06,An issue in the com.oneed.dvr.service.DownloadFirmwareService component of IMOU GO v1.0.11 allows attackers to force the download of arbitrary files.,8.8,3.1,CWE-494,cpe:2.3:a:imoulife:imou_go:1.0.11:*:*:*:*:android:*:*,No,High,,No,High,,No,High,,,
Yes,,vendor_only,CVE-2018-17178,2018-09-18,"An issue was discovered on Neato Botvac Connected 2.2.0 devices. They execute unauthenticated manual drive commands (sent to /bin/webserver on port 8081) if they already have an active session. Commands like forward, back, arc-left, arc-right, pivot-left, and pivot-right are executed even though the web socket replies with { ""message"" : ""invalid authorization header"" }. Without an active session, commands are still interpreted, but (except for eco-on and eco-off) have no effect, since without active driving, a driving direction does not change anything.",5.3,3.1,,cpe:2.3:o:neatorobotics:botvac_d4_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d4_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d6_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d6_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d5_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d5_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d7_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d7_connected:-:*:*:*:*:*:*:*|cpe:2.3:o:neatorobotics:botvac_d3_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_d3_connected:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
Yes,,vendor_only,CVE-2018-18638,2018-10-24,A command injection vulnerability in the setup API in the Neato Botvac Connected 2.2.0 allows network attackers to execute arbitrary commands via shell metacharacters in the ntp field within JSON data to the /robot/initialize endpoint.,8.1,3.0,CWE-78,cpe:2.3:o:neatorobotics:botvac_connected_firmware:2.2.0:*:*:*:*:*:*:*|cpe:2.3:h:neatorobotics:botvac_connected:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,,
