Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:No/Low  X:Yes/High  G:Yes/High,judgments not unanimous,CVE-2019-15027,"The MediaTek Embedded Multimedia Card (eMMC) subsystem for Android on MT65xx, MT66xx, and MT8163 SoC devices allows attackers to execute arbitrary commands as root via shell metacharacters in a filename under /data, because clear_emmc_nomedia_entry in platform/mt6577/external/meta/emmc/meta_clr_emmc.c invokes 'system(""/system/bin/rm -r /data/' followed by this filename upon an eMMC clearance from a Meta Mode boot. NOTE: compromise of Fire OS on the Amazon Echo Dot would require a second hypothetical vulnerability that allows creation of the required file under /data.",cpe:2.3:o:mediatek:mt8163_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt8163:-:*:*:*:*:android:*:*|cpe:2.3:o:mediatek:mt6625_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt6625:-:*:*:*:*:android:*:*|cpe:2.3:o:mediatek:mt6577_firmware:-:*:*:*:*:android:*:*|cpe:2.3:h:mediatek:mt6577:-:*:*:*:*:android:*:*,vendor_only,2019-08-14,9.8,3.0,CWE-78,No,Low,"This is a MediaTek eMMC/SoC vulnerability; the Amazon Echo Dot is only mentioned hypothetically (exploitation would require an additional vulnerability), so the CVE is against the chipset, not a smart speaker.",Yes,High,,Yes,High,,No,,No,
C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2018-12638,An issue was discovered in the Bose Soundtouch app 18.1.4 for iOS. There is no frontend input validation of the device name. A malicious device name can execute JavaScript on the registered Bose User Account if a speaker has been connected to the app.,cpe:2.3:a:bose:soundtouch:18.1.4:*:*:*:*:iphone_os:*:*,vendor_only,2019-03-21,6.1,3.0,CWE-79,Yes,Low,"Bose SoundTouch is Bose's own companion app for its SoundTouch speakers; the JS-injection flaw is triggered specifically when a malicious device name is registered by a connected speaker, so it's an attack on the speaker's own account/control channel via its official app, which is in scope.",Yes,High,,No,High,,Yes,,Yes,
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-8994,"An issue was discovered on XIAOMI AI speaker MDZ-25-DT 1.34.36, and 1.40.14. Attackers can get root shell by accessing the UART interface and then they can read Wi-Fi SSID or password, read the dialogue text files between users and XIAOMI AI speaker, use Text-To-Speech tools pretend XIAOMI speakers' voice achieve social engineering attacks, eavesdrop on users and record what XIAOMI AI speaker hears, delete the entire XIAOMI AI speaker system, modify system files, stop voice assistant service, start the XIAOMI AI speaker’s SSH service as a backdoor",cpe:2.3:o:mi:mdz-25-dt_firmware:1.34.36:*:*:*:*:*:*:*|cpe:2.3:o:mi:mdz-25-dt_firmware:1.40.14:*:*:*:*:*:*:*|cpe:2.3:h:mi:mdz-25-dt:-:*:*:*:*:*:*:*,keyword_only,2020-03-05,6.8,3.1,CWE-287,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Consumer smart speaker device — same logic as XiaoAI Speaker.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-10262,"An issue was discovered on XIAOMI XIAOAI speaker Pro LX06 1.58.10. Attackers can activate the failsafe mode during the boot process, and use the mi_console command cascaded by the SN code shown on the product to get the root shell password, and then the attacker can (i) read Wi-Fi SSID or password, (ii) read the dialogue text files between users and XIAOMI XIAOAI speaker Pro LX06, (iii) use Text-To-Speech tools pretend XIAOMI speakers' voice achieve social engineering attacks, (iv) eavesdrop on users and record what XIAOMI XIAOAI speaker Pro LX06 hears, (v) modify system files, (vi) use commands to send any IR code through IR emitter on XIAOMI XIAOAI Speaker Pro (LX06), (vii) stop voice assistant service, (viii) enable the XIAOMI XIAOAI Speaker Pro’s SSH or TELNET service as a backdoor, (IX) tamper with the router configuration of the router in the local area networks.",cpe:2.3:o:mi:xiaomi_xiaoai_speaker_pro_lx06_firmware:1.58.10:*:*:*:*:*:*:*|cpe:2.3:h:mi:xiaomi_xiaoai_speaker_pro_lx06:-:*:*:*:*:*:*:*,keyword_only,2020-04-08,6.8,3.1,,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Xiaomi XiaoAI Speaker Pro is a consumer smart speaker device.
C:Yes/High  X:No/High  G:Yes/High,judgments not unanimous,CVE-2020-10263,"An issue was discovered on XIAOMI XIAOAI speaker Pro LX06 1.52.4. Attackers can get root shell by accessing the UART interface and then they can (i) read Wi-Fi SSID or password, (ii) read the dialogue text files between users and XIAOMI XIAOAI speaker Pro LX06, (iii) use Text-To-Speech tools pretend XIAOMI speakers' voice achieve social engineering attacks, (iv) eavesdrop on users and record what XIAOMI XIAOAI speaker Pro LX06 hears, (v) modify system files, (vi) use commands to send any IR code through IR emitter on XIAOMI XIAOAI Speaker Pro LX06, (vii) stop voice assistant service, (viii) enable the XIAOMI XIAOAI Speaker Pro’ SSH or TELNET service as a backdoor, (IX) tamper with the router configuration of the router in the local area networks.",cpe:2.3:o:mi:xiaomi_xiaoai_speaker_pro_lx06_firmware:1.52.4:*:*:*:*:*:*:*|cpe:2.3:h:mi:xiaomi_xiaoai_speaker_pro_lx06:-:*:*:*:*:*:*:*,keyword_only,2020-04-08,6.8,3.1,CWE-306,Yes,High,,No,High,,Yes,High,,Yes,,Yes,Consumer smart speaker device — same logic as XiaoAI Speaker.
C:Maybe/Low  X:No/High  G:No/High,judgments not unanimous,CVE-2023-6514,"
The Bluetooth module of some Huawei Smart Screen products has an identity authentication bypass vulnerability. Successful exploitation of this vulnerability may allow attackers to access restricted functions. 

Successful exploitation of this vulnerability may allow attackers to access restricted functions.

",cpe:2.3:o:huawei:ajmd-370s_firmware:103.1.0.110\(sp12c00e2r1p2\):*:*:*:*:*:*:*|cpe:2.3:h:huawei:ajmd-370s:-:*:*:*:*:*:*:*,keyword_only,2023-12-06,8.8,3.1,CWE-840|CWE-287,Maybe,Low,"Huawei Smart Screen is a smart TV/display product; it has voice assistant and home IoT integration but is primarily a large-screen television, making its fit in the smart speakers category ambiguous",No,High,,No,High,,No,,No,"Huawei Smart Screen is a TV/display — belongs in streaming (TV/entertainment), not smartspeakers."
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-48417,Missing Permission checks resulting in unauthorized access and Manipulation in KeyChainActivity Application,cpe:2.3:o:google:chromecast_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast:-:*:*:*:*:*:*:*,cpe_expansion,2023-12-11,9.8,3.1,CWE-862,No,Low,"Google Chromecast is a media-streaming device (belongs to the streaming category), not a smart speaker with an assistant/home-control role.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-48424,U-Boot shell vulnerability resulting in Privilege escalation in a production device,cpe:2.3:o:google:chromecast_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast:-:*:*:*:*:*:*:*,cpe_expansion,2023-12-11,9.8,3.1,,No,Low,"Google Chromecast is a media-streaming device (belongs to the streaming category), not a smart speaker with an assistant/home-control role.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-48425,U-Boot vulnerability resulting in persistent Code Execution ,cpe:2.3:o:google:chromecast_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast:-:*:*:*:*:*:*:*,cpe_expansion,2023-12-11,9.8,3.1,CWE-20,No,Low,"Google Chromecast is a media-streaming device (belongs to the streaming category), not a smart speaker with an assistant/home-control role.",No,High,,Yes,High,,No,,No,
C:No/Low  X:No/High  G:Yes/High,judgments not unanimous,CVE-2023-48426,"u-boot bug that allows for u-boot shell and interrupt over UART
",cpe:2.3:o:google:chromecast_firmware:5.0:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_ga00439:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_ga3a00403a14:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_h2g2-42:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_nc2-645b:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_nc2-6a5:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_nc2-6a5-d:-:*:*:*:*:*:*:*|cpe:2.3:h:google:chromecast_rux-j42:-:*:*:*:*:*:*:*,cpe_expansion,2024-04-05,10.0,3.1,CWE-306,No,Low,"Google Chromecast is a media-streaming device (belongs to the streaming category), not a smart speaker with an assistant/home-control role.",No,High,,Yes,High,,No,,No,
