Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Codex Judgment,Codex Confidence,Codex Reasoning
vendor_only,CVE-2002-2212,2002-12-31,"The DNS resolver in unspecified versions of Fujitsu UXP/V, when resolving recursive DNS queries for arbitrary hosts, allows remote attackers to conduct DNS cache poisoning via a birthday attack that uses a large number of open queries for the same resource record (RR) combined with spoofed responses, which increases the possibility of successfully spoofing a response in a way that is more efficient than brute force methods.",5.0,2.0,,cpe:2.3:a:isc:bind:4.9:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.4:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.5:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.5:p1:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.6:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.7:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.8:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.9:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:4.9.10:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.1:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p1:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p2:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p3:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p4:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p5:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p6:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.2:p7:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.4:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.5:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.6:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.2.7:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.0:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.1:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.2:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.3:*:*:*:*:*:*:*|cpe:2.3:a:isc:bind:8.3.4:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:uxp_v:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-1999-0672,1999-08-01,Buffer overflow in Fujitsu Chocoa IRC client via IRC channel topics.,5.1,2.0,,cpe:2.3:a:fujitsu:chocoa:1.0beta7r:*:*:*:*:*:*:*,,,
vendor_only,CVE-2003-1528,2003-12-31,nsr_shutdown in Fujitsu Siemens NetWorker 6.0 allows local users to overwrite arbitrary files via a symlink attack on the nsrsh[PID] temporary file.,7.2,2.0,CWE-59,cpe:2.3:a:fujitsu:siemens_networker:6.0:*:*:*:*:*:*:*,,,
vendor_only,CVE-2005-4458,2005-12-21,"Group.pm in Metadot Portal Server 6.4.4 and earlier does not properly reset the $IS_OWNER, $IS_ADMIN, and $IS_MANAGER global variables when performing checks for special privileges, which allows users to gain administrator privileges by adding themselves to the SITE_MGR group.",9.0,2.0,,cpe:2.3:a:metadot:metadot_portal_server:5.5.2.1:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.4:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.4.1:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.4.2:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.4.3:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5.1:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5.2:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5.3:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5.3.1:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.5.4b5:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:5.6.6:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:6.4:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:6.4.1:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:6.4.2:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:6.4.3:*:*:*:*:*:*:*|cpe:2.3:a:metadot:metadot_portal_server:6.4.4:*:*:*:*:*:*:*,,,
vendor_only,CVE-2006-3578,2006-07-13,Directory traversal vulnerability in Fujitsu ServerView 2.50 up to 3.60L98 and 4.10L11 up to 4.11L81 allows remote attackers to read arbitrary files via unspecified vectors.,5.0,2.0,,cpe:2.3:a:fujitsu:serverview:*:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:2.50:*:*:*:*:*:*:*,,,
vendor_only,CVE-2006-3579,2006-07-13,Cross-site scripting (XSS) vulnerability in Fujitsu ServerView 2.50 up to 3.60L98 and 4.10L11 up to 4.11L81 allows remote attackers to inject arbitrary web script or HTML via unspecified vectors.,4.3,2.0,CWE-79,cpe:2.3:a:fujitsu:serverview:2.50:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:3.60l98:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:4.10l11:*:*:*:*:*:*:*|cpe:2.3:a:fujitsu:serverview:4.10l81:*:*:*:*:*:*:*,,,
vendor_only,CVE-2006-2196,2006-06-26,Unspecified vulnerability in pinball 0.3.1 allows local users to gain privileges via unknown attack vectors that cause pinball to load plugins from an attacker-controlled directory while operating at raised privileges.,4.6,2.0,,cpe:2.3:a:jochen_friedrich:pinball:0.3.1:*:*:*:*:*:*:*,,,
vendor_only,CVE-2006-2517,2006-05-22,"SQL injection vulnerability in MyWeb Portal Office, Standard Edition, Public Edition, Medical Edition, Citizen Edition, School Edition, and Light Edition allows remote attackers to execute arbitrary SQL commands via unknown attack vectors.",7.5,2.0,,cpe:2.3:a:fujitsu:myweb_portal_office:*:*:citizen:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:light:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:medical:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:public:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:school:*:*:*:*:*|cpe:2.3:a:fujitsu:myweb_portal_office:*:*:standard:*:*:*:*:*,,,
vendor_only,CVE-2006-2240,2006-05-09,"Unspecified vulnerability in the (1) web cache or (2) web proxy in Fujitsu NetShelter/FW allows remote attackers to cause a denial of service (device unresponsiveness) via certain DNS packets, as demonstrated by the OUSPG PROTOS DNS test suite.",5.0,2.0,,cpe:2.3:h:fujitsu:netshelter_fw:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-l:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-m:*:*:*:*:*:*:*:*|cpe:2.3:h:fujitsu:netshelter_fw-p:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2007-5366,2007-10-11,"The Tomcat 4.1-based Servlet Service in Fujitsu Interstage Application Server 7.0 through 9.0.0 and Interstage Apworks/Studio 7.0 through 9.0.0 allows remote attackers to obtain sensitive information (web root path) via unspecified vectors that trigger an error message, probably related to enabling the useCanonCaches Java Virtual Machine (JVM) option.",5.0,2.0,CWE-22,cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:plus:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0:*:plus_developer:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0.1:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:7.0.1:*:plus:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.0:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.1:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.1:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.2:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.2:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.3:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:8.0.3:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:9.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:9.0:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:9.0a:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_application_server:9.0a:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks:7.0:*:modelers_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks:8.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_apworks:8.0:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio:8.01:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio:8.01:*:standard_j:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio:9.0:*:enterprise:*:*:*:*:*|cpe:2.3:a:fujitsu:interstage_studio:9.0:*:standard_j:*:*:*:*:*,,,
