category,metric,value,n,pct
Access Control,attack_vector,Network,18,50.0
Access Control,attack_vector,Adjacent,10,27.8
Access Control,attack_vector,Local,1,2.8
Access Control,attack_vector,Physical,7,19.4
Access Control,attack_complexity,Low,32,88.9
Access Control,attack_complexity,High,4,11.1
Access Control,privileges_required,None,31,86.1
Access Control,privileges_required,Low,5,13.9
Access Control,user_interaction,None,35,97.2
Access Control,user_interaction,Required,1,2.8
Access Control,scope,Unchanged,32,88.9
Access Control,scope,Changed,4,11.1
Access Control,confidentiality,High,21,58.3
Access Control,confidentiality,Low,2,5.6
Access Control,confidentiality,None,13,36.1
Access Control,integrity,High,21,58.3
Access Control,integrity,Low,6,16.7
Access Control,integrity,None,9,25.0
Access Control,availability,High,18,50.0
Access Control,availability,None,18,50.0
Access Control,impact_combination,C+I+A,13,36.1
Access Control,impact_combination,C+I,4,11.1
Access Control,impact_combination,I+A,2,5.6
Access Control,impact_combination,C,6,16.7
Access Control,impact_combination,I,8,22.2
Access Control,impact_combination,A,3,8.3
Audio,attack_vector,Network,12,31.6
Audio,attack_vector,Adjacent,18,47.4
Audio,attack_vector,Local,1,2.6
Audio,attack_vector,Physical,7,18.4
Audio,attack_complexity,Low,35,92.1
Audio,attack_complexity,High,3,7.9
Audio,privileges_required,None,35,92.1
Audio,privileges_required,Low,3,7.9
Audio,user_interaction,None,32,84.2
Audio,user_interaction,Required,6,15.8
Audio,scope,Unchanged,35,92.1
Audio,scope,Changed,3,7.9
Audio,confidentiality,High,29,76.3
Audio,confidentiality,Low,9,23.7
Audio,integrity,High,24,63.2
Audio,integrity,Low,5,13.2
Audio,integrity,None,9,23.7
Audio,availability,High,25,65.8
Audio,availability,Low,1,2.6
Audio,availability,None,12,31.6
Audio,impact_combination,C+I+A,25,65.8
Audio,impact_combination,C+I,4,10.5
Audio,impact_combination,C+A,1,2.6
Audio,impact_combination,C,8,21.1
Cameras and Monitors,attack_vector,Network,684,78.1
Cameras and Monitors,attack_vector,Adjacent,107,12.2
Cameras and Monitors,attack_vector,Local,47,5.4
Cameras and Monitors,attack_vector,Physical,38,4.3
Cameras and Monitors,attack_complexity,Low,805,91.9
Cameras and Monitors,attack_complexity,High,71,8.1
Cameras and Monitors,privileges_required,None,601,68.6
Cameras and Monitors,privileges_required,Low,212,24.2
Cameras and Monitors,privileges_required,High,63,7.2
Cameras and Monitors,user_interaction,None,818,93.4
Cameras and Monitors,user_interaction,Required,58,6.6
Cameras and Monitors,scope,Unchanged,767,87.6
Cameras and Monitors,scope,Changed,109,12.4
Cameras and Monitors,confidentiality,High,583,66.6
Cameras and Monitors,confidentiality,Low,86,9.8
Cameras and Monitors,confidentiality,None,207,23.6
Cameras and Monitors,integrity,High,494,56.4
Cameras and Monitors,integrity,Low,66,7.5
Cameras and Monitors,integrity,None,316,36.1
Cameras and Monitors,availability,High,603,68.8
Cameras and Monitors,availability,Low,24,2.7
Cameras and Monitors,availability,None,249,28.4
Cameras and Monitors,impact_combination,C+I+A,457,52.2
Cameras and Monitors,impact_combination,C+I,47,5.4
Cameras and Monitors,impact_combination,C+A,6,0.7
Cameras and Monitors,impact_combination,I+A,13,1.5
Cameras and Monitors,impact_combination,C,159,18.2
Cameras and Monitors,impact_combination,I,43,4.9
Cameras and Monitors,impact_combination,A,151,17.2
Climate & Air,attack_vector,Network,14,60.9
Climate & Air,attack_vector,Adjacent,6,26.1
Climate & Air,attack_vector,Local,1,4.3
Climate & Air,attack_vector,Physical,2,8.7
Climate & Air,attack_complexity,Low,21,91.3
Climate & Air,attack_complexity,High,2,8.7
Climate & Air,privileges_required,None,20,87.0
Climate & Air,privileges_required,Low,3,13.0
Climate & Air,user_interaction,None,18,78.3
Climate & Air,user_interaction,Required,5,21.7
Climate & Air,scope,Unchanged,20,87.0
Climate & Air,scope,Changed,3,13.0
Climate & Air,confidentiality,High,13,56.5
Climate & Air,confidentiality,Low,3,13.0
Climate & Air,confidentiality,None,7,30.4
Climate & Air,integrity,High,11,47.8
Climate & Air,integrity,Low,6,26.1
Climate & Air,integrity,None,6,26.1
Climate & Air,availability,High,13,56.5
Climate & Air,availability,Low,2,8.7
Climate & Air,availability,None,8,34.8
Climate & Air,impact_combination,C+I+A,11,47.8
Climate & Air,impact_combination,C+I,2,8.7
Climate & Air,impact_combination,I+A,1,4.3
Climate & Air,impact_combination,C,3,13.0
Climate & Air,impact_combination,I,3,13.0
Climate & Air,impact_combination,A,3,13.0
Electrical & Lighting,attack_vector,Network,35,58.3
Electrical & Lighting,attack_vector,Adjacent,22,36.7
Electrical & Lighting,attack_vector,Local,2,3.3
Electrical & Lighting,attack_vector,Physical,1,1.7
Electrical & Lighting,attack_complexity,Low,56,93.3
Electrical & Lighting,attack_complexity,High,4,6.7
Electrical & Lighting,privileges_required,None,51,85.0
Electrical & Lighting,privileges_required,Low,8,13.3
Electrical & Lighting,privileges_required,High,1,1.7
Electrical & Lighting,user_interaction,None,52,86.7
Electrical & Lighting,user_interaction,Required,8,13.3
Electrical & Lighting,scope,Unchanged,56,93.3
Electrical & Lighting,scope,Changed,4,6.7
Electrical & Lighting,confidentiality,High,37,61.7
Electrical & Lighting,confidentiality,Low,5,8.3
Electrical & Lighting,confidentiality,None,18,30.0
