Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning
vendor_only,CVE-2001-1137,2001-09-06,D-Link DI-704 Internet Gateway firmware earlier than V2.56b6 allows remote attackers to cause a denial of service (reboot) via malformed IP datagram fragments.,5.0,2.0,,cpe:2.3:h:d-link:dl-704:v2.56b5:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2001-1220,2001-12-21,"D-Link DWL-1000AP Firmware 3.2.28 #483 Wireless LAN Access Point stores the administrative password in plaintext in the default Management Information Base (MIB), which allows remote attackers to gain administrative privileges.",10.0,2.0,,cpe:2.3:h:d-link:dwl-1000ap:3.2.28_483:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2001-1221,2001-12-21,D-Link DWL-1000AP Firmware 3.2.28 #483 Wireless LAN Access Point uses a default SNMP community string of 'public' which allows remote attackers to gain sensitive information.,5.0,2.0,,cpe:2.3:h:d-link:dwl-1000ap:3.2.28_483:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1068,2002-10-04,The web server for D-Link DP-300 print server allows remote attackers to cause a denial of service (hang) via a large HTTP POST request.,5.0,2.0,,cpe:2.3:h:d-link:dp-303:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1069,2002-10-04,"The remote administration capability for the D-Link DI-804 router 4.68 allows remote attackers to bypass authentication and release DHCP addresses or obtain sensitive information via a direct web request to the pages (1) release.htm, (2) Device Status, or (3) Device Information.",5.0,2.0,,cpe:2.3:h:d-link:di-804:4.68:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1810,2002-12-31,"D-Link DWL-900AP+ Access Point 2.1 and 2.2 allows remote attackers to access the TFTP server without authentication and read the config.img file, which contains sensitive information such as the administrative password, the WEP encryption keys, and network configuration information.",7.5,3.1,CWE-306,cpe:2.3:o:dlink:dwl-900ap\+_firmware:2.1:*:*:*:*:*:*:*|cpe:2.3:o:dlink:dwl-900ap\+_firmware:2.2:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dwl-900ap\+:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-1865,2002-12-31,"Buffer overflow in the Embedded HTTP server, as used in (1) D-Link DI-804 4.68, Dl-704 V2.56b6, and Dl-704 V2.56b5 and (2) Linksys Etherfast BEFW11S4 Wireless AP + Cable/DSL Router 1.37.2 through 1.42.7 and Linksys WAP11 1.3 and 1.4, allows remote attackers to cause a denial of service (crash) via a long header, as demonstrated using the Host header.",5.0,2.0,,cpe:2.3:h:d-link:di-804:4.68:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dl-704:2.56_b5:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dl-704:2.56_b6:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.4.2.7:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.2:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.2b:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.37.9b:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.40.3:*:*:*:*:*:*:*|cpe:2.3:h:linksys:befw11s4:1.42.7:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:1.3:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:1.4:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2002-2137,2002-12-31,"GlobalSunTech Wireless Access Points (1) WISECOM GL2422AP-0T, and possibly OEM products such as (2) D-Link DWL-900AP+ B1 2.1 and 2.2, (3) ALLOY GL-2422AP-S, (4) EUSSO GL2422-AP, and (5) LINKSYS WAP11-V2.2, allow remote attackers to obtain sensitive information like WEP keys, the administrator password, and the MAC filter via a ""getsearch"" request to UDP port 27155.",5.0,2.0,,cpe:2.3:h:alloy:gl-2422ap-s:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:b1_2.1:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:b1_2.2:*:*:*:*:*:*:*|cpe:2.3:h:eusso:gl2422_ap:*:*:*:*:*:*:*:*|cpe:2.3:h:linksys:wap11:2.2:*:*:*:*:*:*:*|cpe:2.3:h:wisecom:gl2422ap-0t:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-1264,2003-12-31,"TFTP server in Longshine Wireless Access Point (WAP) LCS-883R-AC-B, and in D-Link DI-614+ 2.0 which is based on it, allows remote attackers to obtain the WEP secret and gain administrator privileges by downloading the configuration file (config.img) and other files without authentication.",5.0,2.0,,cpe:2.3:h:d-link:di-614\+:2.0:*:*:*:*:*:*:*|cpe:2.3:h:longshine_technologie:longshine_wireless_ethernet_access_point:lcs-883r-ac-b:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2003-1346,2003-12-31,"D-Link wireless access point DWL-900AP+ 2.2, 2.3 and possibly 2.5 allows remote attackers to set factory default settings by upgrading the firmware using AirPlus Access Point Manager.",10.0,2.0,CWE-264,cpe:2.3:h:d-link:dwl-900ap\+:2.2:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:2.3:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-900ap\+:2.5:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2004-0661,2004-08-06,"Integer signedness error in D-Link AirPlus DI-614+ running firmware 2.30 and earlier allows remote attackers to cause a denial of service (IP lease depletion) via a DHCP request with the LEASETIME option set to -1, which makes the DHCP lease valid for thirteen or more years.",5.0,2.0,,cpe:2.3:h:d-link:di-604:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-614\+:2.30:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-624:1.28:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2004-1650,2004-08-31,"D-Link DCS-900 Internet Camera listens on UDP port 62976 for an IP address, which allows remote attackers to change the IP address of the camera via a UDP broadcast packet.",7.5,2.0,,cpe:2.3:h:d-link:dcs-900_internet_camera:2.10:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.20:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dcs-900_internet_camera:2.28:*:*:*:*:*:*:*,Yes,High,
vendor_only,CVE-2004-0615,2004-12-06,"Cross-site scripting (XSS) vulnerability in D-Link DI-614+ SOHO router running firmware 2.30, and DI-704 SOHO router running firmware 2.60B2, and DI-624, allows remote attackers to inject arbitrary script or HTML via the DHCP HOSTNAME option in a DHCP request.",5.1,2.0,,cpe:2.3:h:d-link:di-614\+:2.30:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-704p:2.60b2:*:*:*:*:*:*:*|cpe:2.3:h:dlink:di-624:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-1680,2005-05-20,"D-Link DSL-502T, DSL-504T, DSL-562T, and DSL-G604T, when /cgi-bin/firmwarecfg is executed, allows remote attackers to bypass authentication (1) if their IP address already exists in /var/tmp/fw_ip or (2) if their request is the first, which causes /var/tmp/fw_ip to be created and contain their IP address.",7.5,2.0,,cpe:2.3:h:d-link:dsl-502t:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dsl-504t:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dsl-562t:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dsl-g604t:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-1827,2005-05-26,"D-Link DSL-504T allows remote attackers to bypass authentication and gain privileges, such as upgrade firmware, restart the router or restore a saved configuration, via a direct request to firmwarecfg.",7.5,2.0,CWE-425,cpe:2.3:o:dlink:dsl-504t_firmware:1.00b01t16.eu.20040217:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dsl-504t:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2005-1828,2005-05-26,"D-Link DSL-504T stores usernames and passwords in cleartext in the router configuration file, which allows remote attackers to obtain sensitive information.",7.5,3.1,CWE-312,cpe:2.3:o:dlink:dsl-504t_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dsl-504t:-:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-0784,2006-02-19,"D-Link DWL-G700AP with firmware 2.00 and 2.01 allows remote attackers to cause a denial of service (CAMEO HTTP service crash) via a request composed of ""GET"" followed by a space and two newlines, possibly triggering the crash due to missing arguments.",5.0,2.0,,cpe:2.3:h:d-link:dwl-g700ap:2.00:*:*:*:*:*:*:*|cpe:2.3:h:d-link:dwl-g700ap:2.01:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2337,2006-05-12,Directory traversal vulnerability in webcm in the D-Link DSL-G604T Wireless ADSL Router Modem allows remote attackers to read arbitrary files via an absolute path in the getpage parameter.,5.0,2.0,CWE-22,cpe:2.3:h:d-link:dsl-g604t:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2653,2006-05-30,Cross-site scripting (XSS) vulnerability in login_error.shtml for D-Link DSA-3100 allows remote attackers to inject arbitrary HTML or web script via an encoded uname parameter.,2.6,2.0,,cpe:2.3:h:d-link:dsa-3100_airspot_gateway:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-2901,2006-06-07,"The web server for D-Link Wireless Access-Point (DWL-2100ap) firmware 2.10na and earlier allows remote attackers to obtain sensitive system information via a request to an arbitrary .cfg file, which returns configuration information including passwords.",5.0,2.0,,cpe:2.3:h:d-link:dwl-2100ap:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2006-3687,2006-07-21,"Stack-based buffer overflow in the Universal Plug and Play (UPnP) service in D-Link DI-524, DI-604 Broadband Router, DI-624, D-Link DI-784, WBR-1310 Wireless G Router, WBR-2310 RangeBooster G Router, and EBR-2310 Ethernet Broadband Router allows remote attackers to execute arbitrary code via a long M-SEARCH request to UDP port 1900.",7.5,2.0,,cpe:2.3:h:d-link:di-604_broadband_router:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:di-784:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:ebr-2310_ethernet_broadband_router:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:wbr-1310_wireless_g_router:*:*:*:*:*:*:*:*|cpe:2.3:h:d-link:wbr-2310_rangebooster_g_router:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:di-524:*:*:*:*:*:*:*:*|cpe:2.3:h:dlink:di-624:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1253,2008-03-10,"Cross-site scripting (XSS) vulnerability in cgi-bin/webcm on the D-Link DSL-G604T router allows remote attackers to inject arbitrary web script or HTML via the var:category parameter, as demonstrated by a request for advanced/portforw.htm on the fwan page.",4.3,2.0,CWE-79,cpe:2.3:h:d-link:dsl-g604t:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1258,2008-03-10,Cross-site scripting (XSS) vulnerability in prim.htm on the D-Link DI-604 router allows remote attackers to inject arbitrary web script or HTML via the rf parameter.,4.3,2.0,CWE-79,cpe:2.3:h:d-link:di-604:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2008-1266,2008-03-10,Multiple buffer overflows in the web interface on the D-Link DI-524 router allow remote attackers to cause a denial of service (device crash) or possibly have unspecified other impact via (1) a long username or (2) an HTTP header with a large name and an empty value.,7.8,2.0,CWE-119,cpe:2.3:h:dlink:di-524:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2009-1740,2009-05-20,Multiple heap-based buffer overflows in the D-Link MPEG4 Viewer ActiveX Control (csviewer.ocx) 2.11.918.2006 allow remote attackers to execute arbitrary code via a long argument to the (1) SetFilePath and (2) SetClientCookie methods.  NOTE: the provenance of this information is unknown; the details are obtained solely from third party information.,9.3,2.0,CWE-119,cpe:2.3:a:dlink:mpeg4_viewer_activex_control:2.11.918.2006:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2010-2292,2010-06-15,Cross-site scripting (XSS) vulnerability in the Ping tools web interface in Dlink Di-604 router allows remote attackers to inject arbitrary web script or HTML via the IP field.,4.3,2.0,CWE-79,cpe:2.3:h:d-link:di-604:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2010-2293,2010-06-15,"The Ping tools web interface in Dlink Di-604 router allows remote authenticated users to cause a denial of service via a large ""ip textfield"" size.",6.8,2.0,CWE-20,cpe:2.3:h:d-link:di-604:*:*:*:*:*:*:*:*,No,High,
