cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,matched_terms
CVE-2000-0968,2000-12-19,Buffer overflow in Half Life dedicated server before build 3104 allows remote attackers to execute arbitrary commands via a long rcon command.,10.0,2.0,,cpe:2.3:a:valve_software:half-life_dedicated_server:*:*:*:*:*:*:*:*,valve
CVE-2000-0969,2000-12-19,"Format string vulnerability in Half Life dedicated server build 3104 and earlier allows remote attackers to execute arbitrary commands by injecting format strings into the changelevel command, via the system console or rcon.",10.0,2.0,,cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.3:*:*:*:*:*:*:*,valve
CVE-2001-0358,2001-06-27,"Buffer overflows in Sierra Half-Life build 1573 and earlier allow remote attackers to execute arbitrary code via (1) a long map command, (2) a long exec command, or (3) long input in a configuration file.",7.5,2.0,,cpe:2.3:a:sierra:half-life:*:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:*:*:*:*:*:*:*:*,valve
CVE-2001-0359,2001-06-27,Format string vulnerability in Sierra Half-Life build 1573 and earlier allows a remote attacker to execute arbitrary code via the map command.,7.5,2.0,,cpe:2.3:a:sierra:half-life:*:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:*:*:*:*:*:*:*:*,valve
CVE-2001-0964,2001-09-20,Buffer overflow in client for Half-Life 1.1.0.8 and earlier allows malicious remote servers to execute arbitrary code via a long console command.,7.5,2.0,,cpe:2.3:a:valve_software:half-life:*:*:*:*:*:*:*:*,valve
CVE-2002-0964,2002-10-04,"Half-Life Server 1.1.1.0 and earlier allows remote attackers to cause a denial of service (resource exhaustion) via multiple responses to the initial challenge with different cd_key values, which reaches the player limit and prevents other players from connecting until the original responses have timed out.",5.0,2.0,,cpe:2.3:a:valve_software:half-life:1.1.0.4:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.4:*:windows:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.8:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.9:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.1.0:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:*:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.3:*:*:*:*:*:*:*,valve
CVE-2003-1325,2003-12-31,"The SV_CheckForDuplicateNames function in Valve Software Half-Life CSTRIKE Dedicated Server 1.1.1.0 and earlier allows remote authenticated users to cause a denial of service (infinite loop and daemon hang) via a certain connection string to UDP port 27015 that represents ""absence of player informations,"" a related issue to CVE-2006-0734.",5.2,2.0,,cpe:2.3:a:valve_software:half-life_cstrike_dedicated_server:*:*:*:*:*:*:*:*,valve
CVE-2003-1381,2003-12-31,"Format string vulnerability in AMX 0.9.2 and earlier, a plugin for Valve Software's Half-Life Server, allows remote attackers to execute arbitrary commands via format string specifiers in the amx_say command.",6.8,2.0,CWE-134,cpe:2.3:a:amxmod.net:amx_mod:0.9.2:*:*:*:*:*:*:*,valve
CVE-2004-0724,2004-07-27,The Half-Life engine before July 7 2004 allows remote attackers to cause a denial of service (server or client crash) via an empty fragmented packet.,5.0,2.0,,cpe:2.3:a:valve_software:half-life:1.1.0.4:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.4:*:windows:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.8:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.0.9:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life:1.1.1.0:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.4:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.5:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.6:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.7:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.8:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.0.9:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.1.0:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.1.1c1:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.1.1d:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.1.1e:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.1.1e:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:3.1.3:*:*:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.0.4:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.0.6:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.0.7:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.0.8:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.0.9:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.1.0:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.1.1c1:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.1.1d_beta:*:win32:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.1.1e:*:linux:*:*:*:*:*|cpe:2.3:a:valve_software:half-life_dedicated_server:4.1.1.1e:*:win32:*:*:*:*:*,valve
CVE-2005-3084,2005-09-27,Buffer overflow in the TIFF library in the Photo Viewer for Sony PSP 2.0 firmware allows remote attackers to cause a denial of service via a crafted TIFF image.,5.0,2.0,,cpe:2.3:h:sony:playstation_portable:2.0_firmware:*:*:*:*:*:*:*,playstation
