Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Codex Judgment,Codex Confidence,Codex Reasoning
vendor_only,CVE-2024-5684,2024-06-06,"An attacker with access to the private network (the charger is connected to) or local access to the Ethernet-Interface can exploit a faulty implementation of the JWT-library in order to bypass the password authentication to the web configuration interface and then has full access as the user would have. However, an attacker will not have developer or admin rights. If the implementation of the JWT-library is wrongly configured to accept ""none""-algorithms, the server will pass insecure JWT. A local, unauthenticated attacker can exploit this vulnerability to bypass the authentication mechanism.",8.8,3.1,CWE-345,cpe:2.3:o:vw:id.charger_connect_firmware:spr3.2:beta:*:*:*:*:*:*|cpe:2.3:o:vw:id.charger_connect_firmware:spr3.51:*:*:*:*:*:*:*|cpe:2.3:o:vw:id.charger_connect_firmware:spr3.52:*:*:*:*:*:*:*|cpe:2.3:h:vw:id.charger_connect:-:*:*:*:*:*:*:*|cpe:2.3:o:vw:id.charger_pro_firmware:spr3.2:beta:*:*:*:*:*:*|cpe:2.3:o:vw:id.charger_pro_firmware:spr3.51:*:*:*:*:*:*:*|cpe:2.3:o:vw:id.charger_pro_firmware:spr3.52:*:*:*:*:*:*:*|cpe:2.3:h:vw:id.charger_pro:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2024-5313,2024-06-12,"CWE-668: Exposure of the Resource Wrong Sphere vulnerability exists that exposes a SSH
interface over the product network interface. This does not allow to directly exploit the product or
make any unintended operation as the SSH interface access is protected by an authentication
mechanism. Impacts are limited to port scanning and fingerprinting activities as well as attempts
to perform a potential denial of service attack on the exposed SSH interface.",6.5,3.1,CWE-668,cpe:2.3:o:schneider-electric:evlink_home_firmware:2.0.3.8.2_128:*:*:*:*:*:*:*|cpe:2.3:o:schneider-electric:evlink_home_firmware:2.0.4.1.2_131:*:*:*:*:*:*:*|cpe:2.3:h:schneider-electric:evlink_home:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2025-31357,2025-04-15,An unauthenticated attacker can obtain a user's plant list by knowing the username.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-31933,2025-04-15,An unauthenticated attacker can check the existence of usernames in the system by querying an API.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-31941,2025-04-15,An unauthenticated attacker can obtain a list of smart devices by knowing a valid username.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-31949,2025-04-15,An authenticated attacker can obtain any plant name by knowing the plant ID.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-24297,2025-04-15,"Due to lack of server-side input validation, attackers can inject malicious JavaScript code into users personal spaces of the web portal.",9.8,3.1,CWE-79,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-24315,2025-04-15,Unauthenticated attackers can add devices of other users to their scenes (or arbitrary scenes of other arbitrary users).,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-24850,2025-04-15,An attacker can export other users' plant information.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-25276,2025-04-15,An unauthenticated attacker can hijack other users' devices and potentially control them.,6.5,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-27561,2025-04-15,"Unauthenticated attackers can rename ""rooms"" of arbitrary users.",5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-27565,2025-04-15,"An unauthenticated attacker can delete any user's ""rooms"" by knowing the user's and room IDs.",5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
vendor_only,CVE-2025-27719,2025-04-15,Unauthenticated attackers can query an API endpoint and get device details.,5.3,3.1,CWE-639,cpe:2.3:a:growatt:cloud_portal:*:*:*:*:*:*:*:*,No,High,
