Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Gemini Judgment,Gemini Confidence,Gemini Reasoning
vendor_only,CVE-2008-5066,2008-11-13,PHP remote file inclusion vulnerability in upload/admin/frontpage_right.php in Agares Media ThemeSiteScript 1.0 allows remote attackers to execute arbitrary PHP code via a URL in the loadadminpage parameter.,10.0,2.0,CWE-94,cpe:2.3:a:agaresmedia:themesitescript:1.0:*:*:*:*:*:*:*,,,
vendor_only,CVE-2009-0194,2009-05-11,"The domain-locking implementation in the GARMINAXCONTROL.GarminAxControl_t.1 ActiveX control in npGarmin.dll in the Garmin Communicator Plug-In 2.6.4.0 does not properly enforce the restrictions that (1) download and (2) upload requests come from a web site specified by the user, which allows remote attackers to obtain sensitive information or reconfigure Garmin GPS devices via unspecified vectors related to a ""synchronisation error.""",9.3,2.0,CWE-264,cpe:2.3:a:garmin:garmin_communicator_plugin:2.6.4.0:*:*:*:*:*:*:*,,,
vendor_only,CVE-2014-10374,2019-07-15,"On Fitbit activity-tracker devices, certain addresses never change. According to the popets-2019-0036.pdf document, this leads to ""permanent trackability"" and ""considerable privacy concerns"" without a user-accessible anonymization feature. The devices, such as Charge 2, transmit Bluetooth Low Energy (BLE) advertising packets with a TxAdd flag indicating random addresses, but the addresses remain constant. If devices come within BLE range at one or more locations where an adversary has set up passive sniffing, the adversary can determine whether the same device has entered one of these locations.",6.5,3.0,CWE-200,cpe:2.3:o:fitbit:charge_2_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:fitbit:charge_2:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2015-5918,2015-10-09,"GasGauge in Apple watchOS before 2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5919.",7.2,2.0,CWE-119,cpe:2.3:o:apple:watch_os:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2015-5919,2015-10-09,"GasGauge in Apple watchOS before 2 allows local users to gain privileges or cause a denial of service (memory corruption) via unspecified vectors, a different vulnerability than CVE-2015-5918.",7.2,2.0,CWE-119,cpe:2.3:o:apple:watch_os:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2017-13903,2017-12-25,"An issue was discovered in certain Apple products. iOS before 11.2.1 is affected. tvOS before 11.2.1 is affected. The issue involves the ""HomeKit"" component. It allows remote attackers to modify the application state by leveraging incorrect message handling, as demonstrated by use of an Apple Watch to obtain an encryption key and unlock a door.",7.5,3.0,,cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-27483,2020-11-16,"Garmin Forerunner 235 before 8.20 is affected by: Array index error. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter trusts the offset provided for the stack value duplication instruction, DUP. The offset is unchecked and memory prior to the start of the execution stack can be read and treated as a TVM object. A successful exploit could use the vulnerability to leak runtime information such as the heap handle or pointer for a number of TVM context variables. Some reachable values may be controlled enough to forge a TVM object on the stack, leading to possible remote code execution.",9.9,3.1,CWE-129,cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-27484,2020-11-16,"Garmin Forerunner 235 before 8.20 is affected by: Integer Overflow. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter fails to check for overflow when allocating the array for the NEWA instruction. This a constrained read/write primitive across the entire MAX32630 address space. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",9.9,3.1,CWE-190,cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-27485,2020-11-16,"Garmin Forerunner 235 before 8.20 is affected by: Array index error. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter fails to check the index provided when accessing the local variable in the LGETV and LPUTV instructions. This provides the ability to both read and write memory outside the bounds of the TVM context allocation. It can be leveraged to construct a use-after-free scenario, leading to a constrained read/write primitive across the entire MAX32630 address space. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",9.9,3.1,CWE-129,cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2020-27486,2020-11-16,"Garmin Forerunner 235 before 8.20 is affected by: Buffer Overflow. The component is: ConnectIQ TVM. The attack vector is: To exploit the vulnerability, the attacker must upload a malicious ConnectIQ application to the ConnectIQ store. The ConnectIQ program interpreter trusts the string length provided in the data section of the PRG file. It allocates memory for the string immediately, and then copies the string into the TVM object by using a function similar to strcpy. This copy can exceed the length of the allocated string data and overwrite heap data. A successful exploit would allow a ConnectIQ app store application to escape and perform activities outside the restricted application execution environment.",9.9,3.1,CWE-120,cpe:2.3:o:garmin:forerunner_235_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:garmin:forerunner_235:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2022-46717,2023-04-10,A logic issue was addressed with improved restrictions. This issue is fixed in iOS 16.2 and iPadOS 16.2. A user with physical access to a locked Apple Watch may be able to view user photos via accessibility features,2.4,3.1,,cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*|cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2022-46081,2023-01-04,"In Garmin Connect 4.61, terminating a LiveTrack session wouldn't prevent the LiveTrack API from continued exposure of private personal information. NOTE: this is disputed by the vendor because the LiveTrack API service is not a customer-controlled product.",7.5,3.1,CWE-200,cpe:2.3:a:garmin:connect:4.61:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-40418,2023-09-27,An authentication issue was addressed with improved state management. This issue is fixed in watchOS 10. An Apple Watch Ultra may not lock when using the Depth app.,5.5,3.1,,cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*|cpe:2.3:h:apple:watch_ultra:-:*:*:*:*:*:*:*|cpe:2.3:h:apple:watch_ultra_2:-:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-32417,2023-06-23,This issue was addressed by restricting options offered on a locked device. This issue is fixed in watchOS 9.5. An attacker with physical access to a locked Apple Watch may be able to view user photos or contacts via accessibility features.,2.4,3.1,,cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23298,2023-05-23,"The `Toybox.Graphics.BufferedBitmap.initialize` API method in CIQ API version 2.3.0 through 4.1.7 does not validate its parameters, which can result in integer overflows when allocating the underlying bitmap buffer. A malicious application could call the API method with specially crafted parameters and hijack the execution of the device's firmware.",9.8,3.1,CWE-190,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23299,2023-05-23,"The permission system implemented and enforced by the GarminOS TVM component in CIQ API version 1.0.0 through 4.1.7 can be bypassed entirely. A malicious application with specially crafted code and data sections could access restricted CIQ modules, call their functions and disclose sensitive data such as user profile information and GPS coordinates, among others.",7.5,3.1,CWE-863,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23300,2023-05-23,"The `Toybox.Cryptography.Cipher.initialize` API method in CIQ API version 3.0.0 through 4.1.7 does not validate its parameters, which can result in buffer overflows when copying data. A malicious application could call the API method with specially crafted parameters and hijack the execution of the device's firmware.",9.8,3.1,CWE-120,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23301,2023-05-23,"The `news` MonkeyC operation code in CIQ API version 1.0.0 through 4.1.7 fails to check that string resources are not extending past the end of the expected sections. A malicious CIQ application could craft a string that starts near the end of a section, and whose length extends past its end. Upon loading the string, the GarminOS TVM component may read out-of-bounds memory.",9.8,3.1,CWE-125,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23302,2023-05-23,"The `Toybox.GenericChannel.setDeviceConfig` API method in CIQ API version 1.2.0 through 4.1.7 does not validate its parameter, which can result in buffer overflows when copying various attributes. A malicious application could call the API method with specially crafted object and hijack the execution of the device's firmware.",9.8,3.1,CWE-120,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23303,2023-05-23,"The `Toybox.Ant.GenericChannel.enableEncryption` API method in CIQ API version 3.2.0 through 4.1.7 does not validate its parameter, which can result in buffer overflows when copying various attributes. A malicious application could call the API method with specially crafted object and hijack the execution of the device's firmware.",9.8,3.1,CWE-120,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23304,2023-05-23,The GarminOS TVM component in CIQ API version 2.1.0 through 4.1.7 allows applications with a specially crafted head section to use the `Toybox.SensorHistory` module without permission. A malicious application could call any functions from the `Toybox.SensorHistory` module without the user's consent and disclose potentially private or sensitive information.,9.1,3.1,CWE-863,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23305,2023-05-23,The GarminOS TVM component in CIQ API version 1.0.0 through 4.1.7 is vulnerable to various buffer overflows when loading binary resources. A malicious application embedding specially crafted resources could hijack the execution of the device's firmware.,9.8,3.1,CWE-120,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2023-23306,2023-05-23,"The `Toybox.Ant.BurstPayload.add` API method in CIQ API version 2.2.0 through 4.1.7 suffers from a type confusion vulnreability, which can result in an out-of-bounds write operation. A malicious application could create a specially crafted `Toybox.Ant.BurstPayload` object, call its `add` method, override arbitrary memory and hijack the execution of the device's firmware.",9.8,3.1,CWE-787,cpe:2.3:a:garmin:connect-iq:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2024-10327,2024-10-24,"A vulnerability in Okta Verify for iOS versions 9.25.1 (beta) and 9.27.0 (including beta) allows push notification responses through the iOS ContextExtension feature allowing the authentication to proceed regardless of the user’s selection. When a user long-presses the notification banner and selects an option, both options allow the authentication to succeed. 
The ContextExtension feature is one of several push mechanisms available when using Okta Verify Push on iOS devices. The vulnerable flows include: 
* When a user is presented with a notification on a locked screen, the user presses on the notification directly and selects their reply without unlocking the device; 
* When a user is presented with a notification on the home screen and drags the notification down and selects their reply; 
* When an Apple Watch is used to reply directly to a notification. 

 A pre-condition for this vulnerability is that the user must have enrolled in Okta Verify while the Okta customer was using Okta Classic. This applies irrespective of whether the organization has since upgraded to Okta Identity Engine.",8.1,3.1,CWE-287,,,,
vendor_only,CVE-2025-43459,2025-11-04,An authentication issue was addressed with improved state management. This issue is fixed in watchOS 26.1. An attacker with physical access to a locked Apple Watch may be able to view Live Voicemail.,4.6,3.1,CWE-863,cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,,,
vendor_only,CVE-2025-32407,2025-05-16,"Samsung Internet for Galaxy Watch version 5.0.9, available up until Samsung Galaxy Watch 3, does not properly validate TLS certificates, allowing for an attacker to impersonate any and all websites visited by the user. This is a critical misconfiguration in the way the browser validates the identity of the server. It negates the use of HTTPS as a secure channel, allowing for Man-in-the-Middle attacks, stealing sensitive information or modifying incoming and outgoing traffic. NOTE: This vulnerability is in an end-of-life product that is no longer maintained by the vendor.",5.9,3.1,CWE-295,cpe:2.3:a:samsung:internet:5.0.9:*:*:*:*:*:*:*,,,
