Category,Difference Type,cve_id,published,description,cvss_score,cvss_version,cwe_ids,cpe_strings,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Review Status,Needs Human Review,Review Reason,Final Judgment,Final Source,AI Judgment,AI Judgment Reasoning,AI Confidence
alarms,vendor_only,CVE-2015-9263,2018-08-27,"An issue was discovered in post2file.php in Up.Time Monitoring Station 7.5.0 (build 16) and 7.4.0 (build 13). It allows an attacker to upload an arbitrary file, such as a .php file that can execute arbitrary OS commands.",9.8,3.0,CWE-434,cpe:2.3:a:idera:uptime_infrastructure_monitor:7.4.0:*:*:*:*:*:*:*|cpe:2.3:a:idera:uptime_infrastructure_monitor:7.5.0:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
alarms,vendor_only,CVE-2015-6032,2015-10-31,"Qolsys IQ Panel (aka QOL) before 1.5.1 has hardcoded cryptographic keys, which allows remote attackers to create digital signatures for code by leveraging knowledge of a key from a different installation.",9.3,2.0,CWE-255,cpe:2.3:a:qolsys:iq_panel:*:*:*:*:*:android:*:*,Yes,High,Qolsys IQ Panel is a consumer home security/alarm control panel; hardcoded cryptographic keys allowing forged code signatures on it is a genuine home-alarm vulnerability.,No,High,,Yes,High,,complete,Yes,judgments not unanimous,Yes,human,,,
alarms,vendor_only,CVE-2015-6033,2015-10-31,"Qolsys IQ Panel (aka QOL) before 1.5.1 does not verify the digital signatures of software updates, which allows man-in-the-middle attackers to bypass intended access restrictions via a modified update.",9.3,2.0,CWE-310,cpe:2.3:a:qolsys:iq_panel:*:*:*:*:*:android:*:*,Yes,High,Qolsys IQ Panel is a consumer home security/alarm control panel; missing update-signature verification on it is a genuine home-alarm vulnerability.,No,High,,Yes,High,,complete,Yes,judgments not unanimous,Yes,human,,,
alarms,vendor_only,CVE-2015-1028,2015-01-21,"Multiple cross-site scripting (XSS) vulnerabilities in D-Link DSL-2730B router (rev C1) with firmware GE_1.01 allow remote authenticated users to inject arbitrary web script or HTML via the (1) domainname parameter to dnsProxy.cmd (DNS Proxy Configuration Panel); the (2) brName parameter to lancfg2get.cgi (Lan Configuration Panel); the (3) wlAuthMode, (4) wl_wsc_reg, or (5) wl_wsc_mode parameter to wlsecrefresh.wl (Wireless Security Panel); or the (6) wlWpaPsk parameter to wlsecurity.wl (Wireless Password Viewer).",3.5,2.0,CWE-79,cpe:2.3:o:dlink:dsl-2730b_firmware:ge_1.01:*:*:*:*:*:*:*|cpe:2.3:h:dlink:dsl-2730b:c1:*:*:*:*:*:*:*,No,High,"CPE and description identify the D-Link DSL-2730B DSL router; this is home-networking gear, not an alarm system. The 'alarm' keyword matched incidentally.",Yes,High,,No,High,,complete,Yes,judgments not unanimous,No,human,,,
alarms,vendor_only,CVE-2017-9657,2018-04-30,"Under specific 802.11 network conditions, a partial re-association of the Philips IntelliVue MX40 Version B.06.18 WLAN monitor to the central monitoring station is possible. In this state, the central monitoring station can indicate the MX40 is not connected or associated to the central monitor, and thus should be operating in local monitoring mode (local audio-on, screen-on), but the MX40 WLAN itself can instead still be operating in telemetry mode (local audio-off, screen-off). If a patient experiences an alarm event and clinical staff expects the MX40 to provide local alarming when it is not available from the local device, a delay of treatment can occur. CVSS v3 base score: 6.5, CVSS vector string: AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H. Philips has released software update, Version B.06.18, to fix the improper cleanup on thrown exception vulnerability, and implement mitigations to reduce the risk associated with the improper handling of exceptional conditions vulnerability. The software update implements messaging and alarming on the MX40 and at the central monitoring station, when the MX40 disconnects from the access point.",6.5,3.0,CWE-460|CWE-755,cpe:2.3:o:philips:intellivue_mx40_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:philips:intellivue_mx40:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
alarms,vendor_only,CVE-2017-9658,2018-04-30,"Certain 802.11 network management messages have been determined to invoke wireless access point blacklisting security defenses when not required, which can necessitate intervention by hospital staff to reset the device and reestablish a network connection to the Wi-Fi access point. During this state, the Philips IntelliVue MX40 Version B.06.18 can either connect to an alternative access point within signal range for association to a central monitoring station, or it can remain in local monitoring mode until the device is reset by hospital staff. CVSS v3 base score: 6.5, CVSS vector string: AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H. Philips has released software update, Version B.06.18, to fix the improper cleanup on thrown exception vulnerability, and implement mitigations to reduce the risk associated with the improper handling of exceptional conditions vulnerability. The software update implements messaging and alarming on the MX40 and at the central monitoring station, when the MX40 disconnects from the access point.",6.5,3.0,CWE-755,cpe:2.3:o:philips:intellivue_mx40_firmware:*:*:*:*:*:*:*:*|cpe:2.3:h:philips:intellivue_mx40:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
alarms,vendor_only,CVE-2018-19588,2019-07-11,Alarm.com ADC-V522IR 0100b9 devices have Incorrect Access Control.,7.2,3.0,CWE-284,cpe:2.3:o:alarm:adc-v522ir_firmware:0100b9:*:*:*:*:*:*:*|cpe:2.3:h:alarm:adc-v522ir:-:*:*:*:*:*:*:*,Maybe,Low,"Alarm.com ADC-V522IR is a residential security device within a home-alarm ecosystem, but it is specifically a camera rather than an alarm panel/sensor, so fit for the alarm category is ambiguous.",No,High,,Yes,High,,complete,Yes,judgments not unanimous,No,human,,,
alarms,vendor_only,CVE-2018-18665,2018-12-28,"The mintToken function of Nexxus (NXX) aka NexxusToken, an Ethereum token, has an integer overflow that allows the owner of the contract to set the balance of an arbitrary user to any value.",7.5,3.0,CWE-190,cpe:2.3:a:nexxuscoin:nexxustoken:-:*:*:*:*:*:*:*,No,High,,No,High,,No,High,,complete,No,,No,ai-consensus,,,
alarms,vendor_only,CVE-2018-11399,2018-05-24,"SimpliSafe Original has Unencrypted Sensor Transmissions, which allows physically proximate attackers to obtain potentially sensitive information about the specific times when alarm-system events occur.",4.3,3.0,CWE-319,cpe:2.3:o:simplisafe:u9k-es1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-es1000:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-kr1_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-kr1:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-ms1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-ms1000:-:*:*:*:*:*:*:*|cpe:2.3:o:simplisafe:u9k-wt1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-wt1000:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
alarms,vendor_only,CVE-2018-11400,2018-05-24,"In SimpliSafe Original, the Base Station fails to detect tamper attempts: it does not send a notification if a physically proximate attacker removes the battery and external power.",4.6,3.0,,cpe:2.3:o:simplisafe:u9k-bs1000_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:simplisafe:u9k-bs1000:-:*:*:*:*:*:*:*,Yes,High,,Yes,High,,Yes,High,,complete,No,,Yes,ai-consensus,,,
