Verdicts,Review Reason,cve_id,description,cpe_strings,Difference Type,published,cvss_score,cvss_version,cwe_ids,Claude Judgment,Claude Confidence,Claude Reasoning,Codex Judgment,Codex Confidence,Codex Reasoning,Gemini Judgment,Gemini Confidence,Gemini Reasoning,Human Verdict 1,Human Notes 1,Human Verdict 2,Human Notes 2
C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2016-6914,"Ubiquiti UniFi Video before 3.8.0 for Windows uses weak permissions for the installation directory, which allows local users to gain SYSTEM privileges via a Trojan horse taskkill.exe file.",cpe:2.3:a:ui:unifi_video:*:*:*:*:*:*:*:*|cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,vendor_only,2017-12-27,7.8,3.1,CWE-276,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,,,,
C:Yes/Low  X:Yes/High  G:No/High,judgments not unanimous,CVE-2019-15595,A privilege escalation exists in UniFi Video Controller =<3.10.6 that would allow an attacker on the local machine to run arbitrary commands.,cpe:2.3:o:ui:unifi_video_controller:*:*:*:*:*:*:*:*|cpe:2.3:h:ui:unifi_video_controller:-:*:*:*:*:*:*:*,vendor_only,2019-11-26,8.8,3.1,CWE-77,Yes,Low,"Ubiquiti UniFi Protect/Video is a consumer-available prosumer camera/NVR system; borderline against the enterprise-VMS exclusion but consumer-purchasable and home-deployed, so leaning in per the consumer-availability convention.",Yes,High,,No,High,,,,,
C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-34348,"A command injection vulnerability has been reported to affect QNAP device running QVR. If exploited, this vulnerability could allow remote attackers to run arbitrary commands. We have already fixed this vulnerability in the following versions of QVR: QVR 5.1.5 build 20210803 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-09-27,9.8,3.1,CWE-78|CWE-77,No,High,,Yes,High,,Maybe,Low,"QNAP QVR is a video recording software/appliance that can be used in both home and enterprise contexts; without specific hardware mentioned, it's ambiguous.",,,,
C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-34349,"A command injection vulnerability has been reported to affect QNAP device running QVR. If exploited, this vulnerability could allow remote attackers to run arbitrary commands. We have already fixed this vulnerability in the following versions of QVR: QVR 5.1.5 build 20210803 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-09-27,7.2,3.1,CWE-78|CWE-77,No,High,,Yes,High,,Maybe,Low,"QNAP QVR is a video recording software/appliance that can be used in both home and enterprise contexts; without specific hardware mentioned, it's ambiguous.",,,,
C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-34351,"A command injection vulnerability has been reported to affect QNAP device running QVR. If exploited, this vulnerability could allow remote attackers to run arbitrary commands. We have already fixed this vulnerability in the following versions of QVR: QVR 5.1.5 build 20210803 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-09-27,9.8,3.1,CWE-78|CWE-77,No,High,,Yes,High,,Maybe,Low,"QNAP QVR is a video recording recording software/appliance that can be used in both home and enterprise contexts; without specific hardware mentioned, it's ambiguous.",,,,
C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2021-34352,"A command injection vulnerability has been reported to affect QNAP device running QVR. If exploited, this vulnerability could allow remote attackers to run arbitrary commands. We have already fixed this vulnerability in the following versions of QVR: QVR 5.1.5 build 20210902 and later",cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2021-10-01,9.8,3.1,CWE-78|CWE-77,No,High,,Yes,High,,Maybe,Low,"QNAP QVR is a video recording software/appliance that can be used in both home and enterprise contexts; without specific hardware mentioned, it's ambiguous.",,,,
C:No/High  X:Yes/Low  G:Maybe/Low,judgments not unanimous,CVE-2021-38693,"A path traversal vulnerability has been reported to affect QNAP device running QuTScloud, QuTS hero, QTS, QVR Pro Appliance. If exploited, this vulnerability allows attackers to read the contents of unexpected files and expose sensitive data. We have already fixed this vulnerability in the following versions of QuTScloud, QuTS hero, QTS, QVR Pro Appliance: QuTScloud c5.0.1.1949 and later QuTS hero h5.0.0.1949 build 20220215 and later QuTS hero h4.5.4.1951 build 20220218 and later QTS 5.0.0.1986 build 20220324 and later QTS 4.5.4.1991 build 20220329 and later",cpe:2.3:o:qnap:qts:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:quts_hero:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qutscloud:*:*:*:*:*:*:*:*,vendor_only,2022-05-05,5.3,3.1,CWE-22,No,High,,Yes,Low,Description includes QVR Pro Appliance (home NVR in scope) but CPE is only QNAP NAS OS (QTS/QuTS/QuTScloud); shared OS layer spanning general NAS and video appliance.,Maybe,Low,"Affects QNAP operating systems including QVR Pro Appliance, which can be used in both home and enterprise contexts.",,,,
C:No/High  X:Yes/High  G:Maybe/Low,judgments not unanimous,CVE-2022-27588,We have already fixed this vulnerability in the following versions of QVR: QVR 5.1.6 build 20220401 and later,cpe:2.3:a:qnap:qvr:*:*:*:*:*:*:*:*,vendor_only,2022-05-05,9.8,3.1,CWE-77,No,High,,Yes,High,,Maybe,Low,"Affects QNAP QVR, which can be used in both home and enterprise contexts.",,,,
C:No/High  X:Yes/Low  G:Maybe/Low,judgments not unanimous,CVE-2023-23355,"An OS command injection vulnerability has been reported to affect QNAP operating systems. If exploited, the vulnerability possibly allows remote authenticated administrators to execute commands via unspecified vectors.
QES is not affected.

We have already fixed the vulnerability in the following versions:
QTS 5.0.1.2346 build 20230322 and later
QTS 4.5.4.2374 build 20230416 and later
QuTS hero h5.0.1.2348 build 20230324 and later
QuTS hero h4.5.4.2374 build 20230417 and later
QuTScloud c5.0.1.2374 and later
",cpe:2.3:a:qnap:qvr:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qts:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:quts_hero:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qutscloud:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-21a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-21a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85a:-:*:*:*:*:*:*:*,vendor_only,2023-03-29,7.2,3.1,CWE-77|CWE-78,No,High,,Yes,Low,Affects QNAP QTS/QuTS/QuTScloud and QVP (QVR Pro) appliances; home NVR appliances are in scope but the vuln is a shared NAS OS layer also used outside cameras.,Maybe,Low,"Affects QNAP operating systems and QVR Pro appliances (QVP series), which can be used in both home and enterprise contexts.",,,,
C:No/High  X:Yes/Low  G:Maybe/Low,judgments not unanimous,CVE-2022-27597,"A vulnerability has been reported to affect QNAP operating systems. If exploited, the out-of-bounds read vulnerability allows remote authenticated administrators to get secret values. The vulnerability affects the following QNAP operating systems: QTS, QuTS hero, QuTScloud, QVP (QVR Pro appliances) We have already fixed the vulnerability in the following versions: QTS 5.0.1.2346 build 20230322 and later QuTS hero h5.0.1.2348 build 20230324 and later",cpe:2.3:a:qnap:qvr:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qts:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:quts_hero:*:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qutscloud:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85b_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85b:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-21a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-21a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-41a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-41a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-63a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-63a:-:*:*:*:*:*:*:*|cpe:2.3:o:qnap:qvp-85a_firmware:-:*:*:*:*:*:*:*|cpe:2.3:h:qnap:qvp-85a:-:*:*:*:*:*:*:*,vendor_only,2023-03-29,2.7,3.1,CWE-125|CWE-489|CWE-1295,No,High,,Yes,Low,Affects QTS/QuTS/QuTScloud and QVP (QVR Pro appliances); home NVR in scope but shared with general QNAP NAS OS.,Maybe,Low,"Affects QNAP operating systems and QVR Pro appliances (QVP series), which can be used in both home and enterprise contexts.",,,,
