slug,facet,cpe_vendors
airconditioner,computeTier,midea
airconditioner,supportLifetime,midea
airpurifier,cloudDependence,dyson
airpurifier,firmwareUpdateModel,dyson
airpurifier,patchResponsibility,dyson
airpurifier,supportLifetime,dyson
alarms,actuatesPhysical,anker|eufy
alarms,adminModel,anker|eufy|goabode|qolsys
alarms,cloudDependence,anker|eufy|goabode|ring
alarms,computeTier,goabode|qolsys
alarms,consumerAvailability,anker|eufy|goabode|ring
alarms,hasWebAdminUI,anker|eufy|goabode|qolsys
alarms,supportLifetime,anker|assaabloy|eufy|konnected|yale
appliances,adminModel,bsh
appliances,cloudDependence,bsh
appliances,credentialModel,bsh
appliances,supportLifetime,bosch|samsung
babymonitor,adminModel,d-link|dlink
babymonitor,capturesAV,d-link|dlink|nanit
babymonitor,computeTier,d-link|dlink
babymonitor,credentialModel,d-link|dlink
babymonitor,dataSensitivity,nanit
babymonitor,firmwareUpdateModel,d-link|dlink
babymonitor,hasWebAdminUI,d-link|dlink
babymonitor,supportLifetime,motorola|nanit
cameras,adminModel,d-link|dlink|hikvision|reolink
cameras,alsoDeployedIn,dahuasecurity
cameras,cloudDependence,reolink
cameras,computeTier,d-link|dlink|hikvision|reolink
cameras,credentialModel,
cameras,firmwareUpdateModel,d-link|dlink|hikvision|reolink
cameras,hasWebAdminUI,d-link|dlink|hikvision|reolink
cameras,pairingModel,hikvision|reolink
cameras,patchResponsibility,reolink
cameras,supportLifetime,dahuasecurity|reolink|tapo|tp-link
cameras,topology,hikvision|reolink
doorbell,adminModel,akuvox|ring
doorbell,alsoDeployedIn,akuvox
doorbell,capturesAV,akuvox|ring
doorbell,credentialModel,akuvox|ring
doorbell,dataSensitivity,ring
doorbell,firmwareUpdateModel,akuvox
doorbell,hasWebAdminUI,akuvox
doorbell,pairingModel,ring
doorbell,patchResponsibility,akuvox
doorbell,supportLifetime,reolink|ring
doorbell,topology,akuvox
doorlock,actuatesPhysical,assaabloy|yale
doorlock,adminModel,assaabloy|geniecompany|tinxy|yale
doorlock,computeTier,august
doorlock,credentialModel,geniecompany
doorlock,hasWebAdminUI,assaabloy|yale
doorlock,pairingModel,geniecompany|silabs
doorlock,patchResponsibility,assaabloy|yale
doorlock,supportLifetime,aqara|assaabloy|yale
doorlock,topology,geniecompany|silabs
ev-charging,adminModel,schneider-electric|wallbox
ev-charging,cloudDependence,easee|schneider-electric
ev-charging,computeTier,easee|schneider-electric
ev-charging,consumerAvailability,schneider-electric
ev-charging,firmwareUpdateModel,myenergi|schneider-electric|wallbox
ev-charging,hasWebAdminUI,easee|schneider-electric
ev-charging,pairingModel,wallbox
ev-charging,patchResponsibility,myenergi|schneider-electric
ev-charging,supportLifetime,myenergi
fans,firmwareUpdateModel,dyson
fans,supportLifetime,dyson
fridge,computeTier,samsung
fridge,supportLifetime,samsung
garden,adminModel,ecovacs|rainmachine
garden,capturesAV,ecovacs
garden,cloudDependence,rainmachine
garden,computeTier,rainmachine
garden,credentialModel,ecovacs|rainmachine
garden,firmwareUpdateModel,ecovacs
garden,hasWebAdminUI,rainmachine
garden,pairingModel,ecovacs|rainmachine
garden,patchResponsibility,ecovacs
garden,supportLifetime,husqvarna|ring
garden,topology,ecovacs|rainmachine
home-power,adminModel,enphase|victronenergy
home-power,alsoDeployedIn,enphase
home-power,cloudDependence,enphase
