slug,label,facet,cardinality,allowed_values,kappa_band,facet_kappa,phase_a_verdict,modal_share,category_cves,scope_note,prefill_value,prefill_source,Verdict 1,Source 1,Category-Wide 1,Notes 1,coverage_verdict,resource_required,cited_vendors,cited_share,corpus_vendors,Verdict 2,Source 2,Category-Wide 2,Notes 2
doorbell,video doorbell,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,summary-defensible,0.900,45,"IN: video/smart doorbells (Ring, Reolink, Foscam VD, Akuvox). OUT: standalone cameras (classify under cameras) and baby monitors (under babymonitor).",true,phase-a-cve-weighted,true,"Ring video doorbells stream camera and two-way audio, https://ring.com/support/articles/il7n0/How-Firmware-Works-in-Ring-Devices",,"Agrees with Phase A (0.900). One of the few capturesAV cells that is genuinely safe - unlike cameras, this category has no recorder subtype to contaminate it.",below-floor,yes,ring,0.022,akuvox 36% | reolink 7% | nightowlsp 4% | siedle 4% | fermax 2% | comelitgroup 2%,true,Akuvox R29CT datasheet: https://www.akuvox.com/productsDownloadFile?did=253,,"Replaced the below-floor Ring citation with corpus-leading Akuvox; the R29CT sheet documents cameras, microphone, video and audio monitoring."
doorlock,smart lock,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,summary-defensible,1.000,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",false,phase-a-cve-weighted,false,"Yale lock firmware is updated through the app over Bluetooth, not a browser, https://support.shopyalehome.com/updating-lock-firmware-r1bgBjMOE",,Agrees with Phase A (1.000).,below-floor,yes,assaabloy|yale,0.028,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,false,,,"Leading-vendor setup is app/mesh based; I found no persistent local browser admin UI. This is a negative claim, so Source 2 is intentionally blank."
doorlock,smart lock,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",AppOnlyAdmin,author-prior,AppOnlyAdmin,https://support.shopyalehome.com/updating-lock-firmware-r1bgBjMOE,,"Keeps the prefill. One value; the keypad is a user interface, not an administrative one.",below-floor,yes,assaabloy|yale,0.028,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,AppOnlyAdmin,Tinxy product site: https://tinxy.in/; Genie Aladdin Connect product page: https://www.geniecompany.com/aladdin-connect-by-genie,,Replaced the below-floor source with corpus-leading Tinxy and included-scope Genie app-control documentation; setup pages are not persistent web administration.
doorlock,smart lock,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,36,"IN: residential smart locks and garage-door openers (Yale, August, Tinxy, SGUDA, Genie Aladdin, Zigbee lock stacks). OUT: commercial/enterprise access-control panels and building door controllers.",UserPatched,author-prior,UserPatched,https://support.shopyalehome.com/updating-lock-firmware-r1bgBjMOE,,Keeps the prefill: the owner has to stand next to the lock with the app open for the BLE transfer.,below-floor,yes,assaabloy|yale,0.028,tinxy 11% | oklok_project 11% | silabs 8% | geniecompany 8% | sguda 6% | flient 6%,unsure,,,"Checked Tinxy and Genie documentation. Tinxy exposes a firmware feature and Genie documents an update state, but neither source clearly assigns initiation responsibility, so I could not verify column 1's UserPatched value."
garden,smart garden,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",true,author-prior,true,"All RainMachine models come with a built-in web interface giving total control of the device over the local network, https://support.rainmachine.com/hc/en-us/articles/360007604793-Using-RainMachine-Web-App-Interface ; local network access without an account, https://support.rainmachine.com/hc/en-us/articles/7116888557719-Local-Network-Access",,Author-prior confirmed with explicit vendor documentation - one of the few hasWebAdminUI cells where a vendor states the whole product line has one ('all RainMachine models').,below-floor,yes,rainmachine,0.316,ecovacs 42% | rainmachine 32% | yarbo 16%,false,,,Corpus-leading ECOVACS garden robots are app-administered and do not document a persistent browser UI; RainMachine is a substantial web-admin exception. The negative verdict is intentionally unsourced.
garden,smart garden,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,19,"IN: consumer irrigation controllers and robot mowers (RainMachine, Rachio, ECOVACS/Yarbo mowers). OUT: commercial/agricultural irrigation and turf equipment.",AppOnlyAdmin|LocalWebAdmin,author-prior,AppOnlyAdmin|LocalWebAdmin,https://support.rainmachine.com/hc/en-us/articles/360007604793-Using-RainMachine-Web-App-Interface,,"Author-prior confirmed, and consistent with hasWebAdminUI=true above.",below-floor,yes,rainmachine,0.316,ecovacs 42% | rainmachine 32% | yarbo 16%,AppOnlyAdmin|LocalWebAdmin,ECOVACS GOAT manual: https://site-static.ecovacs.com/upload/file/support/2026/01/27/015213_3856%24GOATA1600LiDARPROA3000LiDARPROInstructionManual-EU.pdf; RainMachine local-network access guide: https://support.rainmachine.com/hc/en-us/articles/7116888557719-Local-Network-Access,,"Verified the two major subfamilies: ECOVACS uses its app, while RainMachine explicitly supports local browser administration by IP address."
pet,smart pet device,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,UNMEASURED,,35,"IN: consumer smart pet feeders, pet cameras, and litter boxes. OUT: commercial/veterinary/livestock equipment.",OtaAutomatic,author-prior,OtaAutomatic,"Petcube pushes a firmware update to the camera within 24 hours of connection, with no owner action, https://petcube.com/support/cam/getting-started/",,Author-prior confirmed with vendor documentation.,below-floor,yes,petcube,0.000,furbo 51% | petwant 26% | skymee 26% | petlibro 17% | ambarella 3%,OtaAutomatic,Furbo firmware-update policy: https://help.furbo.com/hc/en-us/articles/17465635632537,,"Replaced the below-floor evidence with corpus-leading Furbo; its policy explicitly documents silent firmware updates, while also allowing prompted updates."
pet,smart pet device,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,35,"IN: consumer smart pet feeders, pet cameras, and litter boxes. OUT: commercial/veterinary/livestock equipment.",AppOnlyAdmin,author-prior,AppOnlyAdmin,https://petcube.com/support/article/camera-android-setup/,,Author-prior kept.,below-floor,yes,petcube,0.000,furbo 51% | petwant 26% | skymee 26% | petlibro 17% | ambarella 3%,AppOnlyAdmin,Furbo setup guide: https://help.furbo.com/hc/en-gb/articles/17472483806233-Setup-your-Furbo,,Replaced thin evidence with corpus-leading Furbo's app/account setup flow; no persistent local browser admin is documented.
pet,smart pet device,credentialModel,multi,AccountBound|CertificateBound|DefaultPassword|ForcedCredentialSetup|NoCredential|unsure,,,UNMEASURED,,35,"IN: consumer smart pet feeders, pet cameras, and litter boxes. OUT: commercial/veterinary/livestock equipment.",AccountBound,author-prior,AccountBound,https://petcube.com/support/article/camera-android-setup/,,Author-prior kept.,below-floor,yes,petcube,0.000,furbo 51% | petwant 26% | skymee 26% | petlibro 17% | ambarella 3%,AccountBound,Furbo setup guide: https://help.furbo.com/hc/en-gb/articles/17472483806233-Setup-your-Furbo,,Verified in corpus-leading Furbo documentation that setup requires creating/signing into an account.
pet,smart pet device,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,35,"IN: consumer smart pet feeders, pet cameras, and litter boxes. OUT: commercial/veterinary/livestock equipment.",VendorPatched,author-prior,VendorPatched,https://petcube.com/support/cam/getting-started/,,Author-prior confirmed - the vendor pushes within 24 hours.,below-floor,yes,petcube,0.000,furbo 51% | petwant 26% | skymee 26% | petlibro 17% | ambarella 3%,UserPatched|VendorPatched,Furbo firmware-update policy: https://help.furbo.com/hc/en-us/articles/17465635632537,,Corrected the single value: Furbo documents both owner-prompted 'Update Now' installation and silent vendor-installed updates.
robotvacuum,robot vacuum,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,UNMEASURED,,27,IN: consumer robot vacuums and mops. OUT: industrial/commercial cleaning robots.,false,author-prior,false,"Roborock is administered entirely through its app, https://vacuumwars.com/the-complete-roborock-app-guide/",,"Author-prior confirmed (third-party guide rather than vendor documentation, so weaker than it looks).",below-floor,yes,roborock,0.000,ecovacs 44% | neatorobotics 26% | jisiwei 7% | diqee 7%,false,,,Corpus-leading ECOVACS documents app and on-device controls but no persistent local browser admin. This negative verdict is intentionally unsourced.
robotvacuum,robot vacuum,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,27,IN: consumer robot vacuums and mops. OUT: industrial/commercial cleaning robots.,AppOnlyAdmin,author-prior,AppOnlyAdmin,https://vacuumwars.com/the-complete-roborock-app-guide/,,Author-prior kept.,below-floor,yes,roborock,0.000,ecovacs 44% | neatorobotics 26% | jisiwei 7% | diqee 7%,AppOnlyAdmin,ECOVACS DEEBOT X12 manual: https://site-static.ecovacs.com/upload/file/support/2026/03/25/081043_1173%24DEEBOTX12FAMILYInstructionManualAMR.pdf,,Replaced below-floor evidence with corpus-leading ECOVACS; the manual places connected settings and control in the ECOVACS HOME app.
smartplugs,smart plug,hasWebAdminUI,single,true|false|unsure,stays-Estimated,0.3487,summary-defensible,1.000,37,"IN: consumer smart plugs, outlets, and power strips. OUT: enterprise/data-center PDUs and industrial power management.",false,phase-a-cve-weighted,false,"TP-Link Kasa smart plugs are set up and administered entirely in the Kasa app, https://www.tp-link.com/us/support/faq/946/",,Agrees with Phase A (1.000).,below-floor,yes,tapo|tp-link,0.189,belkin 30% | tp-link 19% | getnexx 14% | meross 8% | quboworld 5% | kankun 3%,false,,,Leading Belkin and TP-Link consumer plugs are app/administered and do not document a persistent local browser UI. The negative verdict is intentionally unsourced.
smartplugs,smart plug,adminModel,multi,AppOnlyAdmin|CloudPortalAdmin|LocalWebAdmin|NoAdminInterface|unsure,,,UNMEASURED,,37,"IN: consumer smart plugs, outlets, and power strips. OUT: enterprise/data-center PDUs and industrial power management.",AppOnlyAdmin,author-prior,AppOnlyAdmin,https://www.tp-link.com/us/support/faq/946/,,"Keeps the prefill. One value, and it is the cleanest AppOnlyAdmin case on the sheet.",below-floor,yes,tapo|tp-link,0.189,belkin 30% | tp-link 19% | getnexx 14% | meross 8% | quboworld 5% | kankun 3%,AppOnlyAdmin,Belkin Wemo setup guide: https://www.belkin.com/support-article?articleNum=8218,,Replaced thin evidence with corpus-leading Belkin's Wemo app/account workflow; the temporary setup network is not a persistent admin UI.
smartspeakers,smart speaker,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,summary-defensible,0.951,38,"IN: consumer smart speakers, smart displays, and smart soundbars (Echo, Nest, HomePod) — qualify as home-control surfaces via criterion 4(b). OUT: plain Bluetooth speakers, headphones, and AV receivers with no assistant/home-control role.",true,phase-a-cve-weighted,true,"Amazon Echo devices are far-field microphone products; Amazon publishes their security-update policy as a device class, https://www.amazon.com/gp/help/customer/display.html?nodeId=GMZQWNQRVENX4GTQ",,"Agrees with Phase A (0.951). Always-listening wake-word microphone is the defining feature of the category, and smart displays add a camera.",below-floor,yes,amazon,0.105,sonos 42% | bose 13% | amazon 11% | mi 8% | google 8% | huawei 5%,true,Sonos One guide: https://www.sonos.com/en-us/guides/one,,Replaced the below-floor source with corpus-leading Sonos; the One guide documents its microphone array and voice-service operation.
smartspeakers,smart speaker,firmwareUpdateModel,single,ManualFlash|NoUpdatePath|OtaAutomatic|OtaUserInitiated|unsure,stays-Estimated,0.3882,summary-defensible,1.000,38,"IN: consumer smart speakers, smart displays, and smart soundbars (Echo, Nest, HomePod) — qualify as home-control surfaces via criterion 4(b). OUT: plain Bluetooth speakers, headphones, and AV receivers with no assistant/home-control role.",OtaAutomatic,phase-a-cve-weighted,OtaAutomatic,"Amazon Echo software security updates are delivered by Amazon to the device, https://www.amazon.com/gp/help/customer/display.html?nodeId=GMZQWNQRVENX4GTQ ; Google connected-home devices receive automatic security updates, https://support.google.com/product-documentation/answer/10231940",,Agrees with Phase A (1.000). Well sourced from both dominant vendors.,below-floor,yes,amazon|google,0.184,sonos 42% | bose 13% | amazon 11% | mi 8% | google 8% | huawei 5%,OtaAutomatic,Sonos update guide: https://support.sonos.com/en-ca/article/update-your-sonos-speakers,,Replaced thin evidence with corpus-leading Sonos; automatic speaker updates are the default documented mode.
smartspeakers,smart speaker,patchResponsibility,multi,InstallerPatched|Unmaintained|UserPatched|VendorPatched|unsure,,,UNMEASURED,,38,"IN: consumer smart speakers, smart displays, and smart soundbars (Echo, Nest, HomePod) — qualify as home-control surfaces via criterion 4(b). OUT: plain Bluetooth speakers, headphones, and AV receivers with no assistant/home-control role.",VendorPatched,author-prior,VendorPatched,https://www.amazon.com/gp/help/customer/display.html?nodeId=GMZQWNQRVENX4GTQ,,Keeps the prefill; follows from OtaAutomatic.,below-floor,yes,amazon,0.105,sonos 42% | bose 13% | amazon 11% | mi 8% | google 8% | huawei 5%,VendorPatched,Sonos update guide: https://support.sonos.com/en-ca/article/update-your-sonos-speakers,,"Replaced thin evidence with Sonos's default automatic update mechanism, which assigns installation to the vendor-delivered system workflow."
babymonitor,baby monitor,capturesAV,single,true|false|unsure,stays-Estimated,0.3858,UNMEASURED,,18,IN: dedicated consumer baby monitors. OUT: generic IP cameras not sold as baby monitors (classify under cameras) and any enterprise surveillance gear.,true,author-prior,true,"Nanit Pro is a camera-based monitor with sound and motion notification and two-way audio, https://www.nanit.com/ ; D-Link DCS default credentials are username admin with the password field left blank, https://www.dlink.com/en/support/faq/cameras-and-surveillance/dcs-series/dcs-825l/how-do-i-change-the-password-on-my-baby-camera ; 'I Got My EyeOn You' - security vulnerabilities in D-Link's baby monitor, https://www.exploit-db.com/docs/48664",,"Author-prior confirmed. UNMEASURED by Phase A, but this is definitionally safe.  RE-SOURCED 2026-08-17: the original citation covered ~0% of this category's confirmed-Yes CVE population; added the corpus-dominant vendor (D-Link 55%), sourced from the vulnerability research that produced its CVEs.",representative,,d-link|dlink|nanit,0.444,dlink 44% | summerinfant 11% | ibaby 11% | d-link 11% | mimobaby 6% | trendnet 6%,true,Nanit Camera/App 101: https://support.nanit.com/en_us/nanit-camera-app-101-rJZIfhAKee,,Verified in-scope Nanit documentation: the monitor supplies live video and microphone audio in the app.
